,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ウナギノボリ,牡7,58.0,長浜,東田,480(0),栗東,2019107016,1214,ドレフォン,ノンキ,サンデーサイレンス,-1.0118233736636764,12,-0.8231170631612299,12,,
1,1,2,ショウナンアビアス,牡6,58.0,ルメール,加藤士,508(+4),美浦,2020104597,5339,ドレフォン,ショウナンカサロ,キングカメハメハ,0.2496532376414358,5,-0.1636415886235587,5,,
2,2,3,ハッピーロンドン,牡6,58.0,吉田豊,菊沢,494(+8),美浦,2020101639,733,グレーターロンドン,ハッピーベリンダ,アグネスデジタル,-0.9751007808061712,11,-0.8039192047674055,11,,
3,2,4,ドンレパルス,牡7,58.0,菅原明,高木,522(0),美浦,2019100553,1179,ディスクリートキャット,ドナリサ,サウスヴィグラス,0.8040014570852113,3,0.1261608950693987,3,,
4,3,5,スマイルアップ,牝7,56.0,原,萱野,462(-6),美浦,2019103815,1184,イスラボニータ,アドマイヤオンリー,クロフネ,-1.260652311965373,14,-0.9531999998519415,14,,
5,3,6,アンジュフィールド,牝6,56.0,松山,矢作,460(-2),栗東,2020101582,1126,Justify,ノットナウキャロライン,Tapit,-0.5510547088655288,7,-0.5822361533237729,7,,
6,4,7,パルデンス,牡8,58.0,丸田恭介,森一,502(0),美浦,2018104775,1117,ディープブリランテ,ヘヴンリークルーズ,ファルブラヴ,-0.8507158149622903,10,-0.7388931601779787,10,,
7,4,8,スタンリーテソーロ,牡5,58.0,戸崎圭,稲垣,440(0),美浦,2021102275,5386,ファインニードル,ジャニュアリージョーンズ,Shirocco,-0.5465533992000678,6,-0.579882956046021,6,,
8,5,9,ルディック,牡5,58.0,横山武,高野,534(-4),栗東,2021110008,1170,Into Mischief,ミスベジル,Medaglia d'Oro,0.5372809852096584,4,-0.013275387920471263,4,,
9,5,10,ビルカール,牡6,58.0,石川,水野,478(+6),美浦,2020105250,1150,ミッキーアイル,サンシャインキッス,ストリートセンス,-1.2787269381556643,15,-0.9626490634153169,15,,
10,6,11,ジャスリー,牡6,58.0,木幡巧,田島,536(+6),美浦,2020102814,1162,ルーラーシップ,オールドパサデナ,エンパイアメーカー,-0.6775731413039879,9,-0.6483775328169632,9,,
11,6,12,メイショウフジタカ,牡8,58.0,松岡,飯田,498(+2),栗東,2018105860,1085,メイショウサムソン,メイショウユウダチ,メイショウボーラー,-1.5245141309477637,16,-1.091141834624253,16,,
12,7,13,キュムロンニンバス,牡8,58.0,江田照,南田,508(0),美浦,2018106597,689,プリサイスエンド,オーミチェリッシュ,キャプテンスティーヴ,-1.2577325562236799,13,-0.9516736082517872,13,,
13,7,14,フウセツ,牡4,58.0,大野,鈴木慎,498(+2),美浦,2022101626,1096,サンダースノー,アプト,アドマイヤムーン,1.544349150422135,2,0.5132002916073244,2,,
14,8,15,アジアミッション,牡5,58.0,佐々木,緒方,522(+10),栗東,2021100316,1197,アジアエクスプレス,アムールプロフォン,サウスヴィグラス,-0.58626495528412,8,-0.6006433863690731,8,,
15,8,16,ワンダラー,牡4,58.0,キング,黒岩,532(+2),美浦,2022100071,5643,マクフィ,ミスシューケット,ルーラーシップ,1.5937773046848915,1,0.5390403707620448,1,,
