month,day,course,times,days
1,6,6,1,1
1,6,8,1,1
1,7,6,1,2
1,7,8,1,2
1,8,6,1,3
1,8,8,1,3
1,13,6,1,4
1,13,8,1,4
1,13,10,1,1
1,14,6,1,5
1,14,8,1,5
1,14,10,1,2
1,20,6,1,6
1,20,8,1,6
1,20,10,1,3
1,21,6,1,7
1,21,8,1,7
1,21,10,1,4
1,27,5,1,1
1,27,8,2,1
1,27,10,1,5
1,28,5,1,2
1,28,8,2,2
1,28,10,1,6
2,3,5,1,3
2,3,8,2,3
2,3,10,1,7
2,4,5,1,4
2,4,8,2,4
2,4,10,1,8
2,10,5,1,5
2,10,8,2,5
2,10,10,2,1
2,11,5,1,6
2,11,8,2,6
2,11,10,2,2
2,17,5,1,7
2,17,8,2,7
2,17,10,2,3
2,18,5,1,8
2,18,8,2,8
2,18,10,2,4
2,24,6,2,1
2,24,9,1,1
2,24,10,2,5
2,25,6,2,2
2,25,9,1,2
2,25,10,2,6
3,2,6,2,3
3,2,9,1,3
3,2,10,2,7
3,3,6,2,4
3,3,9,1,4
3,3,10,2,8
3,9,6,2,5
3,9,7,1,1
3,9,9,1,5
3,10,6,2,6
3,10,7,1,2
3,10,9,1,6
3,16,6,2,7
3,16,7,1,3
3,16,9,1,7
3,17,6,2,8
3,17,7,1,4
3,17,9,1,8
3,23,6,3,1
3,23,7,1,5
3,23,9,2,1
3,24,6,3,2
3,24,7,1,6
3,24,9,2,2
3,30,6,3,3
3,30,9,2,3
3,31,6,3,4
3,31,9,2,4
4,6,3,1,1
4,6,6,3,5
4,6,9,2,5
4,7,3,1,2
4,7,6,3,6
4,7,9,2,6
4,13,3,1,3
4,13,6,3,7
4,13,9,2,7
4,14,3,1,4
4,14,6,3,8
4,14,9,2,8
4,20,3,1,5
4,20,5,2,1
4,20,8,3,1
4,21,3,1,6
4,21,5,2,2
4,21,8,3,2
4,27,4,1,1
4,27,5,2,3
4,27,8,3,3
4,28,4,1,2
4,28,5,2,4
4,28,8,3,4
5,4,4,1,3
5,4,5,2,5
5,4,8,3,5
5,5,4,1,4
5,5,5,2,6
5,5,8,3,6
5,11,4,1,5
5,11,5,2,7
5,11,8,3,7
5,12,4,1,6
5,12,5,2,8
5,12,8,3,8
5,18,4,1,7
5,18,5,2,9
5,18,8,3,9
5,19,4,1,8
5,19,5,2,10
5,19,8,3,10
5,25,5,2,11
5,25,8,3,11
5,26,5,2,12
5,26,8,3,12
6,1,5,3,1
