,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ディラトン,牡2,56.0,丸山,矢嶋,美浦,2022104993,01127,シュヴァルグラン ,フェルミオン ,アグネスタキオン ,-1.2295572158718107,10
1,1,2,エイシンパルサー,牡2,56.0,津村,田中剛,美浦,2022102871,01092,エイシンヒカリ ,エーシンスペリアー ,キングズベスト King's Best(米) ,-2.9819061521230448,18
2,2,3,イデアブリランテ,牝2,55.0,木幡育,松永康,美浦,2022102601,01167,ディープブリランテ ,トシザコジーン ,アドマイヤコジーン ,-0.6774352178927125,6
3,2,4,ユイノレクター,牡2,56.0,吉田豊,竹内,美浦,2022104376,00733,ラブリーデイ ,ランリーナ ,エイシンフラッシュ ,-1.2527861856862372,11
4,3,5,アデニウム,牝2,55.0,内田博,田島,美浦,2022105272,00422,アルアイン ,オルトルート ,ローエングリン ,-2.277844500783394,16
5,3,6,ブライトメール,牡2,56.0,坂井,伊藤大,美浦,2022101731,01163,サートゥルナーリア ,キングスミール ,Theatrical ,-2.4908320511709796,17
6,4,7,シフグナーデ,牝2,55.0,丹内,栗田,美浦,2022101107,01091,ゴールドシップ ,マイネグラティア ,ネオユニヴァース ,-1.6779606041999457,14
7,4,8,フェルヴァーラ,牝2,55.0,菅原明,田中博,美浦,2022104191,01179,エピファネイア ,ロイヤルヴォルト ,ディープインパクト ,-1.196561621970593,8
8,5,9,チケットトゥヘブン,牡2,55.0,☆横山琉,相沢,美浦,2022102731,01192,レイデオロ ,シルクアイリス ,ディープインパクト ,-2.0404556268069753,15
9,5,10,ライジングハース,牡2,56.0,大野,松山,美浦,2022106495,01096,モーリス ,スウィートハース Sweet Hearth(米) ,Touch Gold ,-1.6144774172100669,13
10,6,11,リープサンバウンズ,牡2,56.0,小林凌,小西,美浦,2022104469,01177,ナカヤマフェスタ ,キズナII ,Hurricane Run (愛) ,-0.3147446764707119,4
11,6,12,スパークルノヴァ,牝2,55.0,三浦,蛯名正,美浦,2022106659,01122,Authentic (米) ,マジックファウンテン Magic Fountain(米) ,War Front ,-0.3627426996712747,5
12,7,13,ブラックジェダイト,牡2,56.0,佐々木,大竹,美浦,2022106393,01197,キタサンブラック ,ウェルアウェイ Well Away(独) ,Monsun ,0.020324091781824368,2
13,7,14,オールニッポン,牝2,55.0,石川,上原佑,美浦,2022103212,01150,リオンディーズ ,グルーヴァー ,シンボリクリスエス ,2.1003786527657207,1
14,7,15,アルデスト,牡2,56.0,江田照,田中剛,美浦,2022106738,00689,キズナ ,ポウリナズラヴ Paulina's Love(米) ,Mizzen Mast ,-1.2142467937598027,9
15,8,16,キャルミナス,牡2,56.0,北村宏,奥村武,美浦,2022104166,01043,サトノダイヤモンド ,プレシャスライフ ,タイキシャトル ,-0.806276130013338,7
16,8,17,ドラゴン,牡2,56.0,武豊,松永幹,栗東,2022105439,00666,マインドユアビスケッツ Mind Your Biscuits(米) ,ノーブルコロネット ,ディープインパクト ,-1.2607719558038057,12
17,8,18,アルデラックス,牡2,56.0,松岡,村田,美浦,2022100223,01085,キタサンブラック ,バルスピュール ,チーフベアハート Chief Bearhart(加) ,-0.1437617938172376,3
