,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,ジーククローネ,セ5,60.0,草野,宮田,450(+2),美浦,2020103537,01113,サトノクラウン  ,パーフェクトマッチ  ,サンデーサイレンス  Sunday Silence(米)  
1,2,2,レッドバロッサ,セ6,60.0,小牧加,佐藤悠,516(+6),栗東,2019105473,01196,ドレフォン  Drefong(米)  ,モスカートローザ  ,ディープインパクト  
2,3,3,ローディアマント,セ5,60.0,伴,尾関,484(0),美浦,2020101429,01149,サトノダイヤモンド  ,ブロッサムレーン  Blossom Lane(英)  ,New Approach  
3,4,4,マテンロウジョイ,牡5,60.0,西谷誠,四位,468(-2),栗東,2020106836,01005,ハービンジャー  Harbinger(英)  ,パッショナルダンス  ,サンデーサイレンス  Sunday Silence(米)  
4,5,5,クラップサンダー,牡6,60.0,黒岩,牧田,462(0),栗東,2019103278,01072,ジャスタウェイ  ,ゲッコウ  ,キングカメハメハ  
5,6,6,フェーレンベルク,牡5,60.0,上野,千葉,476(-6),美浦,2020103875,01087,エイシンフラッシュ  ,エクラミレネール  ,マツリダゴッホ  
6,7,7,ナリノモンターニュ,牡8,60.0,五十嵐,上原博,512(+6),美浦,2017104700,01069,ヴィクトワールピサ  ,オメガアイランド  ,エルコンドルパサー  
7,7,8,トーアモルペウス,セ5,60.0,石神深,辻,482(-8),美浦,2020103173,01059,タリスマニック  Talismanic(英)  ,トーアヒミコ  ,クロフネ  
8,8,9,ディナースタ,牡6,60.0,高田,辻野,474(-8),栗東,2019101507,01046,ドゥラメンテ  ,ラヴァリーノ  Ravarino(米)  ,Unbridled's Song  (米)  
9,8,10,メイショウアツイタ,牡7,60.0,難波,高橋忠,508(-2),栗東,2018105731,01066,フェノーメノ  ,ロジカルクィーン  ,Deputy Minister  
