,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,メイショウトウコウ,牡2,56.0,武豊,石橋,462(-2),栗東,2023106569,00666,アメリカンペイトリオット  ,メイショウサイウン  ,ハービンジャー  Harbinger(英)  ,-4.030477849357503,15
1,2,2,ナムラコスモス,牝2,55.0,田口,大橋,492(+2),栗東,2023106227,01208,ダノンプレミアム  ,ナムラリコリス  ,ジョーカプチーノ  ,-0.9372937280525274,7
2,2,3,セイントホース,牡2,56.0,菱田,谷,490(-10),栗東,2023103176,01144,ミスターメロディ  ,ヤマカツオーキッド  ,ダンスインザダーク  ,-0.08652737165598208,5
3,3,4,トレッチェ,牝2,55.0,北村友,渡辺,448(+22),栗東,2023104388,01102,モズアスコット  ,ケープジャスミン  ,クロフネ  ,2.2795094218409147,3
4,3,5,トライアンフパス,牝2,55.0,和田竜,宮,478(+6),栗東,2023106431,01018,ベンバトル  Benbatl(英)  ,エントリーチケット  ,マツリダゴッホ  ,-0.5836874171301374,6
5,4,6,パトローナス,牡2,56.0,Ｃデムーロ,高橋亮,492(+6),栗東,2023106931,05473,フィエールマン  ,エルビッシュ  ,キングカメハメハ  ,2.7072707382217835,2
6,4,7,ラッキーヴォーグ,牡2,56.0,松若,牧田,486(0),栗東,2023105657,01154,タリスマニック  Talismanic(英)  ,サンタレジーナ  ,タニノギムレット  ,2.9599335142318326,1
7,5,8,ウエスタンオレンジ,牝2,55.0,高倉,前川,444(+4),栗東,2023102327,01130,マジェスティックウォリアー  Majestic Warrior(米)  ,ウエスタンビジュー  ,エンパイアメーカー  Empire Maker(米)  ,-2.953502286497577,13
8,5,9,イズントイット,牝2,55.0,幸,岡田,500(-10),栗東,2023101056,00732,モーリス  ,レディヴァルール  Lady Valeur(愛)  ,Multiplex  ,-2.7988007155383974,12
9,6,10,トミーバローズ,牡2,55.0,☆吉村,清水久,470(-4),栗東,2023103101,01216,ヘンリーバローズ  ,ラダームブランシェ  ,チチカステナンゴ  Chichicastenango(仏)  ,-2.2953226074439117,10
10,6,11,アパレイユ,牝2,55.0,松山,西園翔,468(+8),栗東,2023106321,01126,ヴァンゴッホ  ,トンボイ  ,アドマイヤマックス  ,-1.5748212986586143,8
11,7,12,アスクウルトラモア,牡2,53.0,▲古川奈,矢作,406(-2),栗東,2023105237,01190,コントレイル  ,ケンホープ  Kenhope(仏)  ,Kendargent  ,-1.59307781332381,9
12,7,13,アイルトン,牡2,56.0,団野,佐々木,506(+4),栗東,2023102920,01180,ダノンスマッシュ  ,ダノングラシアス  ,マンハッタンカフェ  ,0.509990100061109,4
13,8,14,ジャスパールビー,牝2,52.0,▲田山,森秀,438(0),栗東,2023110097,01220,Leinster  ,Pioneer Alexis  ,Pioneerof the Nile  ,-3.1259345822778672,14
14,8,15,ベベペッパー,牝2,55.0,国分優,東田,432(+6),栗東,2023106858,01125,キズナ  ,アンフィトリテ  ,ロードカナロア  ,-2.341202803321833,11
