,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,フスカル,セ4,60.0,石神深,森一,美浦,2020110128,01059,American Pharoah (米) ,Blue Bahia ,Wildcat Heir 
1,2,2,シュハリ,牡4,60.0,江田勇,粕谷,美浦,2020105031,01023,カレンブラックヒル ,キシャリ Kishari(仏) ,Kris 
2,3,3,ゴットリープ,牡4,60.0,五十嵐,栗田,美浦,2020101319,01069,キンシャサノキセキ ,アンタークティカ ,コマンズ Commands(豪) 
3,3,4,バーンパッション,牡7,60.0,大江圭,天間,美浦,2017104128,01120,エイシンフラッシュ ,ディパッション ,ダイワメジャー 
4,4,5,サンデーヒーロー,牡4,60.0,中村,中村,栗東,2020100903,01101,サトノダイヤモンド ,ブラックショコラ ,サウスヴィグラス 
5,4,6,スズカキング,牡7,60.0,難波,谷,栗東,2017105614,01066,キズナ ,リアリサトリス Realisatrice(仏) ,Numerous 
6,5,7,ガルムキャット,牡4,60.0,小坂,高橋一,栗東,2020101587,01063,ハーツクライ ,パスオブドリームズ Path of Dreams(米) ,Giant's Causeway (米) 
7,5,8,タナサンブラック,牡4,60.0,草野,伊坂,美浦,2020100606,01113,キタサンブラック ,スピニングレディ Spinning Lady(米) ,ハードスパン Hard Spun(米) 
8,6,9,テイエムイダテン,牡7,60.0,小野寺,小椋,栗東,2017102603,01123,ロードカナロア ,ニシノビギン ,パラダイスクリーク Paradise Creek(米) 
9,6,10,クラウドクラスター,牡5,60.0,上野,和田雄,美浦,2019101888,01087,アドマイヤムーン ,スプリングレイン ,Dubai Millennium (英) 
10,7,11,ミラクルジニア,牡3,56.0,▲土田,粕谷,美浦,2021103301,01198,ダンカーク Dunkirk(米) ,キセキノハナ ,ネオユニヴァース 
11,7,12,ジオフロント,牡6,60.0,小牧加,清水久,栗東,2018104881,01196,ハーツクライ ,アガルタ ,キングカメハメハ 
12,8,13,ペイシャモノノフ,牡4,60.0,田村,畑端,栗東,2020101020,01105,ニシケンモノノフ ,ペイシャオブワキア ,フリオーソ 
13,8,14,ゼンノジーニー,牡3,58.0,黒岩,飯田,栗東,2021106975,01072,サトノアラジン ,ヴァッサーマン ,ノヴェリスト Novellist(愛) 
