,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,タイセツナヒ,牡3,55.0,原,杉浦,470(-10),27.8,9,美浦,2023102352,1184,ホッコータルマエ,アイアムキャツアイ,アイルハヴアナザー,-0.5390297319285181,10,-0.6329100401003438,15,0.023148888759964,5,-0.9107695496257632,10,0.0344358525395878,0.0285034394085134
1,1,2,アバレリュウ,牡4,58.0,野中,鈴木慎,492(-12),41.4,10,美浦,2022100390,1158,マクフィ,ラブリースター,サウスヴィグラス,-0.4028607190162317,9,0.156165717394831,6,0.0901400518367055,3,-0.3642781257484975,7,0.0594769992450588,0.0191399907139293
2,2,3,ナリノシャーウッド,牡3,55.0,菊沢,小笠,472(-6),10.1,6,美浦,2023105963,1161,マインドユアビスケッツ,ナリノメジャー,ダイワメジャー,-0.0981752595570335,6,-0.2075392254652711,10,-0.2077938619191129,11,-0.8876386779744834,9,0.0352416674979758,0.0784550114412548
3,2,4,スノースコール,牡3,55.0,木幡巧,加藤征,516(+2),20.0,5,美浦,2023103626,1162,クリソベリル,スノーユニバンス,ルーラーシップ,-0.3824673007675951,8,0.3691162734235702,4,-0.0362726136689725,8,-0.7279117727057709,8,0.0413451872260404,0.0396197807778336
4,3,5,ターフクリスタル,牡3,55.0,内田博,矢野,464(-4),69.3,15,美浦,2023104958,422,インカンテーション,シラヤマヒメ,サクラローレル,-0.8013954146442267,14,-0.1983037542850213,9,-0.2657811075875426,12,-1.3912653017450085,14,0.0212977726006692,0.0114342801667629
5,3,6,ボールドタワー,牡3,55.0,横山琉,鈴木慎,490(+4),77.5,12,美浦,2023103016,1192,タワーオブロンドン,アキノバレリーナ,ハーツクライ,0.3034104879384923,5,0.2378050607124588,5,-0.6552045470871019,15,0.5588218510607729,2,0.1497084367143003,0.0102244595555699
6,4,7,タリスマン,牡5,58.0,伊藤,金成,476(-6),54.9,11,美浦,2021104618,1119,タリスマニック,クロエチャン,スパイキュール,-0.2013773301966553,7,-0.2147741574040653,11,-0.0556798670165131,9,0.0204119579393771,6,0.0873811648416937,0.0144334356203401
7,4,8,インナーパッション,牡3,55.0,斎藤,斎藤誠,506(-10),11.7,4,美浦,2023103714,1178,キズナ,ブラインドラック,Pollard's Vision,0.3097003763806127,4,0.5722925046191388,2,0.2227074339632802,1,0.0819890124170959,5,0.0929309559852679,0.0677261209877499
8,5,9,ロードフロリゼル,牡4,58.0,丹内,稲垣,480(-2),29.3,7,美浦,2022100621,1091,リオンディーズ,エンジェリックレイ,ダイワメジャー,-0.5664138780708754,12,-0.5680869791701016,14,-0.2867116413866201,13,-0.9612023062417728,11,0.0327422237130927,0.0270442189609786
9,5,10,スカイダンスタイム,牝5,53.0,▲遠藤,萱野,410(0),73.3,16,美浦,2021107025,1218,ビーチパトロール,イムディーナ,スペシャルウィーク,-0.9198155584432702,16,-1.0069492632136343,16,-0.7110699845576459,16,-2.3351138349502034,16,0.0082875464581277,0.0108103085341974
10,6,11,ホノボノ,牡3,53.0,◇小林美,尾形,458(-2),27.0,8,美浦,2023100581,1206,ダノンプレミアム,ホオポノポノ,タニノギムレット,-0.5497289582815502,11,0.0243997674395707,8,-0.1034435549054428,10,-0.9729613824848996,12,0.0323594602907827,0.0293479857613582
11,6,12,ユアフェリシティ,牡3,55.0,原田和,千葉,482(+2),2.8,1,美浦,2023105137,1143,ルヴァンスレーヴ,ゴールドグレース,エリシオ,2.288855286226737,1,0.1559431673386392,7,0.0071004371577226,6,0.2090979155298133,4,0.1055268804843898,0.2829984341273835
12,7,13,ジェネラスキング,牡3,55.0,横山武,久保田,484(-2),4.2,3,美浦,2023103806,1170,ルーラーシップ,ピュリティゴールド,ゴールドアリュール,1.579990971441383,3,0.4831725299174195,3,0.0239925698397895,4,0.322892895328075,3,0.1182452303889996,0.188665622751589
13,7,14,ヨドノタイヨウ,牡4,58.0,三浦,室井,500(+4),4.7,2,美浦,2022100348,1122,ミッキーロケット,ストロベリーハーツ,ハーツクライ,1.6880801588848096,2,0.6685171140009886,1,-0.0207663039347805,7,0.5658266363744187,1,0.1507607936372871,0.1685948118205689
14,8,15,カーマンライン,セ5,58.0,江田照,小島,492(-4),69.3,13,美浦,2021105329,689,ネオユニヴァース,トーコーディオーネ,エンパイアメーカー,-0.7970010477200126,13,-0.5302943545312866,13,-0.5643316742988281,14,-1.3677874683895563,13,0.0218037141222636,0.0114342801667629
15,8,16,スーパーホース,セ4,58.0,武藤,堀内,486(-10),68.5,14,美浦,2022100485,1169,ディーマジェスティ,エペルネ,ルーラーシップ,-0.9117720822460652,15,-0.4779388700611838,12,0.1825899654440443,2,-2.314978036133028,15,0.0084561142544621,0.0115678192052069
