,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ブレイジングスター,牡3,55.0,◇永島,高橋康,栗東,2022103644,1187,モーニン ,ヴァーチュスター ,シンボリクリスエス ,-2.196822303330261,12,-0.9962749854632179,12,,
1,2,2,メイショウソウセキ,牡3,57.0,角田和,松永幹,栗東,2022103255,1186,マジェスティックウォリアー Majestic Warrior(米) ,メイショウコブシ ,スペシャルウィーク ,-1.3898958692366217,7,-0.7171992201876025,7,,
2,3,3,キングピラート,牡3,57.0,藤懸貴志,高橋忠,栗東,2022106085,1138,リオンディーズ ,アンリミテッドピサ ,シンボリクリスエス ,0.11733372902591602,3,-0.1959233816365455,3,,
3,4,4,キタノチェンジ,牡3,54.0,▲川端,羽月,栗東,2022106040,1195,ベストウォーリア ,ランドマカロン ,エイシンフラッシュ ,-1.0266350400144109,5,-0.5915653462351241,5,,
4,4,5,セルマン,牡3,54.0,▲和田陽,田中克,栗東,2022105356,1223,キズナ ,シーエスシルク C. S. Silk(米) ,Medaglia d'Oro ,-1.5281729694661916,9,-0.7650223995211749,9,,
5,5,6,ブライトノヴァ,牡3,57.0,佐々木,茶木,栗東,2022103495,1197,ウインブライト ,ヴンダーゾンネ ,グラスワンダー ,-1.5618901464545107,10,-0.7766834959648894,10,,
6,5,7,サラサハウナイス,牡3,54.0,▲柴田裕,岡田,栗東,2022102743,1212,マクフィ Makfi(英) ,フラワーファースト ,ネオユニヴァース ,0.5181845112055192,2,-0.057289010432986495,2,,
7,6,8,マイネルメドリング,牡3,57.0,小沢,青木,美浦,2022106539,1185,マインドユアビスケッツ Mind Your Biscuits(米) ,エルメスグリーン ,アグネスタキオン ,-1.5781577075635786,11,-0.78230963717661,11,,
8,6,9,デルマアリエル,牡3,54.0,▲石神道,深山,美浦,2022101968,1209,ストロングリターン ,デルマタビダチ ,キングカメハメハ ,-0.020964045139470946,4,-0.24375371105743146,4,,
9,7,10,オーケーサイン,牝3,52.0,▲橋木,谷,栗東,2022102872,1215,サングラス ,シンセツ ,ホワイトマズル White Muzzle(英) ,-1.208602183866787,6,-0.6544987411271384,6,,
10,7,11,フガート,牡3,57.0,亀田,坂口,栗東,2022100980,1176,エイシンヒカリ ,エイシンムジカ ,キングカメハメハ ,1.3142491327005643,1,0.21803019348194205,1,,
11,8,12,ポジティビティ,牡3,57.0,泉谷,飯田,栗東,2022101910,1182,モーニン ,レースドール ,クロフネ ,-3.4135480593874417,13,-1.4170799772882914,13,,
12,8,13,タイキフィアリーベ,牡3,56.0,☆松本,中尾,栗東,2022103156,1191,ラブリーデイ ,ラブインブルーム ,タイキシャトル ,-1.4920305460125067,8,-0.7525225308118522,8,,
