,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ジーティーオウジャ,セ4,57.0,▲水沼,石栗,美浦,2021104943,01201,ルーラーシップ ,アラドヴァル ,シンボリクリスエス 
1,2,2,コスモゴレアドール,牡6,60.0,伴,土田,美浦,2019100741,01149,ゴールドシップ ,グワダラハラ Guadalajara(独) ,Acatenango 
2,3,3,マオノアラシ,牡5,60.0,石神深,加藤士,美浦,2020100850,01059,ゴールドアクター ,マオノココロ ,ヴァーミリアン 
3,4,4,アルカンサス,牡6,57.0,▲土田,土田,美浦,2019101023,01198,シルバーステート ,ラサンバ La Samba(豪) ,Orientate 
4,5,5,テーオーサンドニ,牡6,60.0,中村,高柳大,栗東,2019104079,01101,キタサンブラック ,ポールポジションII Pole Position(英) ,Pivotal 
5,5,6,テトラード,牡4,60.0,小野寺,坂口,栗東,2021104999,01123,マインドユアビスケッツ Mind Your Biscuits(米) ,カラフルマーメイド ,ハービンジャー Harbinger(英) 
6,6,7,アスプリージャ,牡4,60.0,金子,中舘,美浦,2021100761,01052,レイデオロ ,ポムフィリア ,フォーティナイナーズサン Fourty Niners Son(米) 
7,6,8,バンクサイド,牡5,60.0,上野,竹内,美浦,2020106354,01087,デクラレーションオブウォー ,マリスレーン ,ストリートセンス Street Sense(米) 
8,7,9,ヴラディア,牡6,60.0,大江圭,小西,美浦,2019105578,01120,ラブリーデイ ,ユメノトキメキ ,マーベラスサンデー 
9,7,10,マホロバ,牡5,60.0,草野,和田郎,美浦,2020105732,01113,キズナ ,シアージュ ,Raven's Pass 
10,8,11,キャプテンローレル,牡6,60.0,五十嵐,田村,美浦,2019100051,01069,ドレフォン Drefong(米) ,アラフネ ,クロフネ 
11,8,12,サトノグレイト,セ5,60.0,黒岩,中竹,栗東,2020102971,01072,ダイワメジャー ,ノヴァホーク Nova Hawk(英) ,Hawk Wing 
