,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,オドラニャソンソン,牡3,57.0,小沢,東田,栗東,2022102756,1185,ディープブリランテ ,キイレ ,フジキセキ ,-0.6897650832316143,7,-0.47505876395526686,7,,
1,2,2,メイショウソウセキ,牡3,57.0,角田和,松永幹,栗東,2022103255,1186,マジェスティックウォリアー Majestic Warrior(米) ,メイショウコブシ ,スペシャルウィーク ,-4.4824523008761,15,-1.7867608510284891,15,,
2,2,3,ポジティビティ,牡3,57.0,泉谷,飯田,栗東,2022101910,1182,モーニン ,レースドール ,クロフネ ,-0.9849710017546247,12,-0.5771558252793724,12,,
3,3,4,ルグランシャリオ,牡3,54.0,▲上里,石栗,美浦,2022102611,1217,フサイチセブン ,ティーエスベリー ,New Approach ,-0.9510076300748342,11,-0.5654095823228827,11,,
4,3,5,ディープオーシャン,牡3,54.0,▲柴田裕,藤岡,栗東,2022106916,1212,アジアエクスプレス ,テイエムプリンセス ,ネオユニヴァース ,0.2306828986813969,5,-0.1567215350636421,5,,
5,4,6,メアリーバローズ,牝3,52.0,▲今村,寺島,栗東,2022103931,1193,ロジャーバローズ ,ナイアガラロール ,Bluegrass Cat ,-0.2733667545386887,6,-0.3310472688181769,6,,
6,4,7,リリーライナー,牡3,56.0,☆西塚,緒方,栗東,2022104249,1200,アジアエクスプレス ,ブライダルベール ,キングカメハメハ ,0.5048396026785122,3,-0.06190435131457591,3,,
7,5,8,カミノレアル,牡3,57.0,佐々木,今野,栗東,2022104550,1197,エピファネイア ,アイアムカミノマゴ ,アグネスタキオン ,-1.0524878074222852,13,-0.6005065341105082,13,,
8,5,9,サトノフォーミュラ,牡3,53.0,★河原田,中竹,栗東,2022103241,1204,サトノダイヤモンド ,ポールポジションII Pole Position(英) ,Pivotal ,1.9311906638011962,1,0.4313996193027833,1,,
9,6,10,ディープカインズ,牡3,56.0,☆松本,本田,栗東,2022101097,1191,ノーブルミッション Noble Mission(英) ,アンジュデュバン ,ハーツクライ ,-0.9369199054797661,10,-0.5605373382666117,10,,
10,6,11,マイネルメドリング,牡3,57.0,秋山稔,青木,美浦,2022106539,1181,マインドユアビスケッツ Mind Your Biscuits(米) ,エルメスグリーン ,アグネスタキオン ,-3.379469437598239,14,-1.405293875044606,14,,
11,7,12,スギノペガサス,牡3,53.0,★小林美,鈴木伸,美浦,2022102724,1206,バゴ Bago(仏) ,イケジュンペガサス ,クロフネ ,-0.6919709761522296,8,-0.4758216727272768,8,,
12,7,13,キタノチェンジ,牡3,54.0,▲川端,羽月,栗東,2022106040,1195,ベストウォーリア ,ランドマカロン ,エイシンフラッシュ ,0.9050383950564017,2,0.07650452900756272,2,,
13,8,14,ゴットランド,牡3,57.0,斎藤,斎藤誠,美浦,2022100162,1178,リオンディーズ ,ヴィスビー ,ネオユニヴァース ,0.4622057661300188,4,-0.07664927731860567,4,,
14,8,15,タマモハヤブサ,牡3,54.0,▲田山,新谷,栗東,2022101566,1220,アニマルキングダム Animal Kingdom(米) ,タマモクラリティー ,ハーツクライ ,-0.7583756673373925,9,-0.4987877564090015,9,,
