,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ブルックリンダンス,牡3,57.0,亀田,田中克,栗東,2022105791,1176,ルヴァンスレーヴ ,サダムグランジュテ ,キングカメハメハ ,-0.9166354377795348,11,-0.553521948625784,11,,
1,2,2,オリーブグリーン,牡3,57.0,吉田隼,矢作,栗東,2022105694,1095,ヘニーヒューズ Henny Hughes(米) ,クリッパールート ,シンボリクリスエス ,-2.3758222873988597,13,-1.0581821871951544,13,,
2,3,3,マタミカンサン,牝3,52.0,▲上里,加藤士,美浦,2022103785,1217,ゴールドドリーム ,ホールドミータイト ,コマンズ Commands(豪) ,-0.21703769731163353,6,-0.31156584636291734,6,,
3,4,4,ドゥラリス,牝3,55.0,鮫島駿,吉岡,栗東,2022102885,1157,ドゥラメンテ ,クードメイトル ,ヴィクトワールピサ ,1.492173987650241,2,0.27956556146428746,2,,
4,4,5,メイショウハチロー,牡3,57.0,小沢,福永,栗東,2022103264,1185,シニスターミニスター Sinister Minister(米) ,メイショウミハル ,ダイワメジャー ,0.8121666807277956,3,0.044384816907876594,3,,
5,5,6,リープアップ,牝3,55.0,斎藤新,田中博,美浦,2022105732,1178,ニューイヤーズデイ ,リープオブフェイス ,クロフネ ,-1.1465072662975275,12,-0.633023194028682,12,,
6,5,7,チュウワクリスエス,牡3,57.0,原田和,栗田,美浦,2022102280,1143,ルヴァンスレーヴ ,チュウワベイビー ,サウスヴィグラス ,-0.32871207181501594,7,-0.3501884644968903,7,,
7,6,8,ソロモン,牡3,57.0,佐々木,堀,美浦,2022104821,1197,ミッキーアイル ,シロインジャー ,ハービンジャー Harbinger(英) ,0.49252059345468163,4,-0.06616488459409287,4,,
8,6,9,タイヨウフレア,牝3,55.0,角田和,杉浦,美浦,2022105844,1186,ドレフォン Drefong(米) ,プリマレジェンド ,ヴィクトワールピサ ,2.476035078179769,1,0.6198342342496025,1,,
9,7,10,ニヒトツーゼーア,牡3,54.0,▲柴田裕,中竹,栗東,2022102383,1212,リオンディーズ ,フィエラメンテ ,タニノギムレット ,-0.6114474520923542,8,-0.44797258618081803,8,,
10,7,11,コズミックダンサー,牡3,56.0,☆西塚,藤原,栗東,2022104740,1200,アドマイヤマーズ ,ギエム ,Medaglia d'Oro ,-0.6734693674238482,10,-0.469422885431998,10,,
11,8,12,ランツフート,牡3,57.0,シュタルケ,大久保,栗東,2022105577,5115,ブリックスアンドモルタル Bricks and Mortar(米) ,レッドミラベル ,ステイゴールド ,-0.6202187065631102,9,-0.4510061273444594,9,,
12,8,13,エンマ,牡3,57.0,富田,武英,栗東,2022102956,1168,バゴ Bago(仏) ,ウェルノーテッド ,ドリームジャーニー ,0.3968297838266497,5,-0.09925958170459463,5,,
