,式別,馬番,配当,人気
202602010101,単勝,10,2700,7
202602010101,複勝,10,620,7
202602010101,複勝,7,310,4
202602010101,複勝,15,320,5
202602010101,枠連,4-5,1550,6
202602010101,馬連,7-10,9590,27
202602010101,ワイド,7-10,2260,26
202602010101,ワイド,10-15,1820,21
202602010101,ワイド,7-15,910,10
202602010101,馬単,10→7,22120,59
202602010101,三連複,7-10-15,16060,52
202602010101,三連単,10→7→15,146030,384
202602010102,単勝,7,620,4
202602010102,複勝,7,180,2
202602010102,複勝,11,540,9
202602010102,複勝,10,150,1
202602010102,枠連,5-7,4410,19
202602010102,馬連,7-11,9810,33
202602010102,ワイド,7-11,2620,31
202602010102,ワイド,7-10,370,1
202602010102,ワイド,10-11,1650,22
202602010102,馬単,7→11,14410,53
202602010102,三連複,7-10-11,8160,31
202602010102,三連単,7→11→10,74980,257
202602010103,単勝,6,870,4
202602010103,複勝,6,300,5
202602010103,複勝,10,240,3
202602010103,複勝,1,210,2
202602010103,枠連,5-7,740,4
202602010103,馬連,6-10,1370,6
202602010103,ワイド,6-10,610,6
202602010103,ワイド,1-6,740,10
202602010103,ワイド,1-10,570,5
202602010103,馬単,6→10,3450,14
202602010103,三連複,1-6-10,2730,8
202602010103,三連単,6→10→1,16800,54
202602010104,単勝,6,450,2
202602010104,複勝,6,200,3
202602010104,複勝,7,240,5
202602010104,複勝,8,200,4
202602010104,枠連,4-4,1560,9
202602010104,馬連,6-7,1550,6
202602010104,ワイド,6-7,650,7
202602010104,ワイド,6-8,630,6
202602010104,ワイド,7-8,750,10
202602010104,馬単,6→7,3020,11
202602010104,三連複,6-7-8,3180,10
202602010104,三連単,6→7→8,14520,33
202602010105,単勝,1,390,2
202602010105,複勝,1,160,1
202602010105,複勝,2,200,4
202602010105,複勝,5,920,8
202602010105,枠連,1-2,960,2
202602010105,馬連,1-2,960,3
202602010105,ワイド,1-2,310,2
202602010105,ワイド,1-5,2420,22
202602010105,ワイド,2-5,3440,35
202602010105,馬単,1→2,1650,3
202602010105,三連複,1-2-5,13620,41
202602010105,三連単,1→2→5,49530,157
202602010106,単勝,2,300,2
202602010106,複勝,2,160,3
202602010106,複勝,10,130,1
202602010106,複勝,4,530,7
202602010106,枠連,2-7,510,2
202602010106,馬連,2-10,530,2
202602010106,ワイド,2-10,280,2
202602010106,ワイド,2-4,2020,23
202602010106,ワイド,4-10,1450,15
202602010106,馬単,2→10,990,4
202602010106,三連複,2-4-10,5450,17
202602010106,三連単,2→10→4,17480,50
202602010107,単勝,2,400,2
202602010107,複勝,2,150,3
202602010107,複勝,4,180,5
202602010107,複勝,6,110,1
202602010107,馬連,2-4,1420,6
202602010107,ワイド,2-4,490,7
202602010107,ワイド,2-6,260,3
202602010107,ワイド,4-6,410,4
202602010107,馬単,2→4,2520,10
202602010107,三連複,2-4-6,1390,6
202602010107,三連単,2→4→6,9110,30
202602010108,単勝,11,310,2
202602010108,複勝,11,130,2
202602010108,複勝,10,120,1
202602010108,複勝,9,180,5
202602010108,枠連,7-8,270,1
202602010108,馬連,10-11,360,1
202602010108,ワイド,10-11,170,1
202602010108,ワイド,9-11,480,6
202602010108,ワイド,9-10,400,3
202602010108,馬単,11→10,780,1
202602010108,三連複,9-10-11,1060,2
202602010108,三連単,11→10→9,3900,3
202602010109,単勝,6,920,5
202602010109,複勝,6,230,5
202602010109,複勝,2,130,1
202602010109,複勝,1,180,3
202602010109,枠連,2-6,1420,7
202602010109,馬連,2-6,1880,7
202602010109,ワイド,2-6,540,7
202602010109,ワイド,1-6,680,8
202602010109,ワイド,1-2,350,3
202602010109,馬単,6→2,4630,19
202602010109,三連複,1-2-6,2650,8
202602010109,三連単,6→2→1,19560,69
202602010110,単勝,4,800,5
202602010110,複勝,4,330,5
202602010110,複勝,14,300,4
202602010110,複勝,15,180,2
202602010110,枠連,2-7,1450,4
202602010110,馬連,4-14,4050,16
202602010110,ワイド,4-14,1390,16
202602010110,ワイド,4-15,1330,13
202602010110,ワイド,14-15,960,8
202602010110,馬単,4→14,8940,37
202602010110,三連複,4-14-15,10820,32
202602010110,三連単,4→14→15,75410,247
202602010111,単勝,7,810,6
202602010111,複勝,7,270,5
202602010111,複勝,10,220,4
202602010111,複勝,3,160,1
202602010111,枠連,5-7,1600,7
202602010111,馬連,7-10,4110,19
202602010111,ワイド,7-10,1360,20
202602010111,ワイド,3-7,850,10
202602010111,ワイド,3-10,520,4
202602010111,馬単,7→10,7410,34
202602010111,三連複,3-7-10,4510,12
202602010111,三連単,7→10→3,31400,102
202602010112,単勝,9,2980,9
202602010112,複勝,9,660,9
202602010112,複勝,2,260,6
202602010112,複勝,5,210,2
202602010112,枠連,2-7,1760,9
202602010112,馬連,2-9,6680,23
202602010112,ワイド,2-9,1940,24
202602010112,ワイド,5-9,2490,33
202602010112,ワイド,2-5,750,7
202602010112,馬単,9→2,18740,62
202602010112,三連複,2-5-9,13500,48
202602010112,三連単,9→2→5,107000,390
202602010201,単勝,13,770,5
202602010201,複勝,13,220,4
202602010201,複勝,15,540,8
202602010201,複勝,10,190,2
202602010201,枠連,7-8,4860,20
202602010201,馬連,13-15,6130,23
202602010201,ワイド,13-15,1410,16
202602010201,ワイド,10-13,690,7
202602010201,ワイド,10-15,1910,26
202602010201,馬単,13→15,8790,35
202602010201,三連複,10-13-15,8450,30
202602010201,三連単,13→15→10,53190,189
202602010202,単勝,10,550,3
202602010202,複勝,10,150,2
202602010202,複勝,8,240,7
202602010202,複勝,11,140,1
202602010202,枠連,7-8,480,2
202602010202,馬連,8-10,1490,4
202602010202,ワイド,8-10,530,5
202602010202,ワイド,10-11,340,1
202602010202,ワイド,8-11,710,14
202602010202,馬単,10→8,2910,10
202602010202,三連複,8-10-11,2080,3
202602010202,三連単,10→8→11,14890,52
202602010203,単勝,5,1480,5
202602010203,複勝,5,280,5
202602010203,複勝,1,230,3
