,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,トワイライトビュー,牡2,53.0,▲田山,佐々木,492(+10),栗東,2023105474,01220,アジアエクスプレス  ,アーベントロート  ,フジキセキ  ,-2.550943130882078,13
1,2,2,エコロガルダ,牡2,56.0,小崎,大久保,458(+6),栗東,2023103344,01152,モーリス  ,エイカイマドンナ  ,ハーツクライ  ,-2.4921955898242665,12
2,3,3,リアライズガイザー,牡2,56.0,西村淳,杉山晴,514(+6),栗東,2023105216,01171,コントレイル  ,パーソナルダイアリー  Personal Diary(米)  ,City Zip  (米)  ,-0.308565255053048,2
3,3,4,アドフランマム,牡2,56.0,角田和,本田,506(0),栗東,2023105187,01186,パイロ  Pyro(米)  ,フィアマロッサ  ,アイルハヴアナザー  I'll Have Another(米)  ,-1.8844365676587176,9
4,4,5,メイワキラリ,牡2,56.0,高杉,河嶋,466(+10),栗東,2023103746,01213,ミスターメロディ  ,リュウメイ  ,コロナドズクエスト  Coronado's Quest(米)  ,-0.928515347188011,4
5,4,6,サクライロマウコロ,牝2,55.0,松山,西園正,442(0),栗東,2023103406,01126,クリソベリル  ,サツマキリコ  ,エンパイアメーカー  Empire Maker(米)  ,2.0318649533039483,1
6,5,7,ジョイフルサンデー,牡2,56.0,秋山稔,宮,464(-8),栗東,2023100342,01181,ディスクリートキャット  Discreet Cat(米)  ,カフェドラペ  ,マンハッタンカフェ  ,-0.9350189133015899,5
7,5,8,キープシャイニング,牡2,55.0,☆吉村,長谷川,488(-6),栗東,2023103163,01216,イスラボニータ  ,ダイヤモンドギフト  ,ブライアンズタイム  Brian's Time(米)  ,-2.259287192339132,10
8,6,9,ジャストアダッシュ,牡2,56.0,松若,藤野,474(+4),栗東,2023104941,01154,サンライズソア  ,エクスチェンジ  ,マジェスティックウォリアー  Majestic Warrior(米)  ,-3.9322353417493083,14
9,6,10,メイショウシンガン,牡2,56.0,岩田望,高橋忠,462(0),栗東,2023104988,01174,ニューイヤーズデイ  ,コンゴウレイワ  ,アイルハヴアナザー  I'll Have Another(米)  ,-0.8960924352577849,3
10,7,11,ロードベルファスト,牡2,56.0,長岡,畑端,478(+4),栗東,2023102476,01142,ロジャーバローズ  ,ファシネイト  ,キングカメハメハ  ,-1.199855763361857,8
11,7,12,ラヴネヴァーダイズ,牡2,56.0,団野,渡辺,492(+4),栗東,2023102131,01180,ミッキーアイル  ,モーレアモーレ  ,ジャイアントレッカー  Giant Wrecker(米)  ,-1.0715573555069609,7
12,8,13,アイク,牝2,55.0,浜中,佐藤悠,420(0),栗東,2023105012,01115,ヴァンゴッホ  ,サンデーインアスク  ,ディープインパクト  ,-2.431047794206833,11
13,8,14,ホールオブミラーズ,牡2,56.0,北村友,高野,464(+4),栗東,2023107299,01102,ルーラーシップ  ,ラテラス  ,Harlan's Holiday  ,-0.9808936895357998,6
