,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ビケイムフリー,牝2,54.0,☆吉村,吉村,406(0),栗東,2023104381,01216,サートゥルナーリア  ,エレーデ  ,ディープインパクト  ,-2.867385351051981,7
1,2,2,トミーバローズ,牡2,56.0,松若,清水久,474(0),栗東,2023103101,01154,ヘンリーバローズ  ,ラダームブランシェ  ,チチカステナンゴ  Chichicastenango(仏)  ,-6.455705523878588,14
2,3,3,アスクウルトラモア,牡2,56.0,西村淳,矢作,408(0),栗東,2023105237,01171,コントレイル  ,ケンホープ  Kenhope(仏)  ,Kendargent  ,-4.974968386416819,12
3,3,4,アーリーハーベスト,牝2,55.0,北村友,小林,460(0),栗東,2023107071,01102,アドマイヤマーズ  ,スターズアンドクラウズ  Stars And Clouds(愛)  ,マクフィ  Makfi(英)  ,-5.288128640026787,13
4,4,5,エイズルブルーム,牝2,55.0,団野,坂口,450(0),栗東,2023102996,01180,リオンディーズ  ,ペイシャフェリシタ  ,ハーツクライ  ,-1.6990924409305093,4
5,4,6,ペガサスジルシ,牝2,55.0,坂井,新谷,432(0),栗東,2023107350,01163,ブリックスアンドモルタル  Bricks and Mortar(米)  ,レネットグルーヴ  ,キングカメハメハ  ,-1.154275967553111,3
6,5,7,メドウセージ,牝2,55.0,高杉,藤岡,488(0),栗東,2023103777,01213,ミッキーアイル  ,サマーローズ  ,ハービンジャー  Harbinger(英)  ,-1.8662045375246437,5
7,5,8,ヒルノジェノヴァ,牝2,55.0,菱田,藤野,432(0),栗東,2023102487,01144,タリスマニック  Talismanic(英)  ,ヤマカツナタリー  ,アグネスタキオン  ,-0.20493002797808768,1
8,6,9,ピレシー,牝2,55.0,小崎,宮地,480(0),栗東,2023104304,01152,ダノンスマッシュ  ,パッシフローラ  ,ディープインパクト  ,-0.3091769378761877,2
9,6,10,サイモンシャリオ,牡2,56.0,松山,梅田,494(0),栗東,2023101569,01126,アルアイン  ,キュアロージズ  ,ロージズインメイ  Roses in May(米)  ,-3.252000199372323,9
10,7,11,シャマレル,牡2,56.0,田口,渡辺,446(0),栗東,2023103425,01208,ルーラーシップ  ,シャワークライム  ,ローエングリン  ,-2.6896571499511257,6
11,7,12,メイショウランケイ,牡2,56.0,浜中,武幸,492(0),栗東,2023101751,01115,レイデオロ  ,メイショウマンボ  ,スズカマンボ  ,-4.237752329073482,11
12,8,13,メランコリニスタ,牝2,55.0,岩田康,吉村,456(0),栗東,2023105210,05203,ミッキーアイル  ,ポエティックレガシー  Poetic Legacy(愛)  ,Lope de Vega  ,-3.4158277794746263,10
13,8,14,ファフロツキーズ,牡2,56.0,岩田望,野中,474(0),栗東,2023106304,01174,キタサンブラック  ,フライングニンバス  ,Awesome Again  (加)  ,-3.018344628815234,8
