,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,サルサロッサ,牝6,57.0,▲土田,高柳瑞,452(-4),美浦,2019103100,01198,エスケンデレヤ,ノバラ,マンハッタンカフェ
1,2,2,マイネルヴァッサー,牡12,63.0,草野,土田,424(-16),美浦,2013101904,01113,ステイゴールド,コスモスプラッシュ,メジロブライト
2,3,3,ジーティーオウジャ,セ4,57.0,▲水沼,石栗,512(-14),美浦,2021104943,01201,ルーラーシップ,アラドヴァル,シンボリクリスエス
3,3,4,エンデュミオン,牡8,58.0,▲鷲頭,清水久,462(-10),栗東,2017106153,01202,ヴィクトワールピサ,ヒラボクビジン,ブライアンズタイム Brian's Time(米)
4,4,5,スコラーリ,牡6,60.0,伴,萩原,480(-6),美浦,2019100718,01149,トゥザワールド,ヒカリヴィグラス,サウスヴィグラス
5,4,6,ネロコルヴィーノ,牡4,60.0,小坂,辻野,510(0),栗東,2021105549,01063,スワーヴリチャード,ザクイーン,ヴィクトワールピサ
6,5,7,メイショウウネビ,牡6,60.0,難波,本田,498(-12),栗東,2019104112,01066,メイショウサムソン,サーストンララア,キングカメハメハ
7,5,8,シホノスペランツァ,牡6,61.0,高田,寺島,478(0),栗東,2019105654,01046,ブラックタイド,メジロスプレンダー,シンボリクリスエス
8,6,9,ローンウルフ,牡4,60.0,大江圭,武市,496(+6),美浦,2021104112,01120,リアルインパクト,シェリレーヌ,Mineshaft (米)
9,6,10,パープルアドミラル,牡5,60.0,金子,堀内,440(-6),美浦,2020104328,01052,シビルウォー,ママノヨリミチ,マンハッタンカフェ
10,7,11,テイエムエメラルド,牝7,58.0,小野寺,小椋,460(-2),栗東,2018102822,01123,ロードカナロア,ヒミノダンス,ダンスインザダーク
11,7,12,メイショウカズサ,牡8,60.0,中村,安達,476(0),栗東,2017106642,01101,カジノドライヴ,プレシャスエルフ,コロナドズクエスト Coronado's Quest(米)
12,8,13,ワールドスケール,牡8,61.0,黒岩,加藤公,486(+2),栗東,2017106372,01072,ワールドエース,アモーレヴォレ,アグネスデジタル
13,8,14,アメリカンピース,セ7,60.0,森一,東田,452(-8),栗東,2018110131,01139,Tapit (米),La Cloche,Ghostzapper
