,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ノイシュタット,牡3,56.0,▲水沼,杉浦,470(-10),美浦,2022105371,01201,ニューイヤーズデイ,スクエアゴールド,ステイゴールド
1,2,2,グラヴィテ,牝7,58.0,黒岩,藤野,494(+4),栗東,2018103603,01072,ネオユニヴァース,ファシネイト,キングカメハメハ
2,3,3,ダイシンネイビー,牡4,60.0,金子,戸田,494(+2),美浦,2021106551,01052,シルバーステート,ダイシンステルラ,ダイシンオレンジ
3,3,4,デスティネ,牡8,57.0,▲土田,萱野,482(-4),美浦,2017106490,01198,リアルインパクト,スプリングドリュー,ミシル Misil(米)
4,4,5,フジフォンテ,セ6,60.0,石神深,粕谷,478(+14),美浦,2019105759,01059,ロージズインメイ Roses in May(米),シチリアーナ,メイショウオウドウ
5,4,6,マテンロウノカゼ,牡4,60.0,森一,昆,484(-2),栗東,2021107052,01139,ドゥラメンテ,ゼフィランサス,キングヘイロー
6,5,7,ハイウェイスター,牝4,58.0,中村,宮本,490(-8),栗東,2021106621,01101,アメリカンペイトリオット,キエレ,Distorted Humor (米)
7,5,8,フェスティヴビーム,牡5,60.0,草野,畠山,472(+6),美浦,2020102452,01113,リアルスティール,マクシマール,アグネスタキオン
8,6,9,コンバスチョン,セ6,60.0,上野,伊藤圭,504(+12),美浦,2019101889,01087,ディスクリートキャット Discreet Cat(米),スモーダリング,パイロ Pyro(米)
9,6,10,アゼム,牡3,58.0,小野寺,坂口,454(+12),栗東,2022102823,01123,ヘンリーバローズ,シャルロッカ,タニノギムレット
10,7,11,インターステラ,牡3,58.0,伴,天間,470(+1),美浦,2022103576,01149,ダノンバラード,ラステラ,サッカーボーイ
11,7,12,ヴァランセカズマ,牡8,60.0,大江圭,蛯名利,498(-6),美浦,2017105822,01120,モンテロッソ Monterosso(英),トシザマキ,デュランダル
12,8,13,オステリア,牡6,60.0,高田,宮本,522(-2),栗東,2019103208,01046,ドレフォン Drefong(米),グローブ,ダイワメジャー
13,8,14,モスクロッサー,セ4,57.0,▲坂口,国枝,528(+10),美浦,2021105501,01211,ハーツクライ,クリスプ Crisp(米),El Corredor
