,式別,馬番,配当,人気
0,単勝,5,260,1
1,複勝,5,130,1
2,複勝,7,130,2
3,複勝,2,1990,13
4,枠連,3-4,340,1
5,馬連,5-7,310,1
6,ワイド,5-7,190,1
7,ワイド,2-5,5290,36
8,ワイド,2-7,6840,47
9,馬単,5→7,570,1
10,3連複,2-5-7,12660,31
11,3連単,5→7→2,39540,105
