,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,マテンロウミラクル,牡4,54.0,▲柴田裕,佐々木,栗東,2021105993,1212,カリフォルニアクローム California Chrome(米) ,レイナカスターニャ ,キングカメハメハ ,-0.9992634714716476,11,-0.5039272161162529,11,,
1,1,2,タカサンフェイス,牡5,58.0,鮫島駿,森田,栗東,2020101913,1157,ゴールドシップ ,ウッドシップ ,クロフネ ,-1.6425301738682039,14,-0.7080351690092013,14,,
2,2,3,ウフフトルンナ,牝4,55.0,国分優,大根田,栗東,2021101193,1125,タリスマニック Talismanic(英) ,イサチルルンナ ,キングカメハメハ ,1.249373344420155,2,0.20956324683087807,2,,
3,2,4,モラトリアム,牝7,56.0,古川吉,河内,栗東,2018103125,1015,キズナ ,ゴールドトパーズ ,エンパイアメーカー Empire Maker(米) ,-2.7367548679305744,16,-1.055231691816782,16,,
4,3,5,ワンダーウィルク,牡6,54.0,★河原田,今野,栗東,2019103092,1204,ザファクター ,ワンダービーナス ,バゴ Bago(仏) ,0.8574254976585476,3,0.08519854344227791,3,,
5,3,6,テーオードラッカー,牡4,57.0,川田,高柳大,栗東,2021102244,1088,コパノリッキー ,マキシムカフェ ,マンハッタンカフェ ,-0.05479451109443032,6,-0.20424805449428968,6,,
6,4,7,ペプチドヒナタ,牡4,57.0,高倉,武英,栗東,2021101240,1130,シルバーステート ,ペプチドセマム ,エンパイアメーカー Empire Maker(米) ,0.23218143673605277,5,-0.11319084133065212,5,,
7,4,8,ディアマンドロップ,牝4,55.0,太宰,昆,栗東,2021103545,1037,ブラックタイド ,マルーンドロップ ,コンデュイット Conduit(愛) ,-1.5606371148509737,13,-0.6820505741749362,13,,
8,5,9,ヒルノドゴール,牡4,57.0,武豊,北出,栗東,2021103786,666,アニマルキングダム Animal Kingdom(米) ,ヒルノケアンズ ,ハーツクライ ,-0.3787261017975284,8,-0.30703126029281774,8,,
9,5,10,ドンアポロン,牡4,54.0,▲橋木,西園正,栗東,2021106539,1215,サンダースノー Thunder Snow(愛) ,エイシンジルコン ,ディープインパクト ,-0.10281137606072849,7,-0.21948376306756887,7,,
10,6,11,バルミーウェザー,牡4,57.0,団野,鮫島,栗東,2021101659,1180,パイロ Pyro(米) ,スプリングタイム ,ストリートセンス Street Sense(米) ,0.3135144694393435,4,-0.08738394234801208,4,,
11,6,12,アンナバローズ,牝4,55.0,岩田望,辻野,栗東,2021103291,1174,ロジャーバローズ ,ロック Rocques(仏) ,Lawman ,-0.5016001661240573,9,-0.34601909168512784,9,,
12,7,13,ルミッキ,牝4,55.0,菱田,橋口,栗東,2021104911,1144,ルーラーシップ ,フェイブルネージュ ,ディープインパクト ,-2.2730829837162907,15,-0.9081090150974586,15,,
13,7,14,タイセイブロウ,牡4,57.0,Ｍデムーロ,平田,栗東,2021104101,5212,キンシャサノキセキ ,ギブユースマイル ,エンパイアメーカー Empire Maker(米) ,2.6930264056551896,1,0.6676330799475789,1,,
14,8,15,メイショウハッブル,牡4,57.0,角田和,石橋,栗東,2021102550,1186,グレーターロンドン ,メイショウルナ ,スタチューオブリバティ Statue of Liberty(米) ,-0.5395607615763682,10,-0.35806395488028836,10,,
15,8,16,ウイングスオブラヴ,セ6,55.0,▲今村,笹田,栗東,2019106615,1193,ルーラーシップ ,エイジアンウインズ ,フジキセキ ,-1.114871602769114,12,-0.5406095734168775,12,,
