,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,キーチファイター,牡3,57.0,幸,斉藤崇,栗東,2022103748,732,ブリックスアンドモルタル Bricks and Mortar(米) ,シンシアズブレス ,ダイワメジャー ,-1.269473052356752,12,-0.5896644759511643,12,,
1,1,2,メイショウタビズキ,牡3,57.0,角田和,笹田,栗東,2022103260,1186,レイデオロ ,メイショウツレヅレ ,サウスヴィグラス ,-1.5082939140048255,14,-0.6654421230725106,14,,
2,2,3,ノーランサンライズ,牝3,54.0,☆小沢,音無,栗東,2022102219,1185,キタサンブラック ,ブラボーデイジー ,クロフネ ,2.584875122741743,1,0.6333167740110697,1,,
3,2,4,エンジョイドライブ,牡3,57.0,古川吉,鮫島,栗東,2022102713,1015,フォーウィールドライブ Four Wheel Drive(米) ,プリンセスメイク ,キャプテンスティーヴ Captain Steve(米) ,0.5493885319816544,4,-0.012541311963616705,4,,
4,3,5,ケイアイブイスリー,牡3,57.0,藤懸,平田,栗東,2022106583,1138,ルヴァンスレーヴ ,ケイアイガーベラ ,Smarty Jones (米) ,0.2101137808210254,6,-0.12019288893731572,6,,
5,3,6,マゴイチタ,セ3,57.0,高倉,武英,栗東,2022105793,1130,ミッキーアイル ,サマーローズ ,ハービンジャー Harbinger(英) ,0.6266544208219058,3,0.011975085886424175,3,,
6,4,7,スリーレジェンド,牡3,57.0,酒井,石橋,栗東,2022103602,1034,ダノンレジェンド ,プレイフォーマザー ,ディープスカイ ,-0.4473329778173205,9,-0.3288001610716233,9,,
7,4,8,ランドブレイブ,牡3,57.0,国分優,安達,栗東,2022106943,1125,アジアエクスプレス ,ハロードリーム ,ブライアンズタイム Brian's Time(米) ,-3.8349715817617644,16,-1.4036948789486408,16,,
8,5,9,リュウジンマル,牡3,57.0,Ｍデムーロ,村田,美浦,2022105883,5212,アジアエクスプレス ,エムオークィーン ,スマートファルコン ,0.27250936187348196,5,-0.1003948265306409,5,,
9,5,10,サンライズブレイク,牡3,57.0,西村淳,浜田,栗東,2022101396,1171,フォーウィールドライブ Four Wheel Drive(米) ,オークヴィル ,タニノギムレット ,-1.481018368540986,13,-0.6567876167411214,13,,
10,6,11,ユアマイクラッシュ,牡3,57.0,加藤,庄野,栗東,2022103127,1156,タワーオブロンドン ,ワールドフォーラブ ,ディープインパクト ,-2.212010584679336,15,-0.8887307971681719,15,,
11,6,12,ダンツトラバース,牡3,57.0,太宰,本田,栗東,2022100021,1037,フォーウィールドライブ Four Wheel Drive(米) ,タガノシムナ ,ロードカナロア ,0.18789493563033732,7,-0.12724290876675956,7,,
12,7,13,シュネーグロッケン,牡3,55.0,△吉村,清水久,栗東,2022104944,1216,ナダル Nadal(米) ,ハウナニ ,ロードカナロア ,0.7018595751542152,2,0.03583761450881051,2,,
13,7,14,コリカンチャ,牡3,57.0,団野,斉藤崇,栗東,2022104623,1180,ブリックスアンドモルタル Bricks and Mortar(米) ,アロマティコ ,キングカメハメハ ,-0.5909213187481461,10,-0.37436061401827414,10,,
14,8,15,ボル,牡3,53.0,★河原田,河内,栗東,2022103897,1204,バゴ Bago(仏) ,ミヤビグローリー ,アグネスタキオン ,-0.6887392079793125,11,-0.40539814332439145,11,,
15,8,16,ワンウェイトゥヘル,牡3,57.0,松山,中村,栗東,2022102701,1126,タワーオブロンドン ,アリアプーラ Aria Pura(豪) ,Flying Spur ,-0.24101315746325805,8,-0.26333506546381746,8,,
