,式別,馬番,配当,人気
0,単勝,8,1360,5
1,複勝,8,270,5
2,複勝,4,200,2
3,複勝,14,210,3
4,枠連,3-5,1040,4
5,馬連,4-8,2630,10
6,ワイド,4-8,990,11
7,ワイド,8-14,1150,13
8,ワイド,4-14,880,9
9,馬単,8→4,7090,27
10,3連複,4-8-14,6410,21
11,3連単,8→4→14,52540,161
