,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,アクアリッズ,牡4,58.0,江田照,加藤和,488(+2),美浦,2022100684,689,サトノクラウン,メイケイキララ,タイキシャトル,-1.669259704149077,14,-0.2962057214999579,13,,14,40.2,42.6,41.7,13
1,2,2,ジャスティンライズ,セ5,58.0,石川,大和田,520(-8),美浦,2021103237,1150,キズナ,ジアナズドリーム,Twirling Candy,1.4379621186660985,1,0.0558170380098033,14,,10,38.8,44.3,39.3,14
2,3,3,レッドヴァリアート,牡4,58.0,荻野極,加藤公,462(0),栗東,2022105290,1160,ルーラーシップ,ガールズバンド,ディープインパクト,0.3574130077091772,6,-0.066600317916285,4,,12,50.2,43.6,47.2,6
3,3,4,ガンバルマン,牡4,58.0,原田和,萱野,478(-2),美浦,2022101307,1143,フィエールマン,リオニアンレディー,Kingmambo,0.770557767430929,4,-0.0197944036019727,9,,11,46.8,43.7,45.0,9
4,4,5,ウインリュクス,牝6,56.0,菱田,吉田,438(-4),栗東,2020105189,1144,ハービンジャー,ウインプリメーラ,ステイゴールド,1.2556963887519637,2,0.035167825025613,7,,2,48.8,58.8,78.0,1
5,4,6,イリュストル,牡4,58.0,杉原,大竹,498(-4),美浦,2022105154,1135,シュヴァルグラン,レスペランス,キングカメハメハ,0.1060304945632811,8,-0.0950798958210071,11,,7,45.1,47.3,44.0,11
6,5,7,ディアボリカドンナ,牝4,56.0,今村,武井,444(-4),美浦,2022104587,1193,フィエールマン,アイムユアーズ,Invincible Spirit,0.2243380324353416,7,-0.0816766216657053,8,,8,48.2,45.3,46.2,8
7,5,8,スイートオレンジ,牝4,56.0,横山琉,中川,446(0),美浦,2022103494,1192,ゴールドシップ,ヴィーナスベルト,コンデュイット,0.3606605892130593,5,-0.0662323935555795,1,,1,80.0,79.4,57.4,3
8,6,9,ムーンストラック,牝4,56.0,菊沢,武市,456(+6),美浦,2022104187,1161,シュヴァルグラン,リンターバル,Desert Prince,1.20729756386399,3,0.0296846349395386,2,,5,59.4,50.1,58.6,2
9,6,10,パイオニアスクエア,牡4,58.0,富田,茶木,490(-8),栗東,2022105367,1168,ドゥラメンテ,ジュリエットシアトル,Seattle Fitz,-1.337184347177099,13,-0.2585843059099522,3,,4,52.3,50.8,56.7,4
10,7,11,ラブカ,牡5,58.0,小沢,今野,460(-4),栗東,2021101003,1185,リアルスティール,ミヤジマミー,ヴィクトワールピサ,-1.126872452366629,12,-0.2347576923655635,6,,13,49.4,42.6,46.9,7
11,7,12,キングズトゥルー,牡4,58.0,丸田,大竹,460(-2),美浦,2022103510,1117,ウインブライト,クイーンズトゥルー,キングカメハメハ,-0.5428754741823183,10,-0.1685956223465183,5,,3,50.2,58.5,50.5,5
12,8,13,サンセットビュー,牝5,56.0,小崎,新谷,466(+4),栗東,2021104103,1152,ドゥラメンテ,ゴーイントゥザウィンドウ,Tapit,-0.9098303369360344,11,-0.2101685999992864,10,,6,46.1,48.4,45.0,10
13,8,14,ゲンジ,牡4,58.0,ゴンサルベ,尾形,426(0),美浦,2022105597,5675,オルフェーヴル,サクレディーヴァ,クロフネ,-0.1339336478226813,9,-0.1222658659264714,12,,9,44.4,44.6,43.5,12
