,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,オンザライン,セ8,56.0,木幡巧,大和田,464(+4),美浦,2018104646,1162,スクリーンヒーロー,ステラスターライト,ディープインパクト,-1.4027129257783184,14,-0.644507284762529,12,,10,40.2,44.2,42.4,15
1,2,2,パフ,牡5,55.0,西塚,橋口,482(-2),栗東,2021100292,1200,レイデオロ,アンジュエ,アグネスタキオン,-1.222934810904064,13,-0.5926383607645487,6,,6,51.2,47.6,44.9,10
2,2,3,セギレエルビエント,牝4,54.0,川田,伊坂,472(+8),美浦,2022105832,1088,ナダル,ビキニスタイル,ディープインパクト,-0.9075956113614964,11,-0.5016578485587231,3,,2,55.6,59.2,55.0,3
3,3,4,リバートゥルー,牝6,54.0,吉田豊,久保田,472(+2),美浦,2020102703,733,レッドファルクス,フルオブグレース,ヴィクトワールピサ,-0.4206057679333661,10,-0.3611533205507957,8,,4,50.2,55.2,47.2,8
4,3,5,グランドセントラル,牡5,53.0,秋山稔,北出,472(+4),栗東,2021104422,1181,シャンハイボビー,ブリリン,タイキシャトル,0.7167914476314825,6,-0.0329956370034292,13,,15,39.7,43.0,43.9,11
5,4,6,ロッシニアーナ,牡4,55.0,ルメール,木村,522(+6),美浦,2022110120,5339,Not This Time,Dos Vinos,Twirling Candy,2.019219808301552,1,0.3427762287749035,1,,5,79.2,50.3,59.3,2
6,4,7,フラムリンガム,セ5,53.0,北村友,柄崎,468(-14),美浦,2021104910,1102,ダイワメジャー,ファルネーゼ,フレンチデピュティ,0.3654147399182057,8,-0.1343735592259887,14,,14,39.5,43.1,42.6,13
7,5,8,レディーフランシス,牝4,53.0,横山典,和田勇,446(0),美浦,2022105225,660,オルフェーヴル,アンブルサイド,ウォーエンブレム,1.6478398901760578,3,0.2356270534645441,5,,8,51.6,47.3,53.8,4
8,5,9,クールブロン,牡6,55.0,三浦,井上,550(+16),栗東,2020102724,1122,ドレフォン,リリカルホワイト,ダイワメジャー,-2.2433611233906805,15,-0.8870480272855733,9,,3,49.8,56.0,43.7,12
9,6,10,ベルダイナフェロー,牝5,52.0,松若,東田,468(-10),栗東,2021102982,1154,American Pharoah,ジャンナスキッキ,War Front,0.8009923337368545,5,-0.0087023053873039,10,,11,49.0,44.1,47.6,7
10,6,11,ノーブルスカイ,牡5,54.0,西村淳,高柳大,484(-2),栗東,2021102256,1171,ネオユニヴァース,ホウショウワールド,Sky Classic,0.4356856810201127,7,-0.1140992443805428,4,,12,52.9,43.6,48.9,6
11,7,12,ルージュスタニング,牝5,54.0,戸崎圭,友道,520(+2),栗東,2021105775,5386,Into Mischief,ボインビューティー,Giant's Causeway,1.7732737894101147,2,0.2718167831804904,2,,1,56.7,80.9,81.1,1
12,7,13,ミライヘノカギ,牡4,57.0,坂井,上原佑,532(+2),美浦,2022102062,1163,モズアスコット,セラミックアート,フジキセキ,-1.1265401055692337,12,-0.5648269130345666,7,,9,50.4,45.0,51.6,5
13,8,14,メイショウポペット,牝6,52.0,柴田大,角田,508(+10),栗東,2020106896,1009,ヴィクトワールピサ,マリエット,Uncle Mo,-0.0010730539759612,9,-0.2401112767506168,15,,13,39.0,43.2,42.6,14
14,8,15,フルオール,牡7,57.0,斎藤,斎藤誠,482(-2),美浦,2019102143,1178,ホッコータルマエ,ゴールドフォレスト,ゴールドアリュール,0.933373142197746,4,0.0294917211639918,11,,7,45.1,47.4,45.4,9
