,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,アスクヴォルテージ,牡4,58.0,小沢,藤原,532(-2),栗東,2022102305,1185,Frankel,レッツゴードンキ,キングカメハメハ,-0.0855186775167879,7,-0.014078279211518926,7,,
1,2,2,ラブアイミー,牝4,56.0,中井,森田,414(+8),栗東,2022107258,1141,サンダースノー,ラブカンプー,ショウナンカンプ,-0.2238807747696266,12,-0.020692875049207547,12,,
2,3,3,カイトグート,牝5,53.0,▲石神道,和田雄,464(-10),美浦,2021106308,1209,キズナ,マリブウィン,Malibu Moon,1.1921545156371691,2,0.047002695659213625,2,,
3,4,4,ホウオウショコラ,牝4,56.0,菱田,大竹,480(+2),美浦,2022101108,1144,ゴールドドリーム,マイネレーヌ,マイネルラヴ,-0.0855186775167879,7,-0.014078279211518926,7,,
4,4,5,グレースルージュ,牝5,56.0,ゴンサルベ,吉村,436(-14),栗東,2021104140,5675,デクラレーションオブウォー,パールウェディング,Tapit,1.1921545156371691,2,0.047002695659213625,2,,
5,5,6,セディバン,牡4,58.0,松本,吉田,478(-6),栗東,2022102770,1191,タワーオブロンドン,アニムス,ゴールドアリュール,-0.0855186775167879,7,-0.014078279211518926,7,,
6,5,7,ジェニファー,牝5,54.0,△舟山,浜田,458(+2),栗東,2021103932,1221,アニマルキングダム,スイングサンデー,スペシャルウィーク,-0.0855186775167879,7,-0.014078279211518926,7,,
7,6,8,ルパヴィヨン,牝4,56.0,菊沢,小手川,472(0),美浦,2022105279,1161,イスラボニータ,オーレリアズベル,Lemon Drop Kid,1.1921545156371691,2,0.047002695659213625,2,,
8,6,9,アーサーズウェイン,牝4,56.0,横山琉,高橋一,454(0),栗東,2022106433,1192,ビッグアーサー,アステュート,アグネスタキオン,-0.0855186775167879,7,-0.014078279211518926,7,,
9,7,10,ベルファスト,牝5,52.0,★河原田,今野,498(+2),栗東,2021101414,1204,ダイワメジャー,タミーン,Shirocco,-0.2238807747696266,12,-0.020692875049207547,12,,
10,7,11,パリコレジェンヌ,牝4,56.0,丸田,鈴木孝,464(-6),栗東,2022104501,1117,ミスターメロディ,ビオレイメル,ワイルドラッシュ,1.1921545156371691,2,0.047002695659213625,2,,
11,8,12,ノボリリア,牝4,56.0,富田,石橋,442(+2),栗東,2022103058,1168,カリフォルニアクローム,ノボリレジェンド,ディープインパクト,-0.0855186775167879,7,-0.014078279211518926,7,,
12,8,13,セガンティーニ,牝4,56.0,石川,坂口,474(-4),栗東,2022106835,1150,ビッグアーサー,カゼノサファイア,スパイキュール,-0.2238807747696266,12,-0.020692875049207547,12,,
