,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,オーケーグリット,牡2,56.0,石川,相沢,460(0),美浦,2023101880,1150,ハービンジャー  Harbinger(英)  ,ヒアーズトウショウ  ,フジキセキ  ,0.17959652167471046,8,-0.09513022226728556,8,,
1,1,2,アルカディアカフェ,牡2,56.0,レーン,堀,452(0),美浦,2023110061,5585,Into Mischief  ,Mary's Follies  ,More Than Ready  ,2.279333672789022,1,0.34103346022541103,1,,
2,2,3,ドナシュネル,牝2,55.0,荻野極,栗田,436(-2),美浦,2023110050,1160,Wootton Bassett  (英)  ,Chiffon  ,Galileo  (愛)  ,0.5298573279070846,5,-0.022372999774889813,5,,
3,2,4,アメリカンロマン,牡2,52.0,★谷原,伊藤圭,460(0),美浦,2023100801,1219,カリフォルニアクローム  California Chrome(米)  ,クラウンロマン  ,カネヒキリ  ,0.5504631877695148,4,-0.018092688920859145,4,,
4,3,5,ウリズンベー,牡2,56.0,岩田康,萩原,468(-4),美浦,2023103709,5203,ルヴァンスレーヴ  ,ヌチバナ  ,キングカメハメハ  ,0.5036180754317473,6,-0.0278234957950346,6,,
5,3,6,リアライズタキオン,牡2,56.0,津村,手塚久,464(0),美浦,2023105224,1092,ルヴァンスレーヴ  ,タイムハンドラー  ,ディープブリランテ  ,-0.4405091153516145,12,-0.22394042026580488,12,,
6,4,7,ファイアリービート,牡2,56.0,大野,鈴木慎,446(-2),美浦,2023101135,1096,パイロ  Pyro(米)  ,チャチャチャ  ,ダイワメジャー  ,0.7557084473567746,2,0.024541470401530752,2,,
7,4,8,ピードモント,牡2,56.0,内田博,武井,482(-2),美浦,2023107348,422,キズナ  ,レディデラウェア  Lady Delaware(米)  ,American Pharoah  (米)  ,-0.025022941538432993,10,-0.1376343892947445,10,,
8,5,9,スフェーンテソーロ,牝2,55.0,木幡巧,牧,480(-10),美浦,2023100121,1162,フィレンツェファイア  ,ルレシャンテ  ,ヴィクトワールピサ  ,0.5755748419889979,3,-0.01287642098368403,3,,
9,5,10,ブルースパーダ,牡2,56.0,原,矢野,488(+6),美浦,2023105413,1184,ゴールドドリーム  ,ブルーチッパー  ,ボーナスフィーバー  ,0.3946256679333428,7,-0.05046372473655732,7,,
10,6,11,ナフセッド,牡2,56.0,菅原明,中川,460(0),美浦,2023103294,1179,アドマイヤマーズ  ,ホームタイム  Hometime(英)  ,Dubai Destination  ,-1.5548250526824279,15,-0.45540946029711543,15,,
11,6,12,アラクラン,牡2,56.0,北村宏,田村,498(-8),美浦,2023107086,1043,リアルスティール  ,セルキス  Selkis(独)  ,Monsun  ,0.17353847438959916,9,-0.09638861797228453,9,,
12,7,13,シンシア,牝2,55.0,菊沢,蛯名正,452(0),美浦,2023102227,1161,クリソベリル  ,ダンスウィズミー  ,ディープインパクト  ,-1.560928910368139,16,-0.45667737187557095,16,,
13,7,14,オーパパ,牡2,56.0,横山武,斎藤誠,478(-4),美浦,2023103915,1170,アメリカンペイトリオット  ,アンシャンテ  ,エピファネイア  ,-0.14810643775749177,11,-0.16320166133948147,11,,
14,8,15,アオイミズホ,牡2,56.0,戸崎圭,古賀,524(+6),美浦,2023101814,5386,ビーチパトロール  Beach Patrol(米)  ,アオイサンシャイン  ,ダイワメジャー  ,-1.511221691807907,14,-0.44635203973473875,14,,
15,8,16,クアッドフォルツァ,牡2,53.0,▲佐藤,伊藤圭,470(+2),美浦,2023101301,1207,ゴールドドリーム  ,ビフォーダーク  ,キングカメハメハ  ,-0.7017020677347807,13,-0.27819620170593584,13,,
