,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,フミサウンド,牡5,58.0,荻野極,鹿戸,456(+8),美浦,2020103218,01160,ジャスタウェイ  ,アブソルートリー  Absolutely(豪)  ,Redoute's Choice  ,-0.04704651446535561,7
1,2,2,ニシノスピカ,牝6,56.0,津村,鈴木伸,500(+12),美浦,2019103570,01092,ダンカーク  Dunkirk(米)  ,ニシノリコルディ  ,ハーツクライ  ,0.8261537543703432,2
2,3,3,ウォルラス,牡5,58.0,江田照,中川,506(0),美浦,2020106687,00689,イスラボニータ  ,アイヴォリーカラー  ,クロフネ  ,-3.056585630790909,14
3,3,4,カネショウレジェン,牡3,57.0,横山琉,稲垣,490(0),美浦,2022102790,01192,ダノンレジェンド  ,マスターコーク  ,フレンチデピュティ  French Deputy(米)  ,0.06773863156288054,5
4,4,5,ミロワール,牝6,56.0,古川吉,河嶋,470(-4),栗東,2019100566,01015,ロードカナロア  ,オルトリンデ  ,ダンスインザダーク  ,-2.8097779287338973,13
5,4,6,ゲキザル,牡6,58.0,小林脩,青木,484(+4),美浦,2019102102,01183,ザファクター  ,トゥモローズライト  ,アフリート  Afleet(加)  ,-1.8610419619764114,11
6,5,7,デビッドテソーロ,牡4,58.0,柴田大,田中剛,470(+2),美浦,2021102280,01009,スワーヴリチャード  ,バレットテソーロ  ,Camelot  (英)  ,-0.9878200488261011,9
7,5,8,サンダーアリュール,牝4,53.0,▲遠藤,菊川,458(-2),美浦,2021109069,01218,サンダースノー  Thunder Snow(愛)  ,ゴールドマリキヤ  ,ゴールドアリュール  ,-0.5765877574481795,8
8,6,9,ダイシンリンク,牡3,57.0,戸崎圭,森秀,456(-8),栗東,2022106699,05386,モーニン  ,スルーレート  ,フレンチデピュティ  French Deputy(米)  ,0.002207083937054497,6
9,6,10,トラヴェリンバンド,牡3,57.0,菊沢一樹,西村,466(-2),栗東,2022104009,01161,シニスターミニスター  Sinister Minister(米)  ,コテキタイ  ,サウスヴィグラス  ,1.2640711604155888,1
10,7,11,ペイシャケイプ,牡3,55.0,◇永島,高橋康,546(+4),栗東,2022104219,01187,シャンハイボビー  Shanghai Bobby(米)  ,ペイシャフローレス  ,ヴィクトワールピサ  ,0.16487157831673588,4
11,7,12,ルークススペイ,牡3,57.0,三浦,伊藤圭,490(+6),美浦,2022101543,01122,ベストウォーリア  ,メリーウェザー  ,メジロベイリー  ,0.2070519179153351,3
12,8,13,ミヤビクライ,牡6,58.0,柴田善,小島,504(+2),美浦,2019106118,00641,ザファクター  ,ミヤビキラメキ  ,ハーツクライ  ,-2.4384039722723188,12
13,8,14,ターニングアップ,牡7,58.0,内田博,南田,490(+6),美浦,2018101894,00422,カレンブラックヒル  ,トロピカルタイム  ,ブライアンズタイム  Brian's Time(米)  ,-1.7649248457492726,10
