,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ハドソンテソーロ,牝4,56.0,木幡巧也,菊川,464(-15),美浦,2021103387,01162,サトノアラジン  ,ダイストウショウ  ,サクラバクシンオー  ,-1.7506240612423136,9
1,2,2,ブエナディオサ,牝6,56.0,津村,奥平,468(0),美浦,2019106938,01092,メイショウボーラー  ,ヴェイグストーリー  ,ゴールドアリュール  ,-3.0349518048597814,15
2,2,3,ウエヲムイテゴラン,牝4,56.0,ルメール,萩原,460(0),美浦,2021103226,05339,Justify  (米)  ,オールインファン  All in Fun(米)  ,Tapit  (米)  ,0.10431107653105764,1
3,3,4,セギレエルビエント,牝3,55.0,荻野極,伊坂,456(-4),美浦,2022105832,01160,ナダル  Nadal(米)  ,ビキニスタイル  ,ディープインパクト  ,-1.899772899402772,10
4,3,5,ヴィンブルレー,牝3,55.0,戸崎圭,矢野,472(+14),美浦,2022104758,05386,ナダル  Nadal(米)  ,グリューヴァイン  ,ゴールドアリュール  ,0.018646945932871292,2
5,4,6,サクラパステル,牝3,55.0,丸山,田島,472(+2),美浦,2022104089,01127,シニスターミニスター  Sinister Minister(米)  ,サクラクローバー  ,サウスヴィグラス  ,-0.65643503720692,4
6,4,7,レシェルドランジュ,牝4,56.0,菅原明,伊藤大,460(+4),美浦,2021105386,01179,ニューイヤーズデイ  ,アンジュシャルマン  ,マンハッタンカフェ  ,-2.25120084503444,11
7,5,8,ラピダリア,牝4,56.0,石川,吉田,466(-6),栗東,2021100652,01150,マジェスティックウォリアー  Majestic Warrior(米)  ,ベルクリア  ,ヴァーミリアン  ,-2.3378661936120517,12
8,5,9,ノーブルミステリー,牝5,53.0,▲遠藤,菊川,464(+2),美浦,2020106429,01218,ディーマジェスティ  ,マウンテンミステリー  Mountain Mystery(加)  ,Mt. Livermore  ,-0.9116887344826853,5
9,6,10,ホシニネガイヲ,牝3,55.0,三浦,竹内,434(+4),美浦,2022101386,01122,ミスターメロディ  ,アストランティア  ,キングカメハメハ  ,-2.4483148697210777,13
10,6,11,サンタアニタ,牝3,55.0,レーン,斎藤誠,478(+2),美浦,2022103594,05585,ナダル  Nadal(米)  ,ワンスインナムーン  ,アドマイヤムーン  ,-1.6466517846196007,7
11,7,12,ラブディーヴァ,牝4,53.0,▲石田,田中勝,464(+12),美浦,2021104074,01203,ダイワメジャー  ,ラブディラン  ,Dylan Thomas  (愛)  ,-0.02455011020355747,3
12,7,13,シャンハイナイト,牝3,55.0,江田照,村田,486(-2),美浦,2022102347,00689,シャンハイボビー  Shanghai Bobby(米)  ,スズノメヒョー  ,バチアー  Bachir(愛)  ,-2.4900027728162986,14
13,8,14,モリノアミーゴ,牝3,55.0,横山武,鈴木伸,462(-2),美浦,2022106328,01170,モーニン  ,ロサモスカータ  ,ヴィクトワールピサ  ,-1.7277145063485464,8
14,8,15,ハッピービバーク,牝3,55.0,横山和,嘉藤,466(+8),美浦,2022100618,01140,ルヴァンスレーヴ  ,エイスノート  ,ロードカナロア  ,-1.1874836560225188,6
