,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,リオンエトワール,セ5,60.0,大江圭,堀内,美浦,2020102589,01120,ルーラーシップ ,ミネット ,ディープインパクト 
1,2,2,ヒルズカーン,牡5,60.0,草野,松永康,美浦,2020106166,01113,ダノンバラード ,ドクトルコスモ ,オレハマッテルゼ 
2,3,3,スペクトログラム,牡6,60.0,小牧加,池江,栗東,2019105186,01196,ドレフォン Drefong(米) ,ケアレスウィスパー ,フジキセキ 
3,4,4,ワンダージュノ,セ6,60.0,田村,森田,栗東,2019102803,01105,ワンダーアキュート ,ワンダープリマ ,デヒア Dehere(米) 
4,4,5,コスモエスメラルダ,牝4,57.0,小野寺,土田,美浦,2021106785,01123,ゴールドシップ ,コスモリープリング ,ヤマニンセラフィム 
5,5,6,ノアフェイス,牡4,57.0,▲坂口,武藤,美浦,2021107206,01211,アメリカンペイトリオット ,フォレスタレガーロ ,ダイワメジャー 
6,5,7,アナザーエース,牡5,57.0,▲井上,宮,栗東,2020104005,01151,ヤマカツエース ,ホットフレイバー ,タバスコキャット Tabasco Cat(米) 
7,6,8,コスモゴレアドール,牡6,57.0,▲土田,土田,美浦,2019100741,01198,ゴールドシップ ,グワダラハラ Guadalajara(独) ,Acatenango 
8,6,9,シホノスペランツァ,牡6,60.0,高田,寺島,栗東,2019105654,01046,ブラックタイド ,メジロスプレンダー ,シンボリクリスエス 
9,7,10,スタボーンイメル,牡5,60.0,難波,高橋忠,栗東,2020104853,01066,ヘニーヒューズ Henny Hughes(米) ,ダーリングバード Darling Bird(米) ,Birdstone 
10,7,11,カイザーブリッツ,セ5,60.0,上野,伊藤圭,美浦,2020106384,01087,ロードカナロア ,エルパンドール ,ネオユニヴァース 
11,8,12,ジッピーレーサー,セ8,60.0,伴,天間,美浦,2017110086,01149,City Zip (米) ,Espial ,Banker's Gold 
12,8,13,マグナレガリア,牡4,59.0,五十嵐,相沢,美浦,2021106574,01069,レイデオロ ,デライトポイント ,トウカイテイオー 
