,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,アメリカンピース,セ7,60.0,小坂,東田,栗東,2018110131,01063,Tapit  (米)  ,La Cloche  ,Ghostzapper  
1,2,2,ドライグ,牡5,60.0,難波,大根田,栗東,2020101652,01066,ダノンレジェンド  ,ラヴィーゲラン  ,スペシャルウィーク  
2,3,3,アメリカンエール,セ7,60.0,高田,東田,栗東,2018110132,01046,Tapit  (米)  ,Sindy With an S  ,Broken Vow  
3,4,4,アルカンサス,牡6,60.0,西谷誠,土田,美浦,2019101023,01005,シルバーステート  ,ラサンバ  La Samba(豪)  ,Orientate  
4,5,5,サラフィエル,セ6,60.0,伴,鈴木慎,美浦,2019101464,01149,ヤマニンセラフィム  ,ティフィン  ,トワイニング  Twining(米)  
5,6,6,テトラード,牡4,60.0,小野寺,坂口,栗東,2021104999,01123,マインドユアビスケッツ  Mind Your Biscuits(米)  ,カラフルマーメイド  ,ハービンジャー  Harbinger(英)  
6,6,7,ロードプレジール,牡7,60.0,小牧加,佐藤悠,栗東,2018102576,01196,キングカメハメハ  ,キャトルフィーユ  ,ディープインパクト  
7,7,8,ミラクルジニア,牡4,60.0,石神深,粕谷,美浦,2021103301,01059,ダンカーク  Dunkirk(米)  ,キセキノハナ  ,ネオユニヴァース  
8,7,9,スペクトログラム,牡6,60.0,黒岩,池江,栗東,2019105186,01072,ドレフォン  Drefong(米)  ,ケアレスウィスパー  ,フジキセキ  
9,8,10,スズノイナズマ,セ7,60.0,大江圭,深山,美浦,2018102811,01120,リーチザクラウン  ,フローラルウインド  ,アグネスタキオン  
10,8,11,モズクルードラゴン,牡6,57.0,▲井上,天間,美浦,2019103719,01151,グランプリボス  ,モズラコルタ  ,ヴィクトワールピサ  
