,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,アナザーエース,牡6,57.0,▲井上,宮,516(-10),栗東,2020104005,01151,ヤマカツエース,ホットフレイバー,タバスコキャット
1,2,2,ノーマジック,牝5,57.0,小林凌,戸田,--,美浦,2021101166,01177,ストロングリターン,ウインルキア,ディープインパクト
2,3,3,ドーバーホーク,牡6,60.0,上野,清水英,496(+4),美浦,2020105365,01087,ディーマジェスティ,タカラジェニファ,ヨハネスブルグ
3,4,4,ナムラトロム,牡4,57.0,▲水沼,石栗,472(+4),美浦,2022106874,01201,アドミラブル,ナムラモヨ,ラブリーデイ
4,5,5,モンツァフレイバー,牡4,59.0,草野,久保田,466(+2),美浦,2022103181,01113,エピファネイア,メープルフレイバー,キングカメハメハ
5,6,6,ユースフルネス,牡4,59.0,伴,小野,456(-2),美浦,2022100482,01149,マジェスティックウォリアー,ミッキーパパイア,ルーラーシップ
6,6,7,ウインシュクラン,セ8,60.0,石神深,和田郎,474(+4),美浦,2018101615,01059,スクリーンヒーロー,イクスキューズ,ボストンハーバー
7,7,8,ベイビーベリッシモ,牡4,59.0,五十嵐,大和田,500(+12),美浦,2022102728,01069,ロゴタイプ,カルテブランシェ,ゴールドアリュール
8,7,9,ルーチェロッサ,牝6,58.0,大江圭,粕谷,476(0),美浦,2020103955,01120,ビーチパトロール,ルミナスレッド,トーセンダンス
9,8,10,レッドラマンシュ,セ7,60.0,小牧加,庄野,476(0),栗東,2019103920,01196,ロードカナロア,レッドシェリール,ゼンノロブロイ
10,8,11,アゼム,牡4,59.0,小野寺,坂口,458(+4),栗東,2022102823,01123,ヘンリーバローズ,シャルロッカ,タニノギムレット
