,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ナムラオットー,牡3,57.0,城戸,荒川,450(-2),栗東,2023106232,1147,アニマルキングダム,ナムラユメ,ゼンノロブロイ,-1.6793136421411423,16,-1.1844568065859422,16,,
1,1,2,ソードスレイプニル,牝3,53.0,◇永島,鈴木慎,448(-2),美浦,2023103942,1187,インディチャンプ,ゴールドエンジェル,クロフネ,0.8331520173490201,3,-0.0008373403895631584,3,,
2,2,3,イチザペガサス,牡3,57.0,的場,的場,456(-2),美浦,2023102554,1108,ヴァンセンヌ,イチザラブ,タイムパラドックス,-1.5378595084518099,15,-1.1178179390749674,15,,
3,2,4,スラッシュ,牡3,57.0,国分優,安達,474(+1),栗東,2023103189,1125,フィレンツェファイア,テンザンオトヒメ,フジキセキ,0.6368840981653815,6,-0.09329891448437201,6,,
4,3,5,ジーティーヒラリ,牝3,52.0,▲川端,加藤和,408(-6),美浦,2023106336,1195,リアルスティール,グランドウイズダム,キングカメハメハ,-0.07523551496940861,7,-0.4287775838874045,7,,
5,3,6,ゼンノフォトン,牡3,57.0,西村淳,茶木,462(+6),栗東,2023104050,1171,シャンハイボビー,クーファエラン,オルフェーヴル,-0.10429112155510022,8,-0.44246564423046486,8,,
6,4,7,メイショウジーニー,牝3,55.0,幸,西園正,390(-4),栗東,2023106566,732,サトノアラジン,メイショウアキシノ,デュランダル,-0.2923955479443066,9,-0.5310814069617844,9,,
7,4,8,ラヴネヴァーダイズ,牡3,57.0,松山,渡辺,490(+2),栗東,2023102131,1126,ミッキーアイル,モーレアモーレ,ジャイアントレッカー,0.6842972698026585,4,-0.07096262793971175,4,,
8,5,9,コパノルーカス,牡3,57.0,田口,梅田,494(0),栗東,2023104972,1208,モズアスコット,マリカ,サウスヴィグラス,-0.4212459641128314,10,-0.5917826787298206,10,,
9,5,10,アクアマイスター,牡3,57.0,松若,藤野,464(-4),栗東,2023102464,1154,フィレンツェファイア,シェルトファータ,ヘニーヒューズ,-0.4499409222640233,11,-0.6053008380412331,11,,
10,6,11,トモエナゲ,牡3,57.0,荻野琢,青木,470(+1),美浦,2023105542,1112,ベストウォーリア,キョウモバライロ,フリオーソ,-0.8445667669433361,13,-0.7912085856207189,13,,
11,6,12,アイアンナックル,牡3,57.0,秋山稔,尾形,442(-12),美浦,2023100633,1181,ゴールドドリーム,オルガンパイプ,サウスヴィグラス,0.6667744370530612,5,-0.07921761278576747,5,,
12,7,13,サンライズロイ,牡3,57.0,小崎,牧浦,472(-4),栗東,2023106556,1152,フォーウィールドライブ,サンデーローズ,ブライアンズタイム,0.8385266891113593,2,0.0016946608333357205,2,,
13,7,14,メリフルアス,牝3,55.0,吉村,小栗,478(-2),栗東,2023105839,1216,ジャスタウェイ,ポプラ,Frankel,1.4573099562566958,1,0.2932026930260768,1,,
14,8,15,メイショウボンテン,牡3,57.0,角田和,飯田,450(-6),栗東,2023106572,1186,キセキ,メイショウイチヒメ,メイショウボーラー,-0.6084262580093209,12,-0.679963083786263,12,,
15,8,16,サンライズキース,牡3,57.0,酒井,羽月,502(0),栗東,2023100903,1034,マクフィ,アーキタイプ,ディープインパクト,-1.210932720223512,14,-0.963803133297842,14,,
