,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,ヴィアルークス,牡7,60.0,森一,小林,510(+4),栗東,2018106815,01139,ディープインパクト  ,リズムオブライト  Rhythm of Light(英)  ,Beat Hollow  
1,2,2,シーク,セ3,58.0,小牧加,角田,528(+16),栗東,2022100785,01196,キズナ  ,セレブラール  ,ボストンハーバー  Boston Harbor(米)  
2,3,3,エブリモーメント,牡4,60.0,黒岩,牧田,502(0),栗東,2021104649,01072,ベストウォーリア  ,ピュアアモーレ  ,マツリダゴッホ  
3,4,4,ブラックバラード,セ4,60.0,伴,嘉藤,458(+16),美浦,2021103267,01149,ダノンバラード  ,メイショウグレア  ,ジャングルポケット  
4,5,5,フォーディアライフ,セ4,60.0,石神深,矢嶋,538(-4),美浦,2021104770,01059,ドレフォン  Drefong(米)  ,ディアマイダーリン  ,ハーツクライ  
5,5,6,ゴットリープ,牡5,60.0,五十嵐,栗田,482(+10),美浦,2020101319,01069,キンシャサノキセキ  ,アンタークティカ  ,コマンズ  Commands(豪)  
6,6,7,スズノイナズマ,セ7,60.0,大江圭,深山,478(+10),美浦,2018102811,01120,リーチザクラウン  ,フローラルウインド  ,アグネスタキオン  
7,6,8,アルカンサス,牡6,60.0,西谷誠,土田,482(-8),美浦,2019101023,01005,シルバーステート  ,ラサンバ  La Samba(豪)  ,Orientate  
8,7,9,ストラクチャー,セ4,60.0,草野,和田郎,446(+4),美浦,2021101216,01113,リアルスティール  ,サンヴィヴァン  ,マンハッタンカフェ  
9,7,10,シルバースペード,牡5,60.0,上野,小野,478(-2),美浦,2020104745,01087,シルバーステート  ,サトノベリーニ  ,キングカメハメハ  
10,8,11,シュハリ,牡5,60.0,江田勇,粕谷,458(0),美浦,2020105031,01023,カレンブラックヒル  ,キシャリ  Kishari(仏)  ,Kris  
11,8,12,オステリア,牡6,60.0,高田,宮本,522(-2),栗東,2019103208,01046,ドレフォン  Drefong(米)  ,グローブ  ,ダイワメジャー  
