,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,テンユウ,牡2,56.0,横山和,奥村武,480(+2),美浦,2023103178,01140,サートゥルナーリア  ,レーヌミノル  ,ダイワメジャー  ,-1.6962936480762936,8
1,2,2,ウインラファーガ,牡2,56.0,丹内,村田,454(-8),美浦,2023105888,01091,ウインブライト  ,フラワーウィンド  ,タニノギムレット  ,-1.9547610211498272,9
2,3,3,コズミックボックス,牝2,55.0,ルメール,中舘,438(0),美浦,2023107353,05339,ブリックスアンドモルタル  Bricks and Mortar(米)  ,レーヴデトワール  ,ゼンノロブロイ  ,-2.2697772976123813,10
3,4,4,キンググローリー,牡2,56.0,菅原明,古賀,466(0),美浦,2023100021,01179,ダノンプレミアム  ,ハーフムーンII  ,Duke of Marmalade  (愛)  ,-0.9100923284986173,3
4,5,5,サザンテイオー,牡2,54.0,△長浜,根本,436(0),美浦,2023102439,01214,シルバーステート  ,ロンス  ,スウェプトオーヴァーボード  Swept Overboard(米)  ,1.3591322507515027,1
5,6,6,フィーユレアル,牝2,55.0,横山琉,斎藤誠,466(-10),美浦,2023101443,01192,リオンディーズ  ,アリストライン  ,ハーツクライ  ,0.4992250327471147,2
6,7,7,イヌボウノユウヒ,牝2,52.0,▲石神道,鹿戸,452(0),美浦,2023103099,01209,アドマイヤマーズ  ,ユキノクイーン  ,タイキシャトル  ,-1.4183584026065075,6
7,7,8,エーデルハイ,牝2,55.0,津村,天間,442(+2),美浦,2023103047,01092,シャンハイボビー  Shanghai Bobby(米)  ,ナムラジュエル  ,マーベラスサンデー  ,-0.9184412212856141,4
8,8,9,トレニアムーン,牝2,55.0,杉原,清水英,468(+4),美浦,2023100160,01135,ビッグアーサー  ,ソプラノムーン  ,アドマイヤムーン  ,-1.1449399680940282,5
9,8,10,マカナアネラ,牡2,56.0,武豊,角田,458(0),栗東,2023103875,00666,サトノアラジン  ,ブリスフルデイズ  ,キングカメハメハ  ,-1.4252770503525585,7
