,式別,馬番,配当,人気
0,単勝,9,770,3
1,複勝,9,220,4
2,複勝,3,260,6
3,複勝,1,150,1
4,枠連,3-6,4300,18
5,馬連,3-9,4900,19
6,ワイド,3-9,1280,16
7,ワイド,1-9,410,2
8,ワイド,1-3,580,4
9,馬単,9→3,9650,36
10,3連複,1-3-9,4370,11
11,3連単,9→3→1,48710,165
