,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ボル,牡2,52.0,★河原田,河内,栗東,2022103897,01204,バゴ Bago(仏) ,ミヤビグローリー ,アグネスタキオン ,0.21314945662551454,2
1,1,2,ナックカイザー,牡2,56.0,原田和,小野,美浦,2022101655,01143,ファインニードル ,スプリングレイン ,Dubai Millennium (英) ,-3.695736640111674,14
2,2,3,テイエムファルクス,牡2,56.0,古川吉,鈴木孝,栗東,2022103742,01015,レッドファルクス ,グッドネス ,サウスヴィグラス ,-4.382240904904348,16
3,2,4,メイショウテンテン,牡2,53.0,▲柴田裕,牧浦,栗東,2022105939,01212,コパノリッキー ,メイショウベルボン ,ディープブリランテ ,-0.3180359317952205,5
4,3,5,スマートテンペスト,牡2,56.0,荻野極,西園翔,栗東,2022102734,01160,スマートオーディン ,スマートサクソン ,ドリームジャーニー ,-1.4093752873303376,6
5,3,6,コウバイ,牝2,52.0,▲石田,宗像,美浦,2022106919,01203,マツリダゴッホ ,ハナガスミ ,クロコルージュ Croco Rouge(愛) ,-2.5847364081578488,10
6,4,7,クラウンジュエル,牡2,53.0,▲長浜,尾関,美浦,2022101812,01214,サトノクラウン ,ジャスティシア ,キングカメハメハ ,-2.3823150671168296,9
7,4,8,カペルブリュッケ,牡2,54.0,△高杉,浜田,栗東,2022105262,01213,ドレフォン Drefong(米) ,エリンズロマーネ ,ノヴェリスト Novellist(愛) ,-0.06066509122403918,4
8,5,9,ボーヌロマネ,牡2,56.0,鮫島駿,橋口,栗東,2022102529,01157,マクフィ Makfi(英) ,リサプシュケ ,ワイルドラッシュ Wild Rush(米) ,-3.652018283109485,13
9,5,10,ポッドバディ,牡2,56.0,亀田,畠山,美浦,2022106081,01176,ミスターメロディ ,ポッドシルビア ,ダノンシャンティ ,-2.2071178091419057,8
10,6,11,エコロスヴァル,牡2,53.0,▲川端,森秀,栗東,2022110109,01195,Thousand Words (米) ,Refigure ,Bodemeister ,0.012227319599763206,3
11,6,12,セルズパワー,牡2,56.0,岩田康,牧田,栗東,2022102052,05203,サトノアラジン ,ファーマペニー ,ジャングルポケット ,0.2206346433903619,1
12,7,13,マニーヒーロー,牡2,56.0,長岡,寺島,栗東,2022103035,01142,サトノダイヤモンド ,ファイブフォース ,アルデバランII Aldebaran(米) ,-2.9411151106984823,12
13,7,14,クリプトス,牡2,56.0,Ｈドイル,和田勇,美浦,2022101637,05625,アメリカンペイトリオット ,エンクリプション ,ストーミングホーム Storming Home(英) ,-3.7493947978484745,15
14,8,15,ショウナンヤッホー,牡2,55.0,☆田口,栗田,美浦,2022104605,01208,ニューイヤーズデイ ,アドマイヤキュート ,キングカメハメハ ,-2.841849339379479,11
15,8,16,シバノストムキット,牡2,53.0,▲佐藤,大和田,美浦,2022107348,01207,リアルスティール ,シバノモスキー ,ロードカナロア ,-1.9563665226026707,7
