,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,チャットケリー,牝2,55.0,酒井,緒方,栗東,2022101146,01034,アルアイン ,ランダムトーク ,ジャングルポケット ,-5.6448143534480035,17
1,1,2,ブラックデザイア,牝2,52.0,▲鷲頭,杉山佳,栗東,2022101233,01202,ルヴァンスレーヴ ,クロイゼリンチャン ,ブラックタイド ,-5.1922652557692155,16
2,2,3,マテンロウシルビア,牝2,55.0,藤岡佑,四位,栗東,2022104963,01093,ルーラーシップ ,パーシーズベスト ,ディープインパクト ,-0.7313794013042669,7
3,2,4,アメージングハナビ,牝2,55.0,横山典,昆,栗東,2022107063,00660,ドゥラメンテ ,アメージングムーン ,アドマイヤムーン ,-1.5457006373997921,9
4,3,5,メイショウサノサ,牝2,55.0,加藤,庄野,栗東,2022101472,01156,デクラレーションオブウォー ,イトハユリ ,ゼンノロブロイ ,-4.2012392190128836,14
5,3,6,メイショウハダル,牝2,55.0,武豊,河内,栗東,2022104439,00666,キタサンブラック ,ラホーヤビーチ ,タイキシャトル ,2.1129918176175084,1
6,4,7,パスコード,牝2,53.0,△吉村,高柳大,栗東,2022104738,01216,ブリックスアンドモルタル Bricks and Mortar(米) ,キープシークレット ,ダイワメジャー ,-3.20214082723009,13
7,4,8,アイスモント,牝2,55.0,池添,宮本,栗東,2022102931,01032,エポカドーロ ,メジャーシャルマン ,ダイワメジャー ,-0.41700273473448213,6
8,5,9,パラディレーヌ,牝2,55.0,岩田望,千田,栗東,2022103546,01174,キズナ ,パラダイスガーデン ,Closing Argument ,-0.3106014991959067,5
9,5,10,テレプシコーラ,牝2,55.0,Ｍデムーロ,坂口,栗東,2022100457,05212,ルーラーシップ ,キスオンザグリーン ,オルフェーヴル ,-1.0238600722304876,8
10,6,11,サーリアル,牝2,55.0,国分優,宮,栗東,2022106814,01125,ブリックスアンドモルタル Bricks and Mortar(米) ,マイネレーツェル ,ステイゴールド ,-4.411130720236402,15
11,6,12,ミノリッチマイヤー,牝2,55.0,川田,上村,栗東,2022102128,01088,シルバーステート ,イリデ ,Indian Charlie ,2.092778282106352,2
12,7,13,ボルダーオパール,牝2,55.0,角田和,茶木,栗東,2022104634,01186,シュヴァルグラン ,アーマイン Ermine(米) ,Exchange Rate ,-7.517393623119797,18
13,7,14,チェルビアット,牝2,55.0,坂井,高野,栗東,2022105778,01163,ロードカナロア ,キューティゴールド ,フレンチデピュティ French Deputy(米) ,0.4487508288181618,4
14,7,15,ハヤブサオヒメサマ,牝2,55.0,吉田隼,渡辺,栗東,2022105973,01095,ロードカナロア ,フェアリーダンス ,アグネスタキオン ,-1.931589358131327,12
15,8,16,グリンダ,牝2,55.0,団野,小林,栗東,2022100202,01180,ウインブライト ,マジカルフラッシュ ,エイシンフラッシュ ,-1.9137365870614043,11
16,8,17,ウインシャーガス,牝2,55.0,松山,杉山晴,栗東,2022106209,01126,キズナ ,ウインアキレア ,コンデュイット Conduit(愛) ,1.1400866545245687,3
17,8,18,ポルタフェリーチェ,牝2,55.0,幸,長谷川,栗東,2022104011,00732,リアルスティール ,シンコームーン ,フォーティナイナーズサン Fourty Niners Son(米) ,-1.584160601275067,10
