,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ハリウッドメモリー,牝4,56.0,横山和,長谷川,468(+10),栗東,2022100632,1140,ロードカナロア,スピニングワイルドキャット,ハードスパン,-0.03876939130713228,13,-0.004309032721141037,13,,
1,1,2,マーブルパレス,牝3,53.0,斎藤,茶木,414(+4),栗東,2023105203,1178,アドマイヤマーズ,マーブルサニー,クロフネ,-1.033482785000632,15,-0.010959803753990359,15,,
2,2,3,ムチャスグラシアス,牝5,56.0,国分恭,菊川,446(+8),美浦,2021104217,1124,カリフォルニアクローム,ロスグラシアレス,シンボリクリスエス,0.2232004628636722,10,-0.002557471388353955,10,,
3,2,4,エクストラバック,牡5,58.0,池添,前川,514(+10),栗東,2021110023,1032,Iffraaj,エクストラマイル,Frankel,1.6638283015774398,2,0.007074736199861274,2,,
4,3,5,ゴキゲンサン,牝6,56.0,岩田康,伊藤大,502(+4),美浦,2020106623,5203,リアルインパクト,マチャプチャレ,ヨハネスブルグ,0.2232004628636722,10,-0.002557471388353955,10,,
5,3,6,ライツユーアップ,牝4,56.0,吉田隼,角田,456(+10),栗東,2022103527,1095,スワーヴリチャード,チェアユーアップ,エアジハード,0.5345687576021247,8,-0.00047562625756216424,8,,
6,4,7,リリーフィールド,牝4,56.0,佐々木,小崎,440(+4),栗東,2022105718,1197,モズアスコット,ハイリリー,アグネスタキオン,-0.03876939130713228,13,-0.004309032721141037,13,,
7,4,8,ガットネロ,牝6,56.0,小沢,東田,496(0),栗東,2020105073,1185,アメリカンペイトリオット,ブラックシュガー,ブラックタイド,-0.03876939130713228,13,-0.004309032721141037,13,,
8,5,9,ミニョンマルーン,牝4,56.0,長浜,伊藤圭,492(+14),美浦,2022103151,1214,ミスターメロディ,タイキマロン,ファスリエフ,0.7446083670382094,6,0.0009287233360444244,6,,
9,5,10,スミレファースト,牝5,56.0,小崎,加藤征,456(+4),美浦,2021105619,1152,ニューイヤーズデイ,スミレ,ダイワメジャー,0.2232004628636722,10,-0.002557471388353955,10,,
10,6,11,エクセルゴールド,牡5,58.0,小林美,武市,488(+2),美浦,2021104490,1206,ゴールドアクター,エリーティアラ,ケイムホーム,1.6638283015774398,2,0.007074736199861274,2,,
11,6,12,フェアリーライズ,牝3,53.0,黛,秋山,432(+8),栗東,2023102567,1109,インディチャンプ,インゴニャーマ,Kitten's Joy,1.6638283015774398,2,0.007074736199861274,2,,
12,7,13,ヴィヴァクラウン,牡5,58.0,横山琉,杉浦,472(+2),美浦,2021101595,1192,サトノクラウン,セトノフラッパー,タイキシャトル,0.7446083670382094,6,0.0009287233360444244,6,,
13,7,14,フードマン,牡4,58.0,鮫島駿,小栗,480(-2),栗東,2022110056,1157,Kingman,Midnight Crossing,Dark Angel,-1.395831406748854,16,-0.013382509362052684,16,,
14,8,15,ベビーズブレス,牝4,56.0,舟山,千田,434(+16),栗東,2022106351,1221,アドマイヤマーズ,レディーガリレオ,Galileo,0.7446083670382094,6,0.0009287233360444244,6,,
15,8,16,フミサウンド,牡6,58.0,浜中,鹿戸,458(+2),美浦,2020103218,1115,ジャスタウェイ,アブソルートリー,Redoute's Choice,1.6638283015774398,2,0.007074736199861274,2,,
