,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,シックスパック,牡3,55.0,◇永島,須貝,栗東,2022102961,01187,マクフィ Makfi(英) ,オツウ ,ハーツクライ ,-4.889400224486061,17
1,1,2,ストンプ,牝3,54.0,☆吉村,清水久,栗東,2022104776,01216,ドゥラメンテ ,コンドコマンド Condo Commando(米) ,Tiz Wonderful ,-3.5320509135881735,14
2,2,3,アルディスティーノ,牝3,55.0,岩田康,安田,栗東,2022105817,05203,イスラボニータ ,テスタオクローチェ Testa O Croce(仏) ,Orpen ,-4.668607068042571,16
3,2,4,ハチワレ,牝3,53.0,◇今村,寺島,栗東,2022102306,01193,サトノダイヤモンド ,エアヴェイユ ,Hard Spun (米) ,-1.1710272200440859,6
4,3,5,テーオーシュタイン,牡3,57.0,シュタルケ,梅田,栗東,2022104879,05115,ワールドエース ,ソングライティング ,Giant's Causeway (米) ,1.5059620647758574,1
5,3,6,キタサンモンドー,牡3,57.0,菱田,橋口,栗東,2022103672,01144,キタサンブラック ,ダイリュウビーナス ,ディープスカイ ,-1.191066091405533,7
6,4,7,トップパワー,牡3,57.0,川須,小椋,栗東,2022106868,01128,ゴールドシップ ,レッドキャンティー ,ヨハネスブルグ Johannesburg(米) ,-1.0589858484174055,5
7,4,8,ウィングコマンダー,セ3,57.0,丹内,加藤公,栗東,2022104135,01091,デクラレーションオブウォー ,タッシーエルモ ,エピファネイア ,-2.0046354755600873,12
8,5,9,コスモメモラブル,牝3,55.0,松若,梅田,栗東,2022106764,01154,ダノンバラード ,アンフォゲッタブル Unforgetable(愛) ,Muhaarar ,-0.4263759234305576,4
9,5,10,エイカイソフィア,牝3,52.0,▲和田陽,梅田,栗東,2022102345,01223,ミッキーアイル ,ジョーダンエース ,エイシンフラッシュ ,-1.890716483173472,11
10,6,11,ホウオウレイヴン,セ3,54.0,▲古川奈,矢作,栗東,2022105322,01190,サートゥルナーリア ,コンテッサトゥーレ ,ディープインパクト ,-0.20009939507447388,3
11,6,12,デルマケプラー,牝3,52.0,▲橋木,高橋康,栗東,2022105208,01215,ブリックスアンドモルタル Bricks and Mortar(米) ,アスクデピュティ ,フレンチデピュティ French Deputy(米) ,-1.7969338399738195,10
12,7,13,リラゲイル,牡3,57.0,鮫島駿,須貝,栗東,2022103518,01157,ブリックスアンドモルタル Bricks and Mortar(米) ,シルヴァーコード ,スウェプトオーヴァーボード Swept Overboard(米) ,-1.2842753220323986,8
13,7,14,ナムラフィクサー,牡3,57.0,幸,鈴木孝,栗東,2022107255,00732,リアルスティール ,ピュアウィッシーズ ,Manduro (独) ,-5.843422163351764,18
14,7,15,オリバナム,牝3,55.0,団野,斉藤崇,栗東,2022100381,01180,ロジャーバローズ ,ハマオリ ,タートルボウル Turtle Bowl(愛) ,-4.558099252493648,15
15,8,16,ドゥラルーナ,牝3,55.0,浜中,清水久,栗東,2022101725,01115,ドゥラメンテ ,エリザベスムーン ,ダンスインザダーク ,0.060994240537998956,2
16,8,17,ワイドリューレント,牝3,54.0,☆高杉,奥村豊,栗東,2022100792,01213,リアルスティール ,フレジエ ,ハービンジャー Harbinger(英) ,-2.686800771423566,13
17,8,18,ドゥラエテルノ,牡3,57.0,角田和,武幸,栗東,2022102722,01186,ドゥラメンテ ,アイリスフィール ,ハービンジャー Harbinger(英) ,-1.7610750966718645,9
