,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ゲインサポート,セ4,59.0,森一,斉藤崇,栗東,2021104590,01139,デクラレーションオブウォー ,ローザミスティカ ,アグネスタキオン 
1,2,2,ヴラディア,牡6,60.0,大江圭,小西,美浦,2019105578,01120,ラブリーデイ ,ユメノトキメキ ,マーベラスサンデー 
2,3,3,アンカリング,牝5,57.0,▲水沼,土田,美浦,2020103867,01201,ブラックタイド ,アンカジャポニカ ,Authorized 
3,3,4,グローリーアテイン,セ4,59.0,金子,金成,美浦,2021104950,01052,ヴィクトワールピサ ,アンナミルト ,マンハッタンカフェ 
4,4,5,ヘヴンリーハンド,セ4,59.0,石神深,武井,美浦,2021106910,01059,オルフェーヴル ,アンシェリゼ Une Cherise(米) ,Curlin (米) 
5,4,6,カイトレッド,牝8,58.0,江田勇,和田雄,美浦,2017100641,01023,ゴールドヘイロー ,ニシノマドカ ,ジャングルポケット 
6,5,7,ミラキュラスライト,セ6,60.0,五十嵐,萩原,美浦,2019104602,01069,エイシンフラッシュ ,ミラグロッサ ,フジキセキ 
7,5,8,スズカハービン,牡5,60.0,難波,高橋忠,栗東,2020106654,01066,ハービンジャー Harbinger(英) ,スズカローラン ,サンデーサイレンス Sunday Silence(米) 
8,6,9,レッドファーロ,牡6,60.0,西谷誠,松永幹,栗東,2019104983,01005,ハーツクライ ,プラヤデシエルタ Playa Desierta(亜) ,Orpen 
9,6,10,グランナヴィール,牡4,59.0,上野,堀内,美浦,2021101779,01087,ゴールドシップ ,ウッドシップ ,クロフネ 
10,7,11,ホウオウエクレール,牡8,60.0,小牧加,宮,栗東,2017103293,01196,ブラックタイド ,タマヒカル ,パラダイスクリーク Paradise Creek(米) 
11,7,12,クリノゴッホ,セ5,60.0,伴,岩戸,美浦,2020103885,01149,マツリダゴッホ ,カムホームラッシー ,Lawman 
12,8,13,アルカンサス,牡6,57.0,▲土田,土田,美浦,2019101023,01198,シルバーステート ,ラサンバ La Samba(豪) ,Orientate 
13,8,14,オーバーザドリーム,牡5,60.0,小野寺,清水久,栗東,2020105734,01123,ヘニーハウンド ,マザーレイク ,サンデーサイレンス Sunday Silence(米) 
