,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202605010612,2026/02/15,東京,晴,12,4歳以上2勝クラス,2勝クラス,16,3,6,46.0,10,5,津村明秀,58,ダート,1400,良,0:1:25.2,0.5,2-1,36.6,476,クインズデネブ
1,202505030210,2025/06/08,東京,晴,10,八王子特別,2勝クラス,16,4,8,21.4,9.0,6,松山弘平,58.0,ダート,1400,良,0:1:24.2,0.5,8-9,36.2,462,スティールブルー
2,202505020212,2025/04/27,東京,晴,12,4歳以上2勝クラス,2勝クラス,16,1,1,29.4,9.0,6,津村明秀,58.0,ダート,1400,稍重,0:1:25.1,0.5,4-3,36.0,462,ルージュスタニング
3,202506010908,2025/01/26,中山,晴,08,4歳以上2勝クラス,2勝クラス,14,1,1,4.7,3.0,5,戸崎圭太,58.0,ダート,1200,良,0:1:11.8,0.4,7-6,37.5,462,シークレットヴァウ
4,202506010112,2025/01/05,中山,晴,12,4歳以上2勝クラス,2勝クラス,16,7,14,3.2,1.0,4,戸崎圭太,58.0,ダート,1200,良,0:1:11.8,0.8,5-5,36.8,460,ムーム
5,202406050512,2024/12/14,中山,晴,12,3歳以上2勝クラス,2勝クラス,16,8,15,5.4,2.0,2,戸崎圭太,58.0,ダート,1200,良,0:1:12.0,0.0,5-5,37.6,462,サザンステート
6,202405040112,2024/10/05,東京,小雨,12,3歳以上2勝クラス,2勝クラス,16,2,3,17.9,7.0,4,吉田豊,58.0,ダート,1400,重,0:1:23.5,0.3,3-3,35.1,460,ベルウェザー
7,202406040212,2024/09/08,中山,晴,12,3歳以上2勝クラス,2勝クラス,15,5,9,16.0,4.0,5,吉田豊,58.0,ダート,1200,良,0:1:11.7,1.1,8-8,37.2,456,ブシン
8,202404030609,2024/08/25,新潟,曇,09,岩室温泉特別,2勝クラス,15,6,11,13.0,4.0,4,吉田豊,58.0,ダート,1200,良,0:1:12.4,0.4,5-5,36.8,452,トーアアイギス
9,202405021109,2024/05/25,東京,晴,09,富嶽賞,2勝クラス,16,7,14,9.7,5.0,6,吉田豊,58.0,ダート,1400,良,0:1:24.7,0.8,1-1,36.3,446,コンクイスタ
10,202405020712,2024/05/11,東京,晴,12,4歳以上2勝クラス,2勝クラス,12,8,12,11.5,4.0,2,吉田豊,58.0,ダート,1400,良,0:1:24.2,0.1,2-2,36.5,456,ユキマル
11,202405020112,2024/04/20,東京,晴,12,4歳以上2勝クラス,2勝クラス,15,2,4,27.4,8.0,4,吉田豊,58.0,ダート,1400,良,0:1:25.3,0.8,3-4,37.6,462,キャンディドライヴ
12,202406030509,2024/04/06,中山,曇,09,葛飾特別,2勝クラス,16,2,3,26.8,8.0,5,森泰斗,58.0,ダート,1200,稍重,0:1:10.9,0.3,4-4,37.1,464,アロットドリーム
13,202306040409,2023/09/17,中山,晴,09,,2勝クラス,16,4,7,13.0,6.0,8,丸山元気,58.0,ダート,1200,良,0:1:12.1,0.5,9-9,36.9,456,ダルダヌス
14,202305020112,2023/04/22,東京,晴,12,,2勝クラス,16,4,7,6.3,4.0,5,丸山元気,58.0,ダート,1400,良,0:1:25.4,0.6,3-3,37.2,462,インヴァリアンス
15,202306030412,2023/04/02,中山,曇,12,,2勝クラス,16,6,11,3.6,2.0,5,丸山元気,58.0,ダート,1200,良,0:1:11.7,0.6,11-11,36.1,466,ヴァンデリオン
16,202306020412,2023/03/05,中山,曇,12,,2勝クラス,16,7,13,6.7,2.0,4,丸山元気,58.0,ダート,1200,良,0:1:11.4,0.6,10-8,36.1,468,セイカフォルゴーレ
17,202206050609,2022/12/18,中山,晴,09,,2勝クラス,16,5,9,5.1,3.0,2,Ｍ．デム,56.0,ダート,1200,稍重,0:1:11.0,0.1,8-7,37.2,466,ナックドロップス
18,202205050708,2022/11/26,東京,曇,08,,2勝クラス,16,5,9,10.5,5.0,5,丸山元気,56.0,ダート,1400,稍重,0:1:24.5,0.8,7-6,36.3,466,ラブリークイーン
19,202205020506,2022/05/07,東京,曇,06,,1勝クラス,13,7,11,1.9,1.0,1,Ｍ．デム,56.0,ダート,1400,良,0:1:25.4,-0.2,5-5,36.5,454,(アポロリヤム)
20,202206030205,2022/03/27,中山,曇,05,,1勝クラス,15,4,6,3.1,1.0,2,丸山元気,56.0,ダート,1200,重,0:1:11.1,0.4,11-10,36.5,462,ミユキアイラブユー
21,202106050707,2021/12/25,中山,晴,07,,1勝クラス,16,4,8,22.2,8.0,2,丸山元気,55.0,ダート,1200,稍重,0:1:11.3,0.3,11-9,36.8,454,タヤスゴールド
22,202106050206,2021/12/05,中山,晴,06,,1勝クラス,10,5,5,15.5,5.0,5,丸山元気,55.0,ダート,1200,良,0:1:12.2,0.8,5-5,37.7,456,メズメライザー
23,202105050101,2021/11/06,東京,晴,01,,未勝利,15,5,9,10.0,4.0,1,三浦皇成,55.0,ダート,1300,良,0:1:19.1,-0.2,3-3,36.9,456,(プリーチトヤーン)
24,202105040503,2021/10/23,東京,晴,03,,未勝利,13,2,2,13.6,4.0,8,武士沢友,55.0,芝,1600,稍重,0:1:36.8,1.2,4-5,35.9,454,アグリ
25,202104040105,2021/08/14,新潟,小雨,05,,新馬,17,8,15,51.6,12.0,7,武士沢友,54.0,芝,1600,稍重,0:1:36.0,0.8,4-6,34.9,438,ミント
