race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202301020406,2023/08/20,札幌,曇,6,3歳以上1勝クラス,1勝クラス,12,7,10,270.5,11,11,石川倭,56,ダート,2400,稍,2:39.4,1.9,6-7-8-9,39.3,472,コルサファターレ
,2023/08/02,門別,晴,8,アンタレス特別,,7,4,4,27.5,6,4,阿部龍,54,ダート,1800,良,1:59.4,0.9,5-6-6-5,41.4,476,レディーシス
202301010108,2023/07/22,札幌,晴,8,3歳以上1勝クラス,1勝クラス,13,7,11,255.0,13,9,鷲頭虎太,53,ダート,1700,良,1:48.9,2.4,12-12-12-12,38.9,476,マテンロウアイ
202302020607,2023/07/16,函館,曇,7,3歳以上1勝クラス,1勝クラス,14,5,7,197.8,13,13,鷲頭虎太,53,ダート,1700,重,1:47.2,2.2,12-12-13-13,38.5,482,エンプレスペイ
202202010507,2022/06/25,函館,曇,7,3歳以上1勝クラス,1勝クラス,12,7,10,25.1,10,12,泉谷楓真,54,ダート,1700,重,1:47.1,2.5,4-5-9-12,39.0,450,メッザノッテ
202207040308,2022/06/11,中京,曇,8,3歳以上1勝クラス,1勝クラス,10,7,8,100.3,10,10,永島まな,51,芝,2000,良,2:03.6,2.5,2-2-3-6,37.4,456,テーオーアリエス
202204010807,2022/05/29,新潟,晴,7,4歳以上1勝クラス,1勝クラス,15,2,2,18.1,7,14,城戸義政,55,ダート,1800,良,1:58.0,4.1,8-7-12-13,42.8,452,ブルレスカ
202107050706,2021/09/26,中京,雨,6,3歳以上1勝クラス,1勝クラス,14,3,3,17.5,10,3,吉田隼人,52,ダート,1800,不,1:52.3,0.2,11-10-9-8,38.0,452,クインズバジル
202101020706,2021/09/04,札幌,晴,6,3歳以上1勝クラス,1勝クラス,14,8,13,7.8,5,10,亀田温心,51,ダート,1700,良,1:47.6,1.1,10-10-10-9,38.5,458,ペイルライダー
202101020508,2021/08/28,札幌,曇,8,3歳以上1勝クラス,1勝クラス,14,8,14,6.7,3,4,亀田温心,51,ダート,1700,良,1:47.5,0.8,11-11-11-12,38.3,458,ベルゼール
202107040107,2021/06/05,中京,曇,7,3歳以上1勝クラス,1勝クラス,12,8,12,5.0,3,9,泉谷楓真,50,ダート,1800,重,1:53.1,1.4,11-11-3-6,37.9,442,メイショウアサヒ
202107030501,2021/05/22,中京,曇,1,3歳未勝利,未勝利,16,2,3,4.8,3,1,ルメール,54,ダート,1800,不,1:53.0,-0.1,10-10-8-9,38.3,442,(バライロノキセキ)
202109010601,2021/02/28,阪神,晴,1,3歳未勝利,未勝利,13,4,4,9.5,4,3,松若風馬,54,ダート,1800,良,1:57.3,1.2,7-6-10-7,38.1,448,パレドジュスティス
202109010204,2021/02/14,阪神,晴,4,3歳新馬,新馬,16,3,5,14.9,5,8,松若風馬,54,ダート,1800,良,1:57.5,1.2,14-14-13-13,38.4,454,クールファイブ
