race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
,2024/07/01,川崎,雨,11,七夜月特別,,7,5,5,3.4,2,4,山崎誠士,57,ダート,1500,重,1:38.5,1.3,6-5-3-3,41.5,513,ファルコンソード
202305020712,2023/05/13,東京,小雨,12,4歳以上2勝クラス,2勝クラス,16,6,12,24.0,6,9,吉田豊,58,ダート,1600,稍,1:37.2,1.1,12-12,35.9,496,ギャラクシーナイト
202305020212,2023/04/23,東京,晴,12,4歳以上2勝クラス,2勝クラス,16,7,13,268.5,16,4,吉田豊,58,ダート,1600,良,1:38.2,0.4,9-9,36.9,492,グリュースゴット
202309011112,2023/03/18,阪神,曇,12,4歳以上2勝クラス,2勝クラス,16,1,1,45.7,12,13,小沢大仁,57,ダート,1400,不,1:25.3,1.9,12-12,37.5,484,スウィートプロミス
202206050110,2022/12/03,中山,曇,10,鹿島特別,2勝クラス,16,8,16,95.5,13,11,吉田豊,57,ダート,1200,良,1:11.9,1.3,13-12,36.7,490,パウオレ
202207050712,2022/09/25,中京,晴,12,3歳以上2勝クラス,2勝クラス,16,4,8,34.9,9,7,角田大和,56,ダート,1200,良,1:12.5,0.9,11-11,36.7,490,フルム
202207040409,2022/06/12,中京,晴,9,恵那特別,2勝クラス,16,3,5,40.0,9,5,岩田望来,57,ダート,1200,良,1:11.9,1.1,10-10,36.9,482,ペプチドヤマト
202204010708,2022/05/28,新潟,晴,8,4歳以上1勝クラス,1勝クラス,13,5,6,6.2,3,1,角田大和,55,ダート,1200,稍,1:12.3,-0.1,9-8,37.2,484,(ソナトリーチェ)
202204010312,2022/05/14,新潟,曇,12,4歳以上1勝クラス,1勝クラス,15,4,7,4.4,2,4,角田大和,55,ダート,1200,稍,1:11.9,0.3,5-5,37.1,486,ディベルティール
202209020108,2022/03/26,阪神,小雨,8,4歳以上1勝クラス,1勝クラス,13,1,1,6.3,4,10,岩田康誠,57,ダート,1400,稍,1:26.2,1.6,11-11,37.4,488,ウインアキレウス
202209010907,2022/03/12,阪神,晴,7,4歳以上1勝クラス,1勝クラス,16,3,5,14.6,6,3,岩田康誠,57,ダート,1400,良,1:26.1,0.9,7-7,37.5,486,ヴアーサ
202107060307,2021/12/11,中京,晴,7,3歳以上1勝クラス,1勝クラス,16,1,2,8.7,4,11,岩田康誠,57,ダート,1400,良,1:26.1,1.3,15-15,37.3,488,メイショウナリヒラ
202109050707,2021/11/27,阪神,晴,7,3歳以上1勝クラス,1勝クラス,12,2,2,7.1,4,2,岩田康誠,57,ダート,1200,良,1:12.9,0.0,9-8,36.5,492,ジェットエンブレム
202107050608,2021/09/25,中京,曇,8,3歳以上1勝クラス,1勝クラス,16,8,16,25.0,8,6,岩田康誠,57,ダート,1400,良,1:25.0,0.7,12-12,36.9,482,スペースクラフト
202102011107,2021/08/07,函館,晴,7,3歳以上1勝クラス,1勝クラス,12,6,7,5.3,3,8,団野大成,57,ダート,1000,良,1:00.5,0.7,11-12,36.1,492,ブルースコード
202102010507,2021/07/17,函館,晴,7,3歳以上1勝クラス,1勝クラス,12,6,7,6.8,2,4,団野大成,57,ダート,1000,良,0:59.1,0.6,10-10,34.8,492,コウイチ
202101010507,2021/06/26,札幌,晴,7,3歳以上1勝クラス,1勝クラス,12,7,9,12.2,5,5,団野大成,57,ダート,1000,良,0:59.6,0.6,11-9,35.1,498,スイートアリエス
202004020304,2020/08/01,新潟,晴,4,3歳未勝利,未勝利,15,4,7,1.5,1,1,岩田望来,55,ダート,1200,重,1:11.5,-0.5,5-3,36.7,480,(マインヒロイン)
202009040604,2020/07/19,阪神,晴,4,3歳未勝利,未勝利,16,3,6,4.1,3,2,浜中俊,56,ダート,1200,良,1:11.9,0.2,6-6,36.0,480,ダノンボヌール
202009040204,2020/07/05,阪神,晴,4,3歳未勝利,未勝利,14,6,10,4.9,3,3,浜中俊,56,ダート,1200,重,1:12.0,0.2,5-6,36.5,480,ロードクラージュ
202009030604,2020/06/21,阪神,晴,4,3歳未勝利,未勝利,16,3,6,28.0,7,3,浜中俊,56,ダート,1200,稍,1:12.8,0.1,12-12,35.7,486,オーシャンズ
202008030202,2020/04/26,京都,晴,2,3歳未勝利,未勝利,16,5,9,16.1,4,13,浜中俊,56,ダート,1800,良,1:58.2,2.7,5-5-12-12,41.4,482,クラウンデザイアー
202009020205,2020/03/29,阪神,晴,5,3歳未勝利,未勝利,16,1,1,21.7,7,7,浜中俊,56,ダート,1400,不,1:25.7,1.1,16-15,36.1,482,イサチルサターン
202010010206,2020/01/19,小倉,曇,6,3歳新馬,新馬,18,6,12,9.5,7,8,菱田裕二,56,芝,1200,重,1:12.6,0.5,7-8,36.4,486,ウインバリスタ
