,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202608020312,2026/02/07,京都,曇,12,4歳以上1勝クラス,1勝クラス,15,6,11,30.3,10,13,ハマーハ,58,ダート,1200,良,0:1:13.9,1.6,1-1,38.6,540,モカラマーズ
1,202610010412,2026/02/01,小倉,曇,12,4歳以上1勝クラス,1勝クラス,18,4,7,9.3,6,12,和田陽希,55,芝,1200,良,0:1:08.3,1.0,3-3,35.1,534,セイウンデセオ
2,202503030512,2025/11/22,福島,晴,12,3歳以上1勝クラス,1勝クラス,16,7,14,18.4,8,7,和田陽希,54,芝,1200,良,0:1:09.4,0.3,1-1,35.1,520,ガットネロ
3,202504040108,2025/10/18,新潟,曇,08,3歳以上1勝クラス,1勝クラス,15,4,6,17.6,7.0,13,泉谷楓真,57.0,ダート,1200,良,0:1:13.5,1.8,3-4,39.4,534,ミッキーマカパ
4,202510020112,2025/06/28,小倉,晴,12,3歳以上1勝クラス,1勝クラス,14,5,7,6.1,2.0,9,泉谷楓真,55.0,芝,1200,良,0:1:09.3,1.3,1-2,36.0,530,インブロリオ
5,202503010306,2025/04/19,福島,晴,06,3歳未勝利,未勝利,16,4,8,7.3,5.0,1,泉谷楓真,57.0,芝,1200,良,0:1:09.1,-0.5,1-1,35.0,528,(グッバイウェーブ)
6,202510010401,2025/02/02,小倉,曇,01,3歳未勝利,未勝利,15,2,2,26.8,9.0,11,丸山元気,57.0,ダート,1700,不良,0:1:49.5,4.3,2-2-2-4,42.7,524,ローズマイスター
7,202507010602,2025/01/18,中京,晴,02,3歳未勝利,未勝利,11,4,4,15.6,3.0,5,吉村誠之,55.0,ダート,1800,良,0:1:56.8,3.8,1-2-3-3,41.2,530,ドラゴン
8,202507010402,2025/01/12,中京,曇,02,3歳未勝利,未勝利,16,6,12,18.9,7.0,11,西村淳也,57.0,ダート,1400,良,0:1:27.8,2.3,11-11,39.5,534,レーティッシュ
9,202406050906,2024/12/28,中山,晴,06,2歳新馬,新馬,16,8,15,2.0,1.0,5,西村淳也,56.0,ダート,1200,良,0:1:15.0,0.9,3-3,39.7,542,ドルンレースツェン
