,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,アメリカンピース,セ6,60.0,小坂,音無,栗東,2018110131,01063,Tapit (米) ,La Cloche ,Ghostzapper 
1,2,2,ヴィクティファルス,セ6,60.0,小牧加,池添,栗東,2018104948,01196,ハーツクライ ,ヴィルジニア ,Galileo (愛) 
2,3,3,オステリア,牡5,60.0,高田,宮本,栗東,2019103208,01046,ドレフォン Drefong(米) ,グローブ ,ダイワメジャー 
3,3,4,プリンセスララア,牝7,58.0,草野太郎,的場,美浦,2017100655,01113,スピルバーグ ,ナックオフィス ,ジェネラス Generous(愛) 
4,4,5,アルデドゥオーモ,牡3,58.0,五十嵐,矢野,美浦,2021100361,01069,オルフェーヴル ,アルフィルク ,アグネスタキオン 
5,4,6,ベッサラビア,セ7,60.0,田村,藤沢,栗東,2017106222,01105,ロードカナロア ,トーコーヴィオラ ,ディープインパクト 
6,5,7,アークデトリオンフ,牡5,60.0,小野寺祐太,和田郎,美浦,2019102793,01123,ルーラーシップ ,ディアルーモ ,ネオユニヴァース 
7,5,8,フィッシュポンド,牡4,60.0,大江圭,小笠,美浦,2020104244,01120,ロードカナロア ,ラヴァズアゲイン ,ファルブラヴ Falbrav(愛) 
8,6,9,カイトレッド,牝7,58.0,上野,和田雄,美浦,2017100641,01087,ゴールドヘイロー ,ニシノマドカ ,ジャングルポケット 
9,6,10,メイショウコホク,セ7,60.0,難波,藤沢,栗東,2017106373,01066,ダイワメジャー ,アルペンローズ Alpine Rose(米) ,Kris S. 
10,7,11,ディープマインド,牡4,60.0,中村,本田,栗東,2020104759,01101,マインドユアビスケッツ Mind Your Biscuits(米) ,ディープデザイア ,アグネスタキオン 
11,7,12,サトノミスチーフ,牡4,60.0,黒岩,平田,栗東,2020103036,01072,Into Mischief ,プレイプリティー Play Pretty(米) ,Indian Charlie 
12,8,13,マテンロウジョイ,牡4,60.0,西谷誠,四位,栗東,2020106836,01005,ハービンジャー Harbinger(英) ,パッショナルダンス ,サンデーサイレンス Sunday Silence(米) 
13,8,14,ララプロフォン,牡4,60.0,井上,坂口,栗東,2020105841,01151,ドゥラメンテ ,クイーンオブトロイ Queen of Troy(愛) ,Storm Cat (米) 
