,0,1,2,3
202205050804,単勝,2,120,1
202205050804,複勝,2,100,1
202205050804,複勝,4,100,3
202205050804,枠連,2-4,250,2
202205050804,馬連,2-4,280,2
202205050804,ワイド,2-9,120,2
202205050804,ワイド,4-9,180,3
202205050804,馬単,2→4,320,2
202205050804,三連複,2-4-9,190,1
202205050804,三連単,2→4→9,530,2
