race_id,式別,馬番,配当,人気
202606010101,単勝,14,140,1
202606010101,複勝,14,110,1
202606010101,複勝,15,330,6
202606010101,複勝,16,220,4
202606010101,枠連,7-8,540,2
202606010101,馬連,14-15,1340,5
202606010101,ワイド,14-15,530,5
202606010101,ワイド,14-16,360,3
202606010101,ワイド,15-16,1910,20
202606010101,馬単,14→15,1800,7
202606010101,三連複,14-15-16,2850,8
202606010101,三連単,14→15→16,8900,22
202606010102,単勝,4,130,1
202606010102,複勝,4,100,1
202606010102,複勝,8,150,4
202606010102,複勝,7,120,2
202606010102,枠連,4-6,320,2
202606010102,馬連,4-8,420,2
202606010102,ワイド,4-8,200,2
202606010102,ワイド,4-7,140,1
202606010102,ワイド,7-8,440,6
202606010102,馬単,4→8,530,2
202606010102,三連複,4-7-8,450,2
202606010102,三連単,4→8→7,1300,3
202606010103,単勝,14,830,4
202606010103,複勝,14,250,4
202606010103,複勝,13,300,5
202606010103,複勝,16,150,2
202606010103,枠連,7-7,6160,22
202606010103,馬連,13-14,3950,13
202606010103,ワイド,13-14,1020,11
202606010103,ワイド,14-16,450,4
202606010103,ワイド,13-16,550,6
202606010103,馬単,14→13,6690,23
202606010103,三連複,13-14-16,3480,9
202606010103,三連単,14→13→16,26890,77
202606010104,単勝,7,410,3
202606010104,複勝,7,150,3
202606010104,複勝,2,350,7
202606010104,複勝,5,130,1
202606010104,枠連,2-6,1790,6
202606010104,馬連,2-7,3550,12
202606010104,ワイド,2-7,940,14
202606010104,ワイド,5-7,260,2
202606010104,ワイド,2-5,740,9
202606010104,馬単,7→2,5310,19
202606010104,三連複,2-5-7,2370,8
202606010104,三連単,7→2→5,15770,51
202606010105,単勝,16,350,2
202606010105,複勝,16,170,2
202606010105,複勝,5,420,6
202606010105,複勝,9,260,5
202606010105,枠連,3-8,3400,15
202606010105,馬連,5-16,3250,13
202606010105,ワイド,5-16,1110,13
202606010105,ワイド,9-16,870,8
202606010105,ワイド,5-9,1960,24
202606010105,馬単,16→5,5520,22
202606010105,三連複,5-9-16,9520,33
202606010105,三連単,16→5→9,48050,170
202606010106,単勝,8,1590,7
202606010106,複勝,8,510,7
202606010106,複勝,10,1760,15
202606010106,複勝,12,1410,13
202606010106,枠連,4-5,2450,13
202606010106,馬連,8-10,32110,83
202606010106,ワイド,8-10,6880,73
202606010106,ワイド,8-12,15030,107
202606010106,ワイド,10-12,25000,126
202606010106,馬単,8→10,59150,163
202606010106,三連複,8-10-12,474850,559
202606010106,三連単,8→10→12,2097850,2
202606010107,単勝,13,160,1
202606010107,複勝,13,120,1
202606010107,複勝,16,420,9
202606010107,複勝,1,1760,11
202606010107,枠連,7-8,1330,6
202606010107,馬連,13-16,1490,8
202606010107,ワイド,13-16,770,8
202606010107,ワイド,1-13,4520,40
202606010107,ワイド,1-16,18330,73
202606010107,馬単,13→16,1980,8
202606010107,三連複,1-13-16,54450,123
202606010107,三連単,13→16→1,133720,316
202606010108,単勝,4,680,3
202606010108,複勝,4,220,3
202606010108,複勝,11,460,7
202606010108,複勝,12,490,8
202606010108,枠連,2-6,1570,5
202606010108,馬連,4-11,5110,23
202606010108,ワイド,4-11,1330,17
202606010108,ワイド,4-12,2340,36
202606010108,ワイド,11-12,5350,55
202606010108,馬単,4→11,9580,39
202606010108,三連複,4-11-12,44560,139
202606010108,三連単,4→11→12,324310,886
202606010109,単勝,3,1100,5
202606010109,複勝,3,280,5
202606010109,複勝,4,380,8
202606010109,複勝,10,170,2
202606010109,枠連,3-4,9210,20
202606010109,馬連,3-4,7760,25
202606010109,ワイド,3-4,1810,24
202606010109,ワイド,3-10,640,7
202606010109,ワイド,4-10,970,15
202606010109,馬単,3→4,15570,47
202606010109,三連複,3-4-10,7130,30
202606010109,三連単,3→4→10,93530,263
202606010110,単勝,4,230,1
202606010110,複勝,4,110,3
202606010110,複勝,5,110,2
202606010110,複勝,7,110,1
202606010110,馬連,4-5,360,1
202606010110,ワイド,4-5,150,1
202606010110,ワイド,4-7,170,2
202606010110,ワイド,5-7,250,3
202606010110,馬単,4→5,670,1
202606010110,三連複,4-5-7,390,1
202606010110,三連単,4→5→7,1650,1
202606010111,単勝,11,1480,7
202606010111,複勝,11,370,7
202606010111,複勝,2,150,1
202606010111,複勝,8,230,3
202606010111,枠連,2-7,1290,3
202606010111,馬連,2-11,2590,9
202606010111,ワイド,2-11,760,4
202606010111,ワイド,8-11,1690,25
202606010111,ワイド,2-8,530,2
202606010111,馬単,11→2,7650,29
202606010111,三連複,2-8-11,5960,16
202606010111,三連単,11→2→8,45660,133
202606010112,単勝,13,820,6
202606010112,複勝,13,210,5
202606010112,複勝,3,170,2
202606010112,複勝,16,150,1
202606010112,枠連,2-7,960,4
202606010112,馬連,3-13,1810,6
202606010112,ワイド,3-13,580,5
202606010112,ワイド,13-16,500,4
202606010112,ワイド,3-16,410,1
202606010112,馬単,13→3,4020,19
202606010112,三連複,3-13-16,2400,2
202606010112,三連単,13→3→16,15620,22
202606010201,単勝,5,590,3
202606010201,複勝,5,240,5
202606010201,複勝,6,130,1
202606010201,複勝,11,220,4
202606010201,枠連,3-3,880,3
202606010201,馬連,5-6,1000,2
202606010201,ワイド,5-6,530,4
202606010201,ワイド,5-11,1070,12
202606010201,ワイド,6-11,470,2
202606010201,馬単,5→6,2160,5
202606010201,三連複,5-6-11,3060,6
202606010201,三連単,5→6→11,12580,25
202606010202,単勝,12,500,3
202606010202,複勝,12,170,4
202606010202,複勝,6,140,1
202606010202,複勝,5,140,2
202606010202,枠連,3-6,550,2
202606010202,馬連,6-12,990,2
202606010202,ワイド,6-12,430,3
202606010202,ワイド,5-12,400,2
202606010202,ワイド,5-6,250,1
202606010202,馬単,12→6,1900,3
202606010202,三連複,5-6-12,1090,1
202606010202,三連単,12→6→5,7090,9
202606010203,単勝,3,170,1
202606010203,複勝,3,110,1
202606010203,複勝,7,160,3
202606010203,複勝,10,120,2
202606010203,枠連,3-6,1090,4
202606010203,馬連,3-7,1200,4
202606010203,ワイド,3-7,350,4
202606010203,ワイド,3-10,180,1
202606010203,ワイド,7-10,430,5
202606010203,馬単,3→7,1610,6
202606010203,三連複,3-7-10,790,3
202606010203,三連単,3→7→10,4480,12
202606010204,単勝,11,150,1
202606010204,複勝,11,110,1
202606010204,複勝,1,220,4
202606010204,複勝,13,170,2
202606010204,枠連,1-7,930,5
202606010204,馬連,1-11,920,4
202606010204,ワイド,1-11,390,4
202606010204,ワイド,11-13,230,1
202606010204,ワイド,1-13,970,11
202606010204,馬単,11→1,1150,4
202606010204,三連複,1-11-13,1470,2
202606010204,三連単,11→1→13,4630,6
202606010205,単勝,12,250,1
202606010205,複勝,12,130,2
202606010205,複勝,10,120,1
202606010205,複勝,3,200,5
202606010205,枠連,5-6,300,1
202606010205,馬連,10-12,320,1
202606010205,ワイド,10-12,180,1
202606010205,ワイド,3-12,500,5
202606010205,ワイド,3-10,460,4
202606010205,馬単,12→10,600,2
202606010205,三連複,3-10-12,1140,3
202606010205,三連単,12→10→3,3580,6
202606010206,単勝,12,570,3
202606010206,複勝,12,200,4
202606010206,複勝,10,150,1
202606010206,複勝,7,630,9
202606010206,枠連,5-6,800,3
202606010206,馬連,10-12,960,3
202606010206,ワイド,10-12,450,3
202606010206,ワイド,7-12,2950,29
202606010206,ワイド,7-10,1920,21
202606010206,馬単,12→10,2310,7
202606010206,三連複,7-10-12,9450,29
202606010206,三連単,12→10→7,45760,134
202606010207,単勝,2,1380,6
202606010207,複勝,2,290,7
