,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ニシノパプルブリリ,牝5,58.0,伴,矢野,美浦,2020105495,01149,ディープブリランテ ,ニシノクローバー ,アドマイヤオーラ 
1,2,2,ジロー,牡8,60.0,小牧加,岡田,栗東,2017104698,01196,キズナ ,オッティマルーチェ ,Fusaichi Pegasus 
2,3,3,ブリエヴェール,牡7,60.0,金子,小笠,美浦,2018104849,01052,エイシンフラッシュ ,レイヨンヴェール ,ゴールドアリュール 
3,4,4,ワールドスケール,牡8,60.0,黒岩,村山,栗東,2017106372,01072,ワールドエース ,アモーレヴォレ ,アグネスデジタル 
4,5,5,キタノブレイド,牡6,57.0,▲水沼,萱野,美浦,2019100510,01201,カレンブラックヒル ,シャフィガ Shafiga(米) ,Woodman 
5,5,6,ファルヴォーレ,牡7,60.0,難波,高橋忠,栗東,2018102910,01066,ドゥラメンテ ,フリティラリア ,アドマイヤムーン 
6,6,7,エンデュミオン,牡8,59.0,▲鷲頭,清水久,栗東,2017106153,01202,ヴィクトワールピサ ,ヒラボクビジン ,ブライアンズタイム Brian's Time(米) 
7,6,8,テイエムナイスラン,牡6,57.0,▲土田,石栗,美浦,2019102826,01198,ジャスタウェイ ,メイショウボーテ ,シンボリクリスエス 
8,7,9,ディナースタ,牡6,60.0,高田,辻野,栗東,2019101507,01046,ドゥラメンテ ,ラヴァリーノ Ravarino(米) ,Unbridled's Song (米) 
9,7,10,スヴァルナ,セ10,59.0,▲井上,池江,栗東,2015104512,01151,ステイゴールド  ,ブルーミングアレー  ,シンボリクリスエス  
10,8,11,サンマルグレイト,牡5,60.0,大江圭,佐藤吉,美浦,2020101779,01120,グレーターロンドン ,サンマルベラータ ,ハービンジャー Harbinger(英) 
11,8,12,シャンドゥレール,セ5,60.0,上野,国枝,美浦,2020103053,01087,エピファネイア ,マジェスティッククオリティ Majestic Quality(米) ,Quality Road 
