,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ニシノジーク,セ4,58.0,内田博,奥平,512(+12),美浦,2021107062,00422,リーチザクラウン  ,エテ  ,Congrats  (米)  ,-0.7233052046655425,10
1,1,2,マーゴットレーヴ,牝5,56.0,丸田,伊坂,476(0),美浦,2020105813,01117,エスポワールシチー  ,シリカ  ,メイショウボーラー  ,-0.2719615640050368,7
2,2,3,サイモンカーチス,牡6,58.0,丸山,根本,502(+12),美浦,2019102320,01127,コパノリッキー  ,サイモンドルチェ  ,ジャングルポケット  ,-1.7050879033842778,15
3,2,4,クニノハッピー,牡3,57.0,Ｃデムーロ,田中剛,478(+2),美浦,2022105990,05473,ヘニーヒューズ  Henny Hughes(米)  ,ルミナスハッピー  ,アグネスタキオン  ,-0.6789042955753983,9
4,3,5,キョウエイスレーヴ,牡3,57.0,原,萱野,446(0),美浦,2022103472,01184,ルヴァンスレーヴ  ,ロマネクイーン  ,マイネルラヴ  ,-1.6580077279492915,14
5,3,6,カフェブーケット,牡3,57.0,横山和,柄崎,484(+4),美浦,2022103235,01140,フォーウィールドライブ  Four Wheel Drive(米)  ,フィオーレカフェ  ,アイルハヴアナザー  I'll Have Another(米)  ,-0.9268930787186472,11
6,4,7,アンクエンチャブル,セ4,58.0,三浦,高柳瑞,520(0),美浦,2021101660,01122,ディスクリートキャット  Discreet Cat(米)  ,スモーダリング  ,パイロ  Pyro(米)  ,-0.08658792397691571,5
7,4,8,ポッドベル,牡3,57.0,横山武,和田勇,470(+2),美浦,2022100702,01170,モズアスコット  ,シェクロエ  ,ノヴェリスト  Novellist(愛)  ,0.013236810962453091,4
8,5,9,クラウンウルル,牡3,57.0,吉田隼,菊川,470(-6),美浦,2022101278,01095,レッドファルクス  ,クラウンシトラス  ,スニッツェル  Snitzel(豪)  ,0.04989063275654886,3
9,5,10,リッキースタイル,牡3,57.0,石橋脩,水野,472(-4),美浦,2022103577,01077,ジャスタウェイ  ,ラズールリッキー  ,スタチューオブリバティ  Statue of Liberty(米)  ,-0.5290645912357562,8
10,6,11,メッエフアパラ,牡4,58.0,大野,辻,456(+4),美浦,2021106066,01096,エスポワールシチー  ,ビーナストリック  ,キングヘイロー  ,-1.2944712238730993,12
11,6,12,プライムブルー,牡4,55.0,▲石田,新開,546(+10),美浦,2021103558,01203,マインドユアビスケッツ  Mind Your Biscuits(米)  ,レジェンドブルー  ,ステイゴールド  ,0.07495324338941545,2
12,7,13,シャドウキャッスル,牡3,57.0,戸崎圭,田中勝,466(+2),美浦,2022105474,05386,イスラボニータ  ,フリアアステカ  Furia Azteca(亜)  ,Zensational  ,-0.11033967243694197,6
13,7,14,メレカリキマカ,牡7,58.0,菊沢,小島,502(0),美浦,2018104598,01161,ロードカナロア  ,クリスマスキャロル  ,アグネスタキオン  ,-1.7330281870439788,16
14,8,15,クリーンエア,牡4,58.0,津村,上原博,476(+8),美浦,2021101651,01092,リアルインパクト  ,シルヴァンソング  Sylvan Song(米)  ,Street Cry  (愛)  ,0.5111290815254546,1
15,8,16,フレイムジョーカー,牡6,58.0,菅原明,岩戸,484(0),美浦,2019105745,01179,ロージズインメイ  Roses in May(米)  ,オヒア  ,ブラックタイド  ,-1.6510123214870542,13
