,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ヒルノドゴール,牡4,58.0,和田竜,北出,524(+10),栗東,2021103786,01018,アニマルキングダム  Animal Kingdom(米)  ,ヒルノケアンズ  ,ハーツクライ  ,-1.7027682266832849,11
1,1,2,エレガントムーン,牝5,56.0,斎藤,牧浦,448(-2),栗東,2020103643,01178,カレンブラックヒル  ,ムーンフェイズ  ,エリシオ  Helissio(仏)  ,-4.55953625566036,15
2,2,3,ビバップ,牡4,58.0,西塚,清水久,492(0),栗東,2021102700,01200,モーニン  ,カプリースレディー  ,ジャングルポケット  ,0.8984637453663298,3
3,2,4,パドマ,牝4,56.0,松若,杉山晴,508(+6),栗東,2021102953,01154,ドレフォン  Drefong(米)  ,マチャプチャレ  ,ヨハネスブルグ  Johannesburg(米)  ,0.6531624493004063,5
4,3,5,ストレングス,牡4,58.0,岩田望,寺島,470(-2),栗東,2021106658,01174,シニスターミニスター  Sinister Minister(米)  ,ローレライ  ,ゴールドアリュール  ,0.2520423946875497,6
5,3,6,サトノグレイト,セ5,58.0,池添,中竹,492(+2),栗東,2020102971,01032,ダイワメジャー  ,ノヴァホーク  Nova Hawk(英)  ,Hawk Wing  ,-3.7246288811786896,14
6,4,7,メイショウヤーキス,牡4,58.0,菱田,飯田,452(+8),栗東,2021102573,01144,シニスターミニスター  Sinister Minister(米)  ,メイショウスコール  ,メイショウオウドウ  ,-1.5527793077228635,10
7,4,8,イミュータブル,牡5,58.0,鮫島駿,浜田,478(-12),栗東,2020104346,01157,バゴ  Bago(仏)  ,ラハイナII  La Haina(智)  ,Milt's Overture  ,1.5317551058405834,2
8,5,9,メイショウホウレン,牡4,58.0,浜中,安達,506(-4),栗東,2021103716,01115,エスポワールシチー  ,キンゲショウ  ,Hard Spun  (米)  ,0.7576019353225139,4
9,5,10,カネコメシスター,牝6,56.0,団野,中尾,502(-8),栗東,2019101055,01180,エスポワールシチー  ,キャンドルアイス  ,フォーティナイナー  Forty Niner(米)  ,-3.381760318875757,13
10,6,11,ネグレスコ,牝4,56.0,秋山稔,西園正,486(0),栗東,2021103214,01181,カリフォルニアクローム  California Chrome(米)  ,アイスブレイク  ,マンハッタンカフェ  ,-4.926493992833554,16
11,6,12,ローズバルサム,牝5,56.0,武豊,吉村,446(-2),栗東,2020105625,00666,ブラックタイド  ,サリエル  ,キングカメハメハ  ,3.242414856040917,1
12,7,13,タマモダイジョッキ,牡7,58.0,小沢,緒方,486(-6),栗東,2018104332,01185,ヘニーヒューズ  Henny Hughes(米)  ,チャームポット  ,フジキセキ  ,-1.1077127832496203,9
13,7,14,ウナギノボリ,牡6,58.0,国分恭,東田,472(-6),栗東,2019107016,01124,ドレフォン  Drefong(米)  ,ノンキ  ,サンデーサイレンス  Sunday Silence(米)  ,-2.8222609530087497,12
14,8,15,ルディック,牡4,58.0,西村淳,高野,524(0),栗東,2021110008,01171,Into Mischief  ,ミスベジル  Miss Besilu(米)  ,Medaglia d'Oro  ,-0.7244512129949779,7
15,8,16,ノボリショウリュウ,牡4,58.0,高杉,石橋,464(0),栗東,2021102718,01213,リアルスティール  ,スウィングダンス  ,クロフネ  ,-1.0037767197967975,8
