,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,スズカハービン,牡5,61.0,難波,高橋忠,466(-4),栗東,2020106654,01066,ハービンジャー  Harbinger(英)  ,スズカローラン  ,サンデーサイレンス  Sunday Silence(米)  
1,2,2,マイネルヴァッサー,牡12,60.0,▲坂口,土田,440(+16),美浦,2013101904,01211,ステイゴールド  ,コスモスプラッシュ  ,メジロブライト  
2,3,3,テクネチウム,牡4,60.0,小野寺,前川,490(0),栗東,2021104280,01123,マクフィ  Makfi(英)  ,プリンセス  ,キングズベスト  King's Best(米)  
3,4,4,パープルアドミラル,牡5,60.0,大江圭,堀内,446(+8),美浦,2020104328,01120,シビルウォー  ,ママノヨリミチ  ,マンハッタンカフェ  
4,5,5,ブリエヴェール,牡7,61.0,金子,小笠,462(+6),美浦,2018104849,01052,エイシンフラッシュ  ,レイヨンヴェール  ,ゴールドアリュール  
5,6,6,スピアヘッド,牡6,60.0,石神深,菊川,452(+4),美浦,2019102219,01059,ハービンジャー  Harbinger(英)  ,チュウワプリンセス  ,スペシャルウィーク  
6,6,7,ピーターサイト,牡5,60.0,上野,村田,482(+6),美浦,2020105611,01087,ワンアンドオンリー  ,ヴィクトリアアイ  ,ブライアンズタイム  Brian's Time(米)  
7,7,8,ピンポイントドロー,牡5,60.0,五十嵐,田中勝,512(+6),美浦,2020103003,01069,レッドファルクス  ,ピリカクル  ,オルフェーヴル  
8,7,9,モントライゼ,牡7,60.0,高田,松永幹,518(-2),栗東,2018105296,01046,ダイワメジャー  ,ムーングロウ  Moonglow(英)  ,Nayef  
9,8,10,シゲルタヌキ,牡6,60.0,小坂,谷,484(-2),栗東,2019102813,01063,ビッグアーサー  ,シゲルオワリ  ,ファスリエフ  Fasliyev(米)  
10,8,11,ジオフロント,牡7,57.0,▲鷲頭,清水久,476(-4),栗東,2018104881,01202,ハーツクライ  ,アガルタ  ,キングカメハメハ  
