,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,グランテスト,牝5,54.0,松若,今野,482(-4),栗東,2020101543,01154,ロードカナロア  ,オーヴィレール  ,シンボリクリスエス  ,1.1160101381883198,3
1,1,2,ジュンウィンダム,牝5,54.0,小沢,浜田,514(+2),栗東,2020106062,01185,カレンブラックヒル  ,ゴッドカリビアン  ,ベーカバド  Behkabad(仏)  ,1.7840836333826,1
2,2,3,メイショウソラフネ,牡6,57.0,高杉,石橋,454(+2),栗東,2019103714,01213,モーリス  ,メイショウデイム  ,マンハッタンカフェ  ,-0.26601826037608906,4
3,2,4,プルパレイ,セ6,57.0,富田,須貝,494(-2),栗東,2019104911,01168,イスラボニータ  ,マイジェン  My Jen(米)  ,Fusaichi Pegasus  ,-4.79991257219291,17
4,3,5,ショウナンハクラク,牡6,56.0,池添,松下,478(0),栗東,2019110001,01032,Frankel  ,ショウナンアデラ  ,ディープインパクト  ,-3.467115999120587,13
5,3,6,フィオライア,牝4,54.0,国分恭,西園正,464(-2),栗東,2021101924,01124,ファインニードル  ,フルールシチー  ,サクラバクシンオー  ,-0.527205211974644,5
6,4,7,クラスペディア,牡3,56.0,藤岡佑,河嶋,510(+10),栗東,2022106394,01093,ミスターメロディ  ,ウンベラータ  ,アグネスタキオン  ,-4.777211329625587,16
7,4,8,タマモブラックタイ,牡5,55.0,酒井,角田,518(+4),栗東,2020105400,01034,デクラレーションオブウォー  ,タマモイヤリング  ,ブラックタイド  ,-3.556827032863329,15
8,5,9,ジョーメッドヴィン,牡4,55.0,岩田望,清水久,510(-4),栗東,2021100522,01174,ドレフォン  Drefong(米)  ,ジョーアラマート  ,キングヘイロー  ,-0.9315406053543562,7
9,5,10,ブーケファロス,牡5,55.0,斎藤,清水英,450(+2),美浦,2020101419,01178,ビッグアーサー  ,クラウンデュナミス  ,ダンディコマンド  ,-1.8439072821411744,11
10,6,11,ナムラクララ,牝3,54.0,浜中,長谷川,478(-8),栗東,2022102887,01115,アドマイヤマーズ  ,サンクイーンII  Sun Queen(米)  ,Storm Cat  (米)  ,-2.115548955946342,12
11,6,12,カリボール,牡9,56.0,田口,西村,504(-2),栗東,2016104668,01208,ジャスタウェイ  ,レイズアンドコール  ,サクラバクシンオー  ,-3.5389601039807164,14
12,7,13,ブトンドール,牝5,54.0,鮫島駿,池添,516(+14),栗東,2020103589,01157,ビッグアーサー  ,プリンセスロック  ,スウィフトカレント  ,-0.9407657840785094,8
13,7,14,エコロガイア,牡4,55.0,団野,森秀,470(-4),栗東,2021110056,01180,Speightstown  (米)  ,Charge of Angels  ,Distorted Humor  (米)  ,1.5705414122692785,2
14,7,15,ベガリス,牝5,54.0,藤懸,高橋忠,444(+4),栗東,2020100497,01138,モーリス  ,プレシャスベガ  ,キングカメハメハ  ,-1.736746638827904,10
15,8,16,ミルトクレイモー,牡5,54.0,菱田,中村,518(+2),栗東,2020100815,01144,バゴ  Bago(仏)  ,ウートゥルメール  ,マンハッタンカフェ  ,-0.6295861396323625,6
16,8,17,バンデルオーラ,牡6,55.0,西村淳,牧浦,484(+2),栗東,2019104915,01171,トーセンラー  ,マチカネハヤテ  ,サクラバクシンオー  ,-5.530850272500696,18
17,8,18,マイネルジェロディ,牡7,56.0,和田竜,西園正,488(+6),栗東,2018102155,01018,スクリーンヒーロー  ,マイネエレーナ  ,ロージズインメイ  Roses in May(米)  ,-0.9864203782113705,9
