,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ホウオウタイタン,牝4,55.0,丸山,須貝,494(-10),栗東,2022103278,1127,キズナ,レネーズタイタン,Bernstein,0.5122135917446379,3,-0.08682225296777767,3,,
1,2,2,パーフェクトパール,牝4,55.0,小沢,中内田,476(-8),栗東,2022103233,1185,ロードカナロア,パールコード,ヴィクトワールピサ,0.17760647912362076,6,-0.21437579928173045,6,,
2,3,3,プリンセスロロ,牝4,52.0,▲水沼,戸田,416(-2),美浦,2022105499,1201,ストロングリターン,プリンセスルシータ,サンデーサイレンス,-1.8561361899310742,12,-0.9896464971934759,12,,
3,4,4,トーセンリバーブ,牝4,55.0,吉田隼,菊沢,460(0),美浦,2022105668,1095,マクマホン,トーセンベニザクラ,ダイワメジャー,0.35310883730577797,4,-0.14747361063055703,4,,
4,4,5,ドマーネ,牝4,55.0,国分恭,辻野,426(-10),栗東,2022103271,1124,ゴールドシップ,ランドネ,Blame,0.1831336128254525,5,-0.21226883419333883,5,,
5,5,6,ホウオウペトリュス,牝5,56.0,富田,須貝,456(-4),栗東,2021105694,1168,スワーヴリチャード,パシオンルージュ,ボストンハーバー,-2.4098840580419068,13,-1.2007373607081662,13,,
6,5,7,フィオレストラーダ,牝4,55.0,松若,杉山晴,458(-4),栗東,2022100626,1154,エピファネイア,キャトルフィーユ,ディープインパクト,0.5386783074017255,1,-0.07673379935479288,1,,
7,6,8,ランフォースマイル,牝4,55.0,小崎,渡辺,452(-4),栗東,2022104130,1152,サトノダイヤモンド,サンキュースマイル,ブライアンズタイム,-1.8181594448046983,11,-0.9751696127053184,11,,
8,6,9,エアビッグマム,牝4,55.0,西塚,笹田,510(-4),栗東,2022105250,1200,ブリックスアンドモルタル,エアワンピース,ロックオブジブラルタル,-0.2505268260891119,7,-0.37758189776311657,7,,
9,7,10,アルディスティーノ,牝4,55.0,横山琉,安田,478(-2),栗東,2022105817,1192,イスラボニータ,テスタオクローチェ,Orpen,-0.6754413377781209,9,-0.5395609795036231,9,,
10,7,11,ストレートブラック,牝4,55.0,丹内,奥平,442(+6),美浦,2022103353,1091,トーセンラー,コスモメソッド,ヴィクトワールピサ,-0.3490402433508997,8,-0.41513559957422963,8,,
11,8,12,リアルセンター,牝5,56.0,菊沢,千葉,514(-6),美浦,2021103518,1161,ゴールドシップ,ヌーナ,Congrats,0.5278959330027126,2,-0.0808440828496826,2,,
12,8,13,マテンロウシルビア,牝4,55.0,古川吉,四位,428(-12),栗東,2022104963,1015,ルーラーシップ,パーシーズベスト,ディープインパクト,-1.4561359833858052,10,-0.8371648464852599,10,,
