,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,サイモンシュバリエ,牡4,57.0,吉村,梅田,492(-4),栗東,2022102223,1216,シニスターミニスター,メイショウネイロ,ネオユニヴァース,1.8119383035678471,1,0.0334871541468506,1,,3,80.2,49.5,60.2,2
1,2,2,エポカリーナ,牡4,55.0,◇永島,土田,458(+2),美浦,2022107233,1187,エポカドーロ,カルカリーナ,オウケンブルースリ,-0.1015967748648781,9,-0.013753208044719,5,,13,45.9,45.0,45.2,8
2,3,3,ワンダービジブル,牡5,58.0,川又,吉村,494(-10),栗東,2021100753,1166,ダンカーク,ロイヤルソード,スウェプトオーヴァーボード,1.7800617101936833,2,0.0327002013319263,13,,1,44.7,82.2,77.5,1
3,4,4,ステイクオール,セ4,57.0,岩田望,上村,482(-10),栗東,2022105848,1174,ナダル,ボールドアテンプト,ゴールドアリュール,0.2266298810229687,7,-0.005650118490819,7,,6,45.5,46.5,46.6,6
4,4,5,レヴァンテシチー,牡4,57.0,団野,佐々木,496(+4),栗東,2022104267,1180,ルヴァンスレーヴ,ビヴァレッジクイーン,Indygo Shiner,0.1407839976359306,8,-0.0077694371641826,3,,4,53.5,48.9,51.8,4
5,5,6,ヤングアメリカンズ,牡4,57.0,城戸,奥村豊,516(+16),栗東,2022104311,1147,ホッコータルマエ,テツナゴオ,ハーツクライ,-0.3068074252788981,10,-0.0188193422172192,12,,5,44.7,48.3,43.6,10
6,5,7,レーンアジリティ,牡4,57.0,高倉,中尾,478(-2),栗東,2022107325,1130,ルヴァンスレーヴ,マザーズウィッシュ,タイキシャトル,0.5427351898488587,4,0.0021537255295601,6,,11,45.7,45.6,47.2,5
7,6,8,ハイクオリティ,牡4,57.0,荻野極,今野,486(0),栗東,2022106924,1160,リアルスティール,フジミ,ロードカナロア,-0.6344001292137301,12,-0.0269067810938937,2,,2,58.2,54.3,58.2,3
8,6,9,ヴェストラン,牡5,58.0,藤懸,本田,440(-4),栗東,2021100695,1138,レインボーライン,アテナブルー,ジャングルポケット,0.3331318523149368,5,-0.0030208530257356,8,,8,45.4,46.2,43.8,9
9,7,10,サンライズシア,牡5,58.0,高杉,石坂,504(-2),栗東,2021103320,1213,シャンハイボビー,ラブリーアリュール,ゴールドアリュール,0.3284522747520413,6,-0.0031363800110866,4,,10,51.4,45.9,46.1,7
10,7,11,クレスコドルフィン,牡4,57.0,中井,羽月,526(+4),栗東,2022107299,1141,クレスコグランド,ミヤビペルラ,ロードカナロア,-0.52825653474456,11,-0.0242863630500575,9,,7,45.2,46.3,43.6,11
11,8,12,メイショウハリソン,牡4,54.0,▲田山,石橋,472(-2),栗東,2022103250,1220,ブリックスアンドモルタル,メイショウオウヒ,マンハッタンカフェ,-0.6851832571085493,13,-0.0281604886334163,11,,12,44.7,45.3,42.8,13
12,8,13,レーヌマロン,牝4,55.0,西村淳,小栗,456(+6),栗東,2022100655,1171,スワーヴリチャード,ポプラ,Frankel,0.7456349883076776,3,0.0071628105867527,10,,9,44.9,46.0,43.4,12
