,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ゴーツウキリシマ,牝6,58.0,黒岩,牧田,462(+4),栗東,2020109148,01072,ナムラタイタン,エイシンドナウ,グラスワンダー
1,2,2,ホウオウプロサンゲ,牡5,60.0,小野寺,矢作,512(+24),栗東,2021105623,01123,キズナ,セルキス,Monsun
2,3,3,ヴェールランス,牡7,60.0,江田勇,田村,450(-4),美浦,2019104767,01023,キタサンブラック,ジュエラー,ヴィクトワールピサ
3,4,4,ゲレル,牝4,57.0,上野,小野,452(+2),美浦,2022101203,01087,ブラックタイド,シナル,キングカメハメハ
4,5,5,ソレルビュレット,牡5,57.0,▲坂口,宮田,536(+8),美浦,2021110061,01211,Malibu Moon,Curluck,Curlin
5,5,6,ミレニアムヒロイン,牝5,58.0,石神深,池上,458(+16),美浦,2021103480,01059,スクリーンヒーロー,エクラミレネール,マツリダゴッホ
6,6,7,スティルシャイニン,牡4,57.0,▲水沼,天間,466(-2),美浦,2022103884,01201,メイショウボーラー,コウユーヒカリママ,ロックオブジブラルタル
7,6,8,リードアクトレス,牝5,58.0,難波,安達,492(0),栗東,2021102654,01066,マジェスティックウォリアー,ブラウンテヌート,シンボリクリスエス
8,7,9,ヒロノビックバン,牡4,59.0,大江圭,蛯名利,430(+8),美浦,2022106482,01120,トゥザワールド,サツキユニヴァース,ネオユニヴァース
9,7,10,マグナレガリア,牡5,60.0,五十嵐,相沢,490(-2),美浦,2021106574,01069,レイデオロ,デライトポイント,トウカイテイオー
10,8,11,モズクルードラゴン,牡7,57.0,▲井上,天間,488(+2),美浦,2019103719,01151,グランプリボス,モズラコルタ,ヴィクトワールピサ
11,8,12,ホウオウユニコーン,牡7,60.0,伴,奥村武,494(+6),美浦,2019105808,01149,ゴールドシップ,ホウオウサブリナ,ルーラーシップ
