,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ローンウルフ,牡4,60.0,大江圭,武市,美浦,2021104112,01120,リアルインパクト  ,シェリレーヌ  ,Mineshaft  (米)  
1,2,2,アルデドゥオーモ,牡4,60.0,伴,矢野,美浦,2021100361,01149,オルフェーヴル  ,アルフィルク  ,アグネスタキオン  
2,3,3,ポッドエルマー,牡3,56.0,▲水沼,加藤和,美浦,2022105955,01201,ハービンジャー  Harbinger(英)  ,イタリアンホワイト  ,ステイゴールド  
3,4,4,スマラグドス,牡5,60.0,森一,西園正,栗東,2020102798,01139,ハーツクライ  ,エメラルドスター  Emerald Star(英)  ,Mount Nelson  (英)  
4,4,5,リゼレインボー,牡6,60.0,小野寺,松山,美浦,2019102676,01123,ワールドエース  ,リアライズナラック  ,Fusaichi Pegasus  
5,5,6,ネロコルヴィーノ,牡4,60.0,小坂,辻野,栗東,2021105549,01063,スワーヴリチャード  ,ザクイーン  ,ヴィクトワールピサ  
6,5,7,ソルアマゾン,牡4,60.0,難波,小栗,栗東,2021104667,01066,リオンディーズ  ,アミカブルナンバー  ,ダイワメジャー  
7,6,8,ダークンストーミー,牡5,60.0,上野,小笠,美浦,2020100656,01087,サトノアラジン  ,ラブレインボー  ,フレンチデピュティ  French Deputy(米)  
8,6,9,スラーヴァ,牡4,57.0,▲坂口,高橋文,美浦,2021103916,01211,シャンハイボビー  Shanghai Bobby(米)  ,ポリアフ  ,キングカメハメハ  
9,7,10,コパノニコルソン,牡6,60.0,小牧加,宮,栗東,2019104116,01196,コパノリッキー  ,ソフィアルージュ  ,クロフネ  
10,7,11,ロードヴァレンチ,セ6,60.0,石神深,中舘,美浦,2019103507,01059,エスポワールシチー  ,アンダルシア  ,アルカセット  Alkaased(米)  
11,8,12,アースブレイブ,セ8,60.0,江田勇,粕谷,美浦,2017106236,01023,ゴールドシップ  ,オーシャンルミナス  ,フレンチデピュティ  French Deputy(米)  
12,8,13,ウェイトゥザドーン,セ4,57.0,▲土田,戸田,美浦,2021104768,01198,ジャスタウェイ  ,ソワー  Sower(米)  ,Flatter  
