race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1000,不良,1勝クラス,400,0,0,0,1
ダート,1000,不良,1勝クラス,410,0,0,1,3
ダート,1000,不良,1勝クラス,420,0,0,0,2
ダート,1000,不良,1勝クラス,430,0,0,0,7
ダート,1000,不良,1勝クラス,440,0,0,1,6
ダート,1000,不良,1勝クラス,450,1,0,1,15
ダート,1000,不良,1勝クラス,460,1,1,0,14
ダート,1000,不良,1勝クラス,470,4,2,2,8
ダート,1000,不良,1勝クラス,480,1,1,2,19
ダート,1000,不良,1勝クラス,490,2,3,2,12
ダート,1000,不良,1勝クラス,500,1,1,0,9
ダート,1000,不良,1勝クラス,510,0,2,0,6
ダート,1000,不良,1勝クラス,520,0,0,0,4
ダート,1000,不良,1勝クラス,530,0,0,0,1
ダート,1000,不良,1勝クラス,540,0,0,1,0
ダート,1000,不良,1勝クラス,550,0,0,0,1
ダート,1000,不良,2勝クラス,430,0,1,0,0
ダート,1000,不良,2勝クラス,440,0,0,0,4
ダート,1000,不良,2勝クラス,460,0,1,0,3
ダート,1000,不良,2勝クラス,470,0,0,0,5
ダート,1000,不良,2勝クラス,480,1,0,0,3
ダート,1000,不良,2勝クラス,510,1,0,1,1
ダート,1000,不良,2勝クラス,520,0,0,1,0
ダート,1000,不良,all,380,0,0,0,1
ダート,1000,不良,all,400,0,0,0,3
ダート,1000,不良,all,410,0,1,1,7
ダート,1000,不良,all,420,0,0,0,6
ダート,1000,不良,all,430,2,2,1,18
ダート,1000,不良,all,440,1,1,3,26
ダート,1000,不良,all,450,1,2,4,27
ダート,1000,不良,all,460,1,2,1,28
ダート,1000,不良,all,470,5,2,4,22
ダート,1000,不良,all,480,3,2,2,34
ダート,1000,不良,all,490,5,6,2,15
ダート,1000,不良,all,500,2,1,0,16
ダート,1000,不良,all,510,1,2,1,10
ダート,1000,不良,all,520,0,0,1,5
ダート,1000,不良,all,530,0,0,0,2
ダート,1000,不良,all,540,0,0,1,0
ダート,1000,不良,all,550,0,0,0,1
ダート,1000,不良,未勝利,380,0,0,0,1
ダート,1000,不良,未勝利,400,0,0,0,2
ダート,1000,不良,未勝利,410,0,1,0,4
ダート,1000,不良,未勝利,420,0,0,0,3
ダート,1000,不良,未勝利,430,2,1,0,9
ダート,1000,不良,未勝利,440,1,1,2,14
ダート,1000,不良,未勝利,450,0,2,3,11
