,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,モナコブル,牡5,60.0,五十嵐,岩戸,470(-2),47.6,8,美浦,2021109096,01069,ニューイヤーズデイ,メイチャリティ,ネオユニヴァース
1,2,2,サマーアゲイン,牡5,60.0,高田,渡辺,502(0),5.2,3,栗東,2021104669,01046,キズナ,アントワープ,キングカメハメハ
2,3,3,アバットゥータ,牡4,57.0,▲井上,中竹,478(+6),3.0,1,栗東,2022101139,01151,ハービンジャー,グッディー,キングカメハメハ
3,4,4,リッケンバッカー,牡8,60.0,小牧加,西村,470(-4),10.0,6,栗東,2018103590,01196,ロードカナロア,シティウェルズ,City Zip
4,5,5,メイショウカゼマチ,牡6,60.0,黒岩,角田,458(-10),39.3,7,栗東,2020106534,01072,ミッキーアイル,メイショウマイカゼ,メイショウボーラー
5,6,6,クロライナ,セ4,60.0,伴,室井,478(-8),76.2,9,美浦,2022104753,01149,アルアイン,クロトノーナ,ルーラーシップ
6,6,7,ソレルビュレット,牡5,57.0,▲坂口,松尾,540(+8),7.0,4,美浦,2021110061,01211,Malibu Moon,Curluck,Curlin
7,7,8,マルディランダ,牡6,60.0,上野,金成,484(-8),3.2,2,美浦,2020103063,01087,イスラボニータ,マルバイユ,Marju
8,7,9,サトノドルチェ,セ7,60.0,大江圭,蛯名利,452(-8),114.5,10,美浦,2019105500,01120,オルフェーヴル,ラッドルチェンド,Danehill Dancer
9,8,10,エターナルシルバー,牡4,60.0,草野,中舘,464(-6),9.4,5,美浦,2022106737,01113,シルバーステート,フォーエヴァーユアーズ,Motivator
10,8,11,マーゴットデイズ,牡3,58.0,中村,中村,496(-2),128.6,11,栗東,2023103896,01101,ドレフォン,デリケートアーチ,アフリート
