,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ガウラスパーク,セ4,58.0,高杉,高柳大,548(0),栗東,2021103586,01213,ロジャーバローズ  ,ガウラミディ  ,フリオーソ  ,-2.6986888412142394,11
1,2,2,バッハアルプゼー,牡3,57.0,松山,橋口,490(+12),栗東,2022106923,01126,Practical Joke  (米)  ,ファウンドアダイヤモンド  Found a Diamond(米)  ,Colonel John  ,-1.3734945724957464,8
2,3,3,ワールドシリーズ,牡4,58.0,北村友,秋山,470(+2),栗東,2021110002,01102,No Nay Never  ,エリーシエズワールド  ,Champs Elysees  ,-2.4206965809084,10
3,4,4,マキシマムレーヴ,牡3,57.0,高倉,武英,502(-6),栗東,2022100134,01130,マジェスティックウォリアー  Majestic Warrior(米)  ,ショウナンタレント  ,アグネスタキオン  ,-0.922379836327051,6
4,5,5,ガンマジーティーピ,牡3,57.0,岩田望,渡辺,462(+2),栗東,2022106123,01174,カレンブラックヒル  ,ダームドゥラック  ,シンボリクリスエス  ,0.06432989373779392,3
5,5,6,ミトノキャット,牝3,55.0,坂井,前川,454(+14),栗東,2022107279,01163,ディスクリートキャット  Discreet Cat(米)  ,プレシャスクルー  ,ノヴェリスト  Novellist(愛)  ,1.2765255277997591,1
6,6,7,リーサムギニー,牡4,57.0,☆吉村,矢作,510(+6),栗東,2021110081,01216,Zoustar  ,Charlie Em  ,Kheleyf  ,1.0376977146704787,2
7,6,8,ララアヴリル,セ3,57.0,団野,斉藤崇,484(+4),栗東,2022110087,01180,Collected  ,She Is Bedazzling  ,Medaglia d'Oro  ,-1.195738481497211,7
8,7,9,イリフィ,牝3,55.0,西村淳,高野,430(+8),栗東,2022110077,01171,Too Darn Hot  (英)  ,Trethias  ,Invincible Spirit  (愛)  ,-0.2549475576336671,4
9,7,10,ペッパーミル,牡4,58.0,横山武,加藤士,500(-4),美浦,2021102745,01170,コパノリッキー  ,トーワフォーチュン  ,エンドスウィープ  End Sweep(米)  ,-2.808551739154444,12
10,8,11,プルミエールパス,牝4,56.0,小崎,河嶋,498(+15),栗東,2021103451,01152,ロゴタイプ  ,シャインパーミット  ,ファルブラヴ  Falbrav(愛)  ,-0.5982786428907197,5
11,8,12,ジャスパーソレイユ,牡3,57.0,武豊,森秀,476(+12),栗東,2022110111,00666,Mitole  ,Hen Escape  ,ヘニーヒューズ  Henny Hughes(米)  ,-1.8474573505770175,9
