,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,スーパーガール,牝2,53.0,△長浜,伊藤圭,494(-2),美浦,2023102602,1214,ドレフォン  Drefong(米)  ,パワースポット  ,スズカマンボ  ,0.7391442567830062,3,-0.09145527087544718,3,,
1,2,2,アレキサンダーサン,牡2,56.0,丸田,伊坂,454(-4),美浦,2023100810,1117,エスケンデレヤ  ,マリノピュアハート  ,スマートファルコン  ,-0.16914799327636915,9,-0.24596460955264465,9,,
2,3,3,ランニングビーチ,牡2,56.0,木幡巧,牧,470(-4),美浦,2023103632,1162,ルヴァンスレーヴ  ,ロージーチークス  ,デュランダル  ,-0.7256193455441843,13,-0.34062579445880825,13,,
3,3,4,オテモヤン,牝2,52.0,▲遠藤,本間,462(-6),美浦,2023109104,1218,ロードバリオス  ,ドリーボンズレガシー  Dreabons Legacy(米)  ,Proud Citizen  ,-0.3215887049813157,10,-0.27189625605901185,10,,
4,4,5,マイネルテオドロス,牡2,56.0,佐々木,菊川,458(+6),美浦,2023106407,1197,ダノンバラード  ,マイネフェリックス  ,アグネスデジタル  ,2.184846740131801,1,0.15447277113041852,1,,
5,4,6,ウルヴァリン,牡2,56.0,松岡,伊藤伸,486(+2),美浦,2023106170,1085,ベストウォーリア  ,リクエストアワー  ,ネオユニヴァース  ,1.1408405840664158,2,-0.023122821849749342,2,,
6,5,7,リフレックス,牡2,56.0,三浦,金成,462(+8),美浦,2023105748,1122,モーニン  ,ライゼリート  ,ゼンノロブロイ  ,0.018866765266086095,6,-0.2139814719644414,6,,
7,5,8,タイセイゴッシュ,牡2,56.0,原,池上,476(-6),美浦,2023106037,1184,アルアイン  ,タイセイパルフェ  ,ロードカナロア  ,0.0160840274688584,7,-0.21445484270687984,7,,
8,6,9,アージェンタイド,牡2,56.0,吉田豊,池上,432(+6),美浦,2023102411,733,ブラックタイド  ,ブランメジェール  ,Hansen  ,-2.109281520998761,14,-0.5760001771733625,14,,
9,6,10,ヌクレオチド,牡2,56.0,柴田善,粕谷,470(+8),美浦,2023101724,641,モズアスコット  ,スニップ  ,エピファネイア  ,-0.7100487321864777,12,-0.337977081808733,12,,
10,7,11,サンマルフォース,牡2,56.0,岩部,和田勇,468(-2),美浦,2023101647,726,フォーウィールドライブ  Four Wheel Drive(米)  ,タガノシムナ  ,ロードカナロア  ,0.5785117963678101,4,-0.11878041344626689,4,,
11,7,12,スタームーンナイト,牡2,56.0,横山和,中舘,498(+2),美浦,2023105841,1140,ヴァンゴッホ  ,エイスノート  ,ロードカナロア  ,-0.06479990080376974,8,-0.22821398495013986,8,,
12,8,13,マジックショー,牡2,56.0,内田博,奥平,444(+10),美浦,2023106611,422,タリスマニック  Talismanic(英)  ,ロマンスマジック  ,プリサイスエンド  Precise End(米)  ,0.0719153165084432,5,-0.20495739786306685,5,,
13,8,14,ユイノカタリベ,牡2,56.0,木幡初,竹内,514(0),美浦,2023106577,1153,タワーオブロンドン  ,ランリーナ  ,エイシンフラッシュ  ,-0.6497232888015437,11,-0.32771513763580234,11,,
