,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ヴァイオパイシーズ,牝3,54.0,小沢,和田勇,466(+2),美浦,2022105217,01185,ニューイヤーズデイ  ,アムールポエジー  ,ネオユニヴァース  ,-1.9946834884537306,12
1,2,2,インディゴ,牡3,56.0,斎藤,野中,492(+4),栗東,2022101062,01178,Tiz the Law  (米)  ,サムカインドオブブルー  Some Kind of Blue(米)  ,Union Rags  ,-2.0225119068994784,13
2,2,3,テーオーシュタイン,牡3,53.0,▲和田陽,梅田,464(+8),栗東,2022104879,01223,ワールドエース  ,ソングライティング  ,Giant's Causeway  (米)  ,1.1857101042431644,1
3,3,4,カフェノーチェ,牡3,53.0,▲舟山,古賀,526(+2),美浦,2022100949,01221,ナダル  Nadal(米)  ,カフェローレル  ,マンハッタンカフェ  ,-0.3815951214836963,4
4,3,5,ダイシンレアレア,牡3,56.0,横山琉,高橋一,492(+12),栗東,2022106566,01192,キズナ  ,ダイシンステルラ  ,ダイシンオレンジ  ,-0.7886442485572099,9
5,4,6,ヤマニンクイッカー,牡6,57.0,☆松本,田島,476(+6),美浦,2019102777,01191,シニスターミニスター  Sinister Minister(米)  ,ヤマニンパソドブル  ,シンボリクリスエス  ,0.8304206531979768,2
6,4,7,ロミヒ,牝3,51.0,▲石神道,伊藤圭,508(+22),美浦,2022103741,01209,ヘニーヒューズ  Henny Hughes(米)  ,クイーンマンボ  ,マンハッタンカフェ  ,-0.7305391452158655,8
7,5,8,マシュー,牡4,56.0,◇永島,尾形,478(+4),美浦,2021104738,01187,ジャスタウェイ  ,ローザデルドバイ  ,Dubai Destination  ,0.7079643683598585,3
8,5,9,チュウワダイオウ,セ4,56.0,△鷲頭,加藤公,458(-2),栗東,2021102294,01202,ルーラーシップ  ,チュウワプリンセス  ,スペシャルウィーク  ,-0.6171333618281781,7
9,6,10,チャチャピンク,牡3,56.0,亀田,北出,488(+22),栗東,2022104176,01176,リオンディーズ  ,マーチャンテイマー  ,クロフネ  ,-0.498850761465442,5
10,6,11,エイシンマールス,牡3,52.0,★河原田,今野,474(+6),栗東,2022102624,01204,エイシンヒカリ  ,エーシンアマゾーン  ,ファルブラヴ  Falbrav(愛)  ,-1.993510020538311,11
11,7,12,ロストボール,セ6,55.0,▲森田,加藤和,448(0),美浦,2019106972,01222,フリオーソ  ,センスオブラヴ  ,ストリートセンス  Street Sense(米)  ,-1.4740619561733108,10
12,7,13,アーチーテソーロ,牡3,56.0,小林脩,牧,488(+2),美浦,2022105628,01183,フィエールマン  ,カーヴィシャス  ,シンボリクリスエス  ,-2.70155526068383,15
13,8,14,エポカリーナ,牡3,53.0,▲古川奈,土田,456(-12),美浦,2022107233,01190,エポカドーロ  ,カルカリーナ  ,オウケンブルースリ  ,-2.6917169546221587,14
14,8,15,ケーヴァラ,牡4,55.0,▲柴田裕,羽月,492(+4),栗東,2021106054,01212,マジェスティックウォリアー  Majestic Warrior(米)  ,アーベントロート  ,フジキセキ  ,-0.5520691769676491,6
