,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,モデレートゲイル,牡2,56.0,吉田豊,戸田,506(0),美浦,2023103731,00733,ドレフォン  Drefong(米)  ,レインボーダリア  ,ブライアンズタイム  Brian's Time(米)  ,-1.371580201879029,14
1,1,2,アンヴデット,牝2,55.0,北村宏,高橋文,422(0),美浦,2023107044,01043,リアルスティール  ,シングルゲイズ  Single Gaze(豪)  ,Not A Single Doubt  ,1.395645894230754,1
2,2,3,マイネルミラケル,牡2,56.0,柴田大,畠山,504(0),美浦,2023100084,01009,ウインブライト  ,ブーケドロゼブルー  ,ロージズインメイ  Roses in May(米)  ,-1.0321987452192338,11
3,2,4,ランズダウンロード,牡2,56.0,戸崎圭,木村,470(0),美浦,2023107039,05386,コントレイル  ,シユーマ  Siyouma(愛)  ,Medicean  ,-1.346383396721822,13
4,3,5,シラカワゴウ,牝2,55.0,丸田,上原博,484(0),美浦,2023102734,01117,ハービンジャー  Harbinger(英)  ,ファイヤードラゴン  ,ジャングルポケット  ,-1.1692357241936688,12
5,3,6,スマートエラン,牡2,56.0,菅原明,池江,452(0),栗東,2023106007,01179,キタサンブラック  ,スマートレグルス  ,ロードカナロア  ,-0.943852488092434,10
6,4,7,ユイアンゴロー,牡2,56.0,原田和,栗田,480(0),美浦,2023103144,01143,サトノダイヤモンド  ,パーフェクトワン  ,ノヴェリスト  Novellist(愛)  ,-0.15730531332615347,3
7,4,8,スズカサートゥル,牡2,56.0,内田博,中竹,444(0),栗東,2023106206,00422,サートゥルナーリア  ,レイホーロマンス  ,ハービンジャー  Harbinger(英)  ,-1.9501844787727196,16
8,5,9,トゥントゥントゥン,牡2,56.0,佐々木,手塚久,404(0),美浦,2023104606,01197,ダノンバラード  ,エアビオンディ  ,ロードカナロア  ,-0.8957800213715837,9
9,5,10,ピアス,牝2,55.0,石橋脩,森一,476(0),美浦,2023105443,01077,キセキ  ,ウルトラブレンド  Ultra Blend(米)  ,Richly Blended  ,-0.7014574138725771,7
10,6,11,スノーエルヴァ,牝2,53.0,△長浜,田村,456(0),美浦,2023106145,01214,フィエールマン  ,カスタディーヴァ  ,High Chaparral  (愛)  ,-0.7166568174434037,8
11,6,12,ローレルエース,牡2,56.0,原,松永康,458(0),美浦,2023104559,01184,ヤマカツエース  ,ウインクルジニー  ,クロフネ  ,-3.6316729112458477,18
12,7,13,ウマナミカイドウ,セ2,53.0,▲遠藤,天間,444(0),美浦,2023100465,01218,ホークビル  Hawkbill(米)  ,エクレアオール  ,ゴールドアリュール  ,-1.4102903292661044,15
13,7,14,セイントクーヤ,牡2,56.0,木幡巧,黒岩,492(0),美浦,2023103175,01162,St Mark's Basilica  (仏)  ,メソスフェリック  Mesospheric(愛)  ,Le Havre  ,-2.0536131398567767,17
14,7,15,センノウィン,牡2,53.0,▲佐藤,南田,460(0),美浦,2023107475,01207,アルアイン  ,イグアスフォールズ  ,サウスヴィグラス  ,-0.628998473957201,6
15,8,16,マッキュラシオン,牡2,56.0,大野,武市,496(0),美浦,2023102732,01096,イスラボニータ  ,ジュヴィ  ,ハーツクライ  ,-0.2021242349273229,4
16,8,17,マイネルアルゴー,牡2,56.0,木幡初,清水英,436(0),美浦,2023106462,01153,スクリーンヒーロー  ,バトーブラン  ,ゴールドシップ  ,-0.47168172638454364,5
17,8,18,ブラウンバナナ,牡2,56.0,津村,林,488(0),美浦,2023103391,01092,キズナ  ,グリーンバナナズ  ,Green Tune  ,0.8631729408878293,2
