,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ダンツカレン,牝3,55.0,松本,四位,484(-4),栗東,2023104337,01191,サートゥルナーリア,ウインジュビリー,シンボリクリスエス,-1.0615325906625288,5
1,1,2,トモジャカトゥーラ,牝3,55.0,国分優,大根田,464(-4),栗東,2023103067,01125,クリソベリル,トモジャオール,エンパイアメーカー,-0.8892849740278631,4
2,2,3,シャンパンスター,牝3,55.0,国分恭,緒方,416(0),栗東,2023100112,01124,ダノンレジェンド,ミヤコスマイル,キングカメハメハ,0.6569476047236741,1
3,2,4,マーゴットデイズ,牡3,57.0,吉村,中村,490(-10),栗東,2023103896,01216,ドレフォン,デリケートアーチ,アフリート,-1.6058455181914135,10
4,3,5,エコログロウ,牡3,57.0,西塚,牧浦,568(+22),栗東,2023100961,01200,ドレフォン,ペイザージュ,ダイワメジャー,-2.2753459069367996,14
5,3,6,クライナリーゼ,牡3,57.0,田口,高橋康,378(+2),栗東,2023104192,01208,カレンブラックヒル,ウェルアウェイ,Monsun,-1.79717244170383,12
6,4,7,ミライチケット,牝3,55.0,小崎,加藤公,442(+2),栗東,2023105103,01152,リオンディーズ,サラファン,アグネスタキオン,-2.990139285722331,15
7,4,8,クレバーキュート,牡3,57.0,古川吉,秋山,462(-2),栗東,2023103556,01015,ルーラーシップ,マジカルキュート,ディープインパクト,-0.7250930981651253,3
8,5,9,ナムラオットー,牡3,57.0,亀田,荒川,444(-6),栗東,2023106232,01176,アニマルキングダム,ナムラユメ,ゼンノロブロイ,-1.1715844853967934,7
9,5,10,メイワキラリ,牡3,57.0,鮫島良,河嶋,470(-4),栗東,2023103746,01099,ミスターメロディ,リュウメイ,コロナドズクエスト,-1.6968411221106836,11
10,6,11,サンライズジョー,牡3,57.0,斎藤,小椋,490(+8),栗東,2023106554,01178,サンライズソア,イエロータキオン,アグネスタキオン,0.1820264114707082,2
11,6,12,キョウエイクローム,牝3,55.0,高倉,森田,422(-6),栗東,2023102343,01130,カリフォルニアクローム,ローズアダージョ,ディープインパクト,-3.1070920543470284,16
12,7,13,ナブッコ,牡3,57.0,幸,橋田,482(-2),栗東,2023104377,00732,モーリス,ヴェルディアーナ,Perfect Soul,-1.371086519979335,8
13,7,14,シャープインサイト,牡3,57.0,菱田,東田,424(-8),栗東,2023106289,01144,サンダースノー,プレシャスクルー,ノヴェリスト,-1.1001600377831404,6
14,8,15,チョウスター,牝3,53.0,△柴田裕,羽月,460(-8),栗東,2023104226,01212,エスポワールシチー,アラモアナワヒネ,グラスワンダー,-1.8049325305445474,13
15,8,16,ヴァンロゼ,牝3,55.0,松若,東田,438(-2),栗東,2023102491,01154,シャンハイボビー,ラタンペットロゼ,ストーミングホーム,-1.421033283247227,9
