,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,メムエクラ,牝3,52.0,▲柴田裕,高木,美浦,2022103026,01212,イスラボニータ ,ディアコメット ,キングカメハメハ ,3.6159284510911407,2
1,2,2,ウインキララ,牝3,52.0,▲舟山,鹿戸,美浦,2022106213,01221,スクリーンヒーロー ,ウインシトリン ,ステイゴールド ,3.553565196669215,3
2,3,3,パーフェクトパール,牝3,55.0,佐々木,中内田,栗東,2022103233,01197,ロードカナロア ,パールコード ,ヴィクトワールピサ ,1.100797708327101,9
3,4,4,コンドゥイア,牝3,52.0,▲鷲頭,井上,栗東,2022100201,01202,フォーウィールドライブ Four Wheel Drive(米) ,ボリード ,ディープインパクト ,2.2607317296110034,6
4,4,5,ウィットビーアビー,牡3,57.0,古川吉,池江,栗東,2022104968,01015,キズナ ,ヒルダズパッション Hilda's Passion(米) ,Canadian Frontier ,-0.934674631823009,11
5,5,6,ヤマニンパルフェ,牝3,55.0,横山武,辻,美浦,2022106608,01170,シャンハイボビー Shanghai Bobby(米) ,ヤマニンヌヌース ,ディープインパクト ,1.8786228240435445,7
6,5,7,セレニティ,牝3,52.0,▲古川奈,鹿戸,美浦,2022105336,01190,ブリックスアンドモルタル Bricks and Mortar(米) ,サプルマインド ,ディープインパクト ,2.491670005830155,5
7,6,8,ヴァルチャースター,牡3,57.0,武豊,池添,栗東,2022104949,00666,サートゥルナーリア ,ハープスター ,ディープインパクト ,1.5328907220944035,8
8,6,9,セリオヴェローチェ,牡3,57.0,北村友,上村,栗東,2022104706,01102,サートゥルナーリア ,オーサムウインド ,ディープインパクト ,4.039325888615187,1
9,7,10,ファジーロップ,牝3,55.0,鮫島駿,吉岡,栗東,2022105547,01157,サートゥルナーリア ,ラビットラン ,Tapit (米) ,-0.3955575384101937,10
10,7,11,デルマケセラセラ,牝3,55.0,横山和,小野,美浦,2022105477,01140,リオンディーズ ,フロレットアレー ,ディープインパクト ,3.5275272990594795,4
11,8,12,レディオンステージ,牝3,55.0,荻野琢,西園正,栗東,2022105581,01112,エピファネイア ,レディオブフィフティ Lady of Fifty(米) ,After Market ,-1.304932339772886,13
12,8,13,キタノアンシェル,牝3,55.0,原田和,蛯名利,美浦,2022106550,01143,ロジャーバローズ ,バイタルスタイル ,スペシャルウィーク ,-0.9839035864731922,12
