race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1200,不良,新馬,480,1,0,0,2
ダート,1200,不良,新馬,490,1,0,0,3
ダート,1200,不良,新馬,500,0,0,2,1
ダート,1200,不良,新馬,510,0,1,0,1
ダート,1200,不良,新馬,520,0,0,0,1
ダート,1200,不良,新馬,530,0,0,0,1
ダート,1200,不良,新馬,550,0,0,0,1
ダート,1200,不良,未勝利,380,0,0,0,1
ダート,1200,不良,未勝利,390,0,0,0,2
ダート,1200,不良,未勝利,400,0,0,1,8
ダート,1200,不良,未勝利,410,0,1,0,8
ダート,1200,不良,未勝利,420,0,0,0,18
ダート,1200,不良,未勝利,430,2,1,2,25
ダート,1200,不良,未勝利,440,2,2,0,23
ダート,1200,不良,未勝利,450,1,2,2,18
ダート,1200,不良,未勝利,460,1,1,5,19
ダート,1200,不良,未勝利,470,4,2,2,20
ダート,1200,不良,未勝利,480,3,3,1,13
ダート,1200,不良,未勝利,490,2,3,0,9
ダート,1200,不良,未勝利,500,0,0,1,15
ダート,1200,不良,未勝利,510,0,0,0,5
ダート,1200,不良,未勝利,520,0,0,0,4
ダート,1200,不良,未勝利,530,0,0,0,5
ダート,1200,不良,未勝利,540,0,0,1,1
ダート,1200,全,1勝クラス,380,0,0,1,1
ダート,1200,全,1勝クラス,390,0,0,0,2
ダート,1200,全,1勝クラス,400,0,0,1,6
ダート,1200,全,1勝クラス,410,3,1,2,8
ダート,1200,全,1勝クラス,420,1,3,2,39
ダート,1200,全,1勝クラス,430,4,7,7,64
ダート,1200,全,1勝クラス,440,9,8,10,114
ダート,1200,全,1勝クラス,450,12,12,7,142
ダート,1200,全,1勝クラス,460,20,17,17,155
ダート,1200,全,1勝クラス,470,16,23,19,214
ダート,1200,全,1勝クラス,480,15,19,18,195
ダート,1200,全,1勝クラス,490,15,11,16,140
ダート,1200,全,1勝クラス,500,12,8,8,112
ダート,1200,全,1勝クラス,510,7,7,5,56
ダート,1200,全,1勝クラス,520,3,3,6,37
ダート,1200,全,1勝クラス,530,3,1,1,18
ダート,1200,全,1勝クラス,540,0,0,0,8
ダート,1200,全,1勝クラス,550,0,0,0,4
ダート,1200,全,2勝クラス,390,0,0,0,1
ダート,1200,全,2勝クラス,400,0,0,0,1
ダート,1200,全,2勝クラス,410,0,1,1,3
ダート,1200,全,2勝クラス,420,1,1,1,12
ダート,1200,全,2勝クラス,430,0,2,2,23
ダート,1200,全,2勝クラス,440,4,4,2,52
ダート,1200,全,2勝クラス,450,6,3,6,74
ダート,1200,全,2勝クラス,460,11,5,10,121
ダート,1200,全,2勝クラス,470,8,9,12,102
ダート,1200,全,2勝クラス,480,3,7,11,123
ダート,1200,全,2勝クラス,490,13,12,8,115
ダート,1200,全,2勝クラス,500,5,11,8,90
ダート,1200,全,2勝クラス,510,8,6,1,55
ダート,1200,全,2勝クラス,520,5,3,3,24
ダート,1200,全,2勝クラス,530,3,1,2,30
ダート,1200,全,2勝クラス,540,0,2,1,6
ダート,1200,全,2勝クラス,550,1,1,0,5
ダート,1200,全,3勝クラス,410,0,0,0,1
ダート,1200,全,3勝クラス,420,0,0,1,3
ダート,1200,全,3勝クラス,430,0,0,0,4
ダート,1200,全,3勝クラス,440,1,1,1,12
ダート,1200,全,3勝クラス,450,3,3,2,23
ダート,1200,全,3勝クラス,460,1,4,5,40
ダート,1200,全,3勝クラス,470,4,6,4,73
ダート,1200,全,3勝クラス,480,6,7,5,51
ダート,1200,全,3勝クラス,490,4,3,0,50
ダート,1200,全,3勝クラス,500,6,4,7,52
ダート,1200,全,3勝クラス,510,6,2,2,32
ダート,1200,全,3勝クラス,520,1,1,2,28
ダート,1200,全,3勝クラス,530,1,0,2,13
ダート,1200,全,3勝クラス,540,0,1,1,12
ダート,1200,全,3勝クラス,550,0,1,1,6
ダート,1200,全,all,380,0,0,1,22
ダート,1200,全,all,390,0,0,1,25
ダート,1200,全,all,400,0,1,4,76
ダート,1200,全,all,410,6,5,5,119
ダート,1200,全,all,420,8,13,13,251
ダート,1200,全,all,430,16,22,25,358
ダート,1200,全,all,440,29,35,30,467
ダート,1200,全,all,450,52,46,41,579
ダート,1200,全,all,460,54,63,63,626
ダート,1200,全,all,470,68,77,75,710
ダート,1200,全,all,480,60,70,68,619
ダート,1200,全,all,490,56,42,42,497
ダート,1200,全,all,500,50,35,41,421
ダート,1200,全,all,510,32,27,16,251
ダート,1200,全,all,520,15,14,15,129
ダート,1200,全,all,530,10,4,9,96
ダート,1200,全,all,540,2,3,4,47
ダート,1200,全,all,550,1,3,4,28
ダート,1200,全,オープン,410,0,0,0,1
ダート,1200,全,オープン,420,0,0,0,1
ダート,1200,全,オープン,440,0,1,0,5
ダート,1200,全,オープン,450,0,0,3,7
ダート,1200,全,オープン,460,0,1,0,13
ダート,1200,全,オープン,470,2,2,1,25
ダート,1200,全,オープン,480,1,2,2,30
ダート,1200,全,オープン,490,1,3,6,32
ダート,1200,全,オープン,500,7,4,2,44
ダート,1200,全,オープン,510,3,1,2,26
ダート,1200,全,オープン,520,2,3,1,13
ダート,1200,全,オープン,530,1,0,0,9
ダート,1200,全,オープン,540,0,0,0,5
ダート,1200,全,オープン,550,0,0,0,4
ダート,1200,全,新馬,380,0,0,0,6
ダート,1200,全,新馬,390,0,0,0,4
ダート,1200,全,新馬,400,0,0,1,5
ダート,1200,全,新馬,410,0,0,0,12
ダート,1200,全,新馬,420,0,3,0,21
ダート,1200,全,新馬,430,3,3,0,24
ダート,1200,全,新馬,440,2,1,4,26
ダート,1200,全,新馬,450,3,2,1,38
ダート,1200,全,新馬,460,0,3,2,35
ダート,1200,全,新馬,470,4,2,4,26
ダート,1200,全,新馬,480,6,7,5,29
ダート,1200,全,新馬,490,3,2,3,23
ダート,1200,全,新馬,500,5,0,3,11
ダート,1200,全,新馬,510,1,4,1,9
ダート,1200,全,新馬,520,1,1,1,6
ダート,1200,全,新馬,530,0,0,1,2
ダート,1200,全,新馬,540,0,0,0,3
ダート,1200,全,新馬,550,0,0,1,1
ダート,1200,全,未勝利,380,0,0,0,15
ダート,1200,全,未勝利,390,0,0,1,18
ダート,1200,全,未勝利,400,0,1,2,63
ダート,1200,全,未勝利,410,3,3,2,94
ダート,1200,全,未勝利,420,6,6,9,174
ダート,1200,全,未勝利,430,9,10,16,239
ダート,1200,全,未勝利,440,13,20,13,249
ダート,1200,全,未勝利,450,28,25,20,284
ダート,1200,全,未勝利,460,21,30,26,246
ダート,1200,全,未勝利,470,30,33,34,252
ダート,1200,全,未勝利,480,29,25,26,179
ダート,1200,全,未勝利,490,17,11,8,114
ダート,1200,全,未勝利,500,14,7,11,99
ダート,1200,全,未勝利,510,6,6,4,62
ダート,1200,全,未勝利,520,3,3,2,15
ダート,1200,全,未勝利,530,1,2,3,24
ダート,1200,全,未勝利,540,2,0,2,9
ダート,1200,全,未勝利,550,0,1,2,6
ダート,1200,稍重,1勝クラス,390,0,0,0,1
ダート,1200,稍重,1勝クラス,400,0,0,0,4
ダート,1200,稍重,1勝クラス,410,1,0,0,3
ダート,1200,稍重,1勝クラス,420,1,2,1,6
ダート,1200,稍重,1勝クラス,430,3,3,3,12
ダート,1200,稍重,1勝クラス,440,1,2,2,30
ダート,1200,稍重,1勝クラス,450,2,3,1,41
ダート,1200,稍重,1勝クラス,460,2,2,2,41
ダート,1200,稍重,1勝クラス,470,7,7,6,60
ダート,1200,稍重,1勝クラス,480,3,3,4,47
ダート,1200,稍重,1勝クラス,490,4,3,5,35
ダート,1200,稍重,1勝クラス,500,1,2,2,22
ダート,1200,稍重,1勝クラス,510,2,1,1,14
ダート,1200,稍重,1勝クラス,520,1,1,1,7
ダート,1200,稍重,1勝クラス,530,1,0,1,6
ダート,1200,稍重,1勝クラス,540,0,0,0,3
ダート,1200,稍重,1勝クラス,550,0,0,0,1
ダート,1200,稍重,2勝クラス,410,0,0,1,0
ダート,1200,稍重,2勝クラス,420,0,0,0,5
ダート,1200,稍重,2勝クラス,430,0,0,0,2
ダート,1200,稍重,2勝クラス,440,1,1,0,9
ダート,1200,稍重,2勝クラス,450,0,0,1,12
ダート,1200,稍重,2勝クラス,460,1,0,2,17
ダート,1200,稍重,2勝クラス,470,1,3,1,23
ダート,1200,稍重,2勝クラス,480,2,4,3,21
ダート,1200,稍重,2勝クラス,490,2,2,0,18
ダート,1200,稍重,2勝クラス,500,1,0,3,23
ダート,1200,稍重,2勝クラス,510,4,2,0,8
ダート,1200,稍重,2勝クラス,520,1,0,2,7
ダート,1200,稍重,2勝クラス,530,0,1,0,3
ダート,1200,稍重,2勝クラス,550,0,0,0,2
ダート,1200,稍重,3勝クラス,410,0,0,0,1
ダート,1200,稍重,3勝クラス,440,0,0,0,2
ダート,1200,稍重,3勝クラス,450,0,0,0,3
ダート,1200,稍重,3勝クラス,460,0,0,0,5
ダート,1200,稍重,3勝クラス,470,0,1,1,7
ダート,1200,稍重,3勝クラス,480,1,1,2,4
ダート,1200,稍重,3勝クラス,490,0,0,0,6
ダート,1200,稍重,3勝クラス,500,1,0,1,7
ダート,1200,稍重,3勝クラス,510,1,0,0,1
ダート,1200,稍重,3勝クラス,520,1,1,0,8
ダート,1200,稍重,3勝クラス,530,0,0,0,1
ダート,1200,稍重,3勝クラス,540,0,1,0,2
ダート,1200,稍重,3勝クラス,550,0,0,0,1
ダート,1200,稍重,all,380,0,0,0,1
ダート,1200,稍重,all,390,0,0,0,7
ダート,1200,稍重,all,400,0,0,2,20
ダート,1200,稍重,all,410,1,1,1,23
ダート,1200,稍重,all,420,2,3,2,52
ダート,1200,稍重,all,430,5,5,4,70
ダート,1200,稍重,all,440,6,7,6,107
ダート,1200,稍重,all,450,9,11,10,130
ダート,1200,稍重,all,460,6,15,9,134
