race_type,course_len,ground_state,class,人気,1着,2着,3着,着外
ダート,1200,全,1勝クラス,8,5,4,7,101
ダート,1200,全,1勝クラス,9,2,3,5,106
ダート,1200,全,1勝クラス,10,3,4,3,104
ダート,1200,全,1勝クラス,11,0,2,6,100
ダート,1200,全,1勝クラス,12,0,3,4,93
ダート,1200,全,1勝クラス,13,0,1,3,86
ダート,1200,全,1勝クラス,14,0,0,0,78
ダート,1200,全,1勝クラス,15,0,0,0,69
ダート,1200,全,1勝クラス,16,0,1,0,43
ダート,1200,全,2勝クラス,1,22,9,6,31
ダート,1200,全,2勝クラス,2,13,10,3,42
ダート,1200,全,2勝クラス,3,8,9,9,42
ダート,1200,全,2勝クラス,4,4,10,8,46
ダート,1200,全,2勝クラス,5,3,9,11,45
ダート,1200,全,2勝クラス,6,7,2,4,55
ダート,1200,全,2勝クラス,7,4,3,3,57
ダート,1200,全,2勝クラス,8,2,5,6,55
ダート,1200,全,2勝クラス,9,2,4,5,57
ダート,1200,全,2勝クラス,10,1,3,2,62
ダート,1200,全,2勝クラス,11,1,1,3,62
ダート,1200,全,2勝クラス,12,1,1,2,61
ダート,1200,全,2勝クラス,13,0,1,2,61
ダート,1200,全,2勝クラス,14,0,1,2,56
ダート,1200,全,2勝クラス,15,0,0,1,55
ダート,1200,全,2勝クラス,16,0,0,1,50
ダート,1200,全,3勝クラス,1,11,6,3,13
ダート,1200,全,3勝クラス,2,6,8,8,11
ダート,1200,全,3勝クラス,3,5,7,3,18
ダート,1200,全,3勝クラス,4,3,1,0,29
ダート,1200,全,3勝クラス,5,3,2,2,26
ダート,1200,全,3勝クラス,6,2,1,4,26
ダート,1200,全,3勝クラス,7,0,2,1,30
ダート,1200,全,3勝クラス,8,1,1,3,28
ダート,1200,全,3勝クラス,9,1,1,0,31
ダート,1200,全,3勝クラス,10,0,1,5,27
ダート,1200,全,3勝クラス,11,0,2,1,30
ダート,1200,全,3勝クラス,12,0,0,2,27
ダート,1200,全,3勝クラス,13,0,0,0,29
ダート,1200,全,3勝クラス,14,1,0,0,26
ダート,1200,全,3勝クラス,15,0,0,1,26
ダート,1200,全,3勝クラス,16,0,1,0,23
ダート,1200,全,all,1,151,84,64,160
ダート,1200,全,all,2,101,76,62,219
ダート,1200,全,all,3,57,79,72,251
ダート,1200,全,all,4,40,58,46,313
ダート,1200,全,all,5,35,43,46,334
ダート,1200,全,all,6,31,28,30,370
ダート,1200,全,all,7,11,17,29,400
ダート,1200,全,all,8,14,21,23,396
ダート,1200,全,all,9,9,15,24,401
ダート,1200,全,all,10,4,14,16,409
ダート,1200,全,all,11,1,7,15,404
ダート,1200,全,all,12,4,7,11,380
ダート,1200,全,all,13,0,6,10,363
ダート,1200,全,all,14,1,3,4,339
ダート,1200,全,all,15,0,0,4,318
ダート,1200,全,all,16,0,2,1,264
ダート,1200,全,オープン,1,3,2,2,10
ダート,1200,全,オープン,2,5,2,1,9
ダート,1200,全,オープン,3,2,3,4,8
ダート,1200,全,オープン,4,3,2,4,8
ダート,1200,全,オープン,5,1,1,0,15
ダート,1200,全,オープン,6,2,1,2,12
ダート,1200,全,オープン,7,0,1,1,15
ダート,1200,全,オープン,8,0,2,0,15
ダート,1200,全,オープン,9,1,1,0,15
ダート,1200,全,オープン,10,0,0,0,17
ダート,1200,全,オープン,11,0,1,2,14
ダート,1200,全,オープン,12,0,1,0,16
ダート,1200,全,オープン,13,0,0,0,16
ダート,1200,全,オープン,14,0,0,0,16
